src,true_meaning,literal_translation
आंखें चुराना,to avoid being seen,to hide one’s eyes
आंखों का तारा,beloved person,the star of the eyes
चेहरा उतरना,to be sad or disappointed,the face to fall
दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth
साँस लेना,to feel relieved after hard work,to take a breath
बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm
बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair
अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom
जान पर खेलना,to act fearlessly or take great risks,to play with one’s life
पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach
आसमान पर चढ़ना,to be proud or overconfident,to climb onto the sky
आकाश पाताल का अंतर,to be vastly different,difference between sky and netherworld
हवा से बातें करना,to move very fast,to talk with the wind
पत्थर की लकीर,to be firm on one’s word or decision,a line of stone
पहाड़ टूट पड़ना,to face a huge problem or calamity,a mountain breaking and falling (upon)
ईद का चाँद होना,to appear after a long time (a rare person),to be the moon of Eid
चकमा देना,to deceive or trick someone,to give a dodge/trick
उल्टी गंगा बहना,something unusual or against norms happening,the Ganga to flow in reverse
छक्के छुड़ाना,to defeat completely,to make someone’s sixes come out
फूँक-फूँक कर कदम रखना,to act very cautiously,to place steps after blowing (carefully)
दम में दम आना,to regain courage or relief after fear,breath to come into one’s breath
दाँत से दाँत बजाना,to shiver from cold,to make tooth strike tooth (chatter)
मुँह में पानी आना,to be tempted by delicious food,water to come into the mouth
नाक काटना,to disgrace or embarrass someone,to cut the nose
कमर टूटना,to feel exhausted or discouraged,the waist to break
कमर कसना,to prepare oneself for a challenge,to tighten the waist (belt)
कलेजा पत्थर का होना,to be mentally or emotionally very strong,the liver/heart to be of stone
दाँत खट्टे करना,to defeat someone badly,to make the teeth sour
ईंट से ईंट बजाना,to completely destroy or demolish someone,to make brick strike brick
नाक में दम करना,to annoy someone constantly,to put breath in the nose
नाक पर मक्खी न बैठने देना,to be strict or disciplined,to not let a fly sit on the nose
नाक कट जाना,to lose one's honor or respect,the nose to get cut
नाक में तेल डालकर सोना,to sleep carefreely without worries,to sleep after putting oil in the nose
नाक का सवाल होना,to be a matter of pride or ego,to be a question of the nose (honor)
नाक भौं सिकोड़ना,to show disapproval,to wrinkle the nose and brows
नाक नीची करना,to humiliate publicly,to make the nose low
कान खड़े होना,to become alert or suspicious,for the ears to stand up
कान पर जूँ न रेंगना,to remain unaffected or unmoved,for not even a louse to crawl on the ear
कान में तेल डालना,to ignore someone's words,to pour oil into the ear
कान में फूंक मारना,to influence or manipulate someone secretly,to blow a puff into the ear
कान पकड़ना,to vow never to repeat a mistake,to hold the ears
कान भरना,to manipulate someone against another,to fill the ears
कान काटना,to outsmart completely,to cut the ear
आसमान सिर पर उठाना,to create a big commotion or panic,to lift the sky onto one’s head
आसमान से बातें करना,to reach great heights or success,to talk with the sky
आसमान से गिरे खजूर में अटके,to fall from one trouble into another,"having fallen from the sky, stuck in a date-palm"
आग बबूला होना,to become extremely angry,to become fire-foaming (blazing angry)
आग में घी डालना,to worsen an already bad situation,to pour ghee into the fire
आग में कूदना,to take a dangerous risk,to jump into the fire
आग लगना,to become furious or jealous,for fire to catch
आग ठंडी होना,to calm down after anger,for the fire to cool
आग उगलना,to speak harshly or aggressively,to spit/emit fire
आग से खेलना,to invite danger knowingly,to play with fire
आग लगाना,to instigate or provoke trouble,to set on fire
आग दिखाना,to show anger or power,to show fire
आग लग जाना,to feel jealous or restless,for fire to get lit
आग बन जाना,to become furious,to become fire
आग पर तेल डालना,to intensify an argument or situation,to pour oil on the fire
धूल चाटना,to face defeat or humiliation,to lick dust
धूल फाँकना,to struggle in poverty or hardship,to gulp/eat dust
धूल झाड़ना,to scold or reprimand strongly,to shake off dust
धूल में मिलाना,to destroy completely,to mix into dust
धूल उड़ाना,to make a scene unnecessarily,to raise/fly dust
धूल झोंकना,to deceive or mislead someone,to throw dust (in the eyes)
हवा निकल जाना,to lose courage suddenly,for the air to go out
हवा खा जाना,to run away secretly,to eat wind
हवा में उड़ाना,to waste money carelessly,to throw/waft in the air
हवा बन जाना,to disappear quickly,to become air
हवा में बात करना,to speak without proof or sense,to speak into the air
हवा लगना,to be influenced by others,to catch/get the wind
हवा देना,to encourage or instigate something,to give air
हवा बदलना,to change situation or environment,to change the air
हवा चखना,to get a taste of something new (usually trouble),to taste the air
हवा बंद होना,to lose confidence completely,for the air to stop
आँख में धूल झोंकना,to deceive or fool someone,to throw dust into the eye
आँखें फटी की फटी रह जाना,to be shocked or amazed,for the eyes to remain torn-open
आँखों में धूल झोंकना,to cheat someone cleverly,to throw dust into the eyes
आँखों में बस जाना,to win someone’s heart,to come to reside in the eyes
आँखों से ओझल होना,to disappear from sight,to be hidden from the eyes
आँख दिखाना,to threaten or scold harshly,to show the eye
आँख तरेरना,to glare angrily,to glare with the eyes
आँखें फाड़ना,to stare in surprise,to rip/tear the eyes open (goggle)
आँखें मूँदना,to ignore intentionally,to shut/close the eyes
आँखों में आँसू आना,to become emotional or sad,for tears to come into the eyes
दिल लगाना,to fall in love,to attach the heart
दिल तोड़ना,to break someone's heart,to break the heart
दिल जीतना,to win someone's affection,to win the heart
दिल पर लेना,to take something personally,to take to the heart
दिल लगाकर काम करना,to work wholeheartedly,to work with the heart attached
दिल में बात रखना,to hide one’s feelings,to keep the matter in the heart
दिल पर पत्थर रखना,to act bravely despite pain,to place a stone on the heart
दिल जलना,to feel jealous or envious,for the heart to burn
दिल बहलाना,to distract from sadness,to amuse/console the heart
दिल धड़कना,to feel nervous or excited,for the heart to beat
दिल खोलकर देना,to be generous,to give with the heart open
दिल में चोर होना,to have guilt or bad intentions,for there to be a thief in the heart
दिल में बसना,to be deeply loved or remembered,to dwell in the heart
दिल का हाल बताना,to express inner feelings,to tell the condition of the heart
दिल टूट जाना,to feel heartbroken,for the heart to break
दिल खुश हो जाना,to become happy,for the heart to become happy
दिल में बात आना,to get an idea or feeling,for a thought to come into the heart
दिल से उतर जाना,to lose affection or trust,to descend/fall from the heart
दिल से लगाना,to love or treat affectionately,to press/hold to the heart
दिल लगा रहना,to stay interested or focused,to remain heart-attached
दिमाग चलना,to think cleverly,for the mind/brain to run
दिमाग खराब होना,to lose temper or sanity,for the mind to go bad
दिमाग लगाना,to use intelligence or creativity,to apply the mind
दिमाग ठिकाने लगाना,to discipline or bring to senses,to put the mind in its place
दिमाग का दही होना,to get mentally exhausted,the brain to become curd
दिमाग घुमाना,to confuse or manipulate someone,to spin/turn someone’s mind
दिमाग का ताला खोलना,to start thinking or understanding,to open the lock of the mind
दिमाग खाना,to irritate by constant nagging,to eat the brain
दिमाग लग जाना,to focus attention on something,for the mind to get engaged
दिमाग में बात आना,to get a sudden idea,for an idea to come into the mind
पानी-पानी होना,to feel embarrassed or ashamed,to become water-water
पानी फिर जाना,to have plans fail suddenly,for water to go over (it)
पानी मांगना,to beg for mercy,to ask for water
पानी उतारना,to humiliate someone publicly,to bring down/drain the water
पानी सिर से गुजरना,to reach the limit of patience,for water to pass over the head
पानी में आग लगाना,to attempt the impossible,to set fire in water
पानी पर लिखा,to be temporary or futile,written on water
पानी बराबर होना,to be equal in strength or skill,to be equal like water
पानी पीना,to feel comfortable after fear,to drink water
पानी मांगना पड़ना,to be defeated badly,to have to ask for water
पानी लाना,to bring respect or reputation,to bring/fetch water
हाथ बँटाना,to help or assist someone,to share/divide the hand
हाथ धोकर पीछे पड़ना,to chase or target relentlessly,to wash one’s hands and go after
हाथ खड़े कर देना,to give up completely,to make (one) raise hands
हाथ पाँव फूल जाना,to panic or get nervous,for hands and feet to bloom
हाथ मलना,to regret something deeply,to rub the hands
हाथ साफ़ होना,to be skilled or experienced,for the hand to be clean
हाथ पर हाथ धरे रहना,to do nothing,to keep one hand resting on the other
हाथ की सफाई दिखाना,to show cleverness or skill,to show the hand’s cleanliness (sleight)
हाथ में लेना,to take responsibility for something,to take in hand
हाथ से निकल जाना,to miss an opportunity,to go out of the hand
हाथ लगना,to get caught or succeed,to come to the hand
हाथ धोना,to lose something completely,to wash hands
हाथ मिलाना,to collaborate or agree,to join hands
हाथ बाँधना,to restrict or tie someone’s ability,to tie/bind the hands
हाथ ऊँचा होना,to be more powerful or dominant,for the hand to be higher
हाथ जलना,to learn by mistake,for the hand to be burned
