src,true_meaning,literal_translation
一波未平，一波又起,Suffer a string of reverses,"One wave is not flat, another wave is rising"
一板三眼,Following a prescribed pattern in speech or action,One board and three eyes
一鼻孔出气,Be in tune with,Exhale through one nostril
一步登天,Have a meteoric rise,One step to the sky
一不做，二不休,"Once it is started, go through with it","Don't do it, never stop"
一拍即合,Fit in readily,Hit it off
一抔黃土,Mere dust heaps,A handful of loess
一盘散沙,Lacking a spirit of cooperation,A plate of loose sand
一模一样,Exactly alike,Exactly the same
一马当先,Take the lead,Lead the way
一马平川,A wide expanse of flat land,One Horse Pingchuan
一面之交,Have met only once,Side by side
一目了然,Understand fully at a glance,At a glance
一目十行,Take in ten lines at one glance (said of a rapid reader),Ten lines at a glance
一得之功,"Just an occasional, minor success",One hits at a time
一刀两断,Make a clean break,Cut in two
一潭死水,"A stagnated, dull atmosphere",A pool of stagnant water
一诺千金,A solemn promise,A promise of gold
一劳永逸,Put things right once and for ail,Once and for all
一鳞半爪,Odd bits / fragments,One Scale Half Claw
一改故辙,Rid oneself of an old habit,Change the way
一概而论,Put in the same category,In general terms
一鼓作气,Get something done in one vigorous effort,All in one go
一国三公,Divided leadership,"One country, three princes"
一棍子打死,Finish off with a single blow,Kill with a stick
一刻千金,Every moment is precious,A moment of gold
一孔之见,"A narrow (limited, partial or peep-hole) view",A hole in sight
一呼百应,An appeal meets with immediate response,A hundred calls
一挥而就,Be done with one stroke of the pen,In a flash
一见钟情,Fall in love (with one) at first sight,Love at first sight
一见如故,Become fast friends at the first meeting,See you soon
一举两得,Achieve two things at one stroke,Kill two birds with one stone
一举成名,Achieve instant fame,Rise to fame
一气呵成,(of an essay) form a coherent whole,All in one go
一丘之貉,Jackals of the same lair,A raccoon dog
一穷二白,Backward both economically and culturally,One poor and two white
一蟹不如一蟹,From bad to worse,A crab is worse than a crab
一泻千里,(of a writer's style) forceful and flowing,A thousand miles
一笑置之,Laugh off,Laugh it off
一心一德,Be at one,One Heart One Virtue
一纸空文,Empty words on a sheet of paper,A piece of paper
一枕黄粱,A brief dream of grandeur,One Pillow of Yellow Rice
一张一弛,Strike a proper balance between work and rest,One by one
一着不慎，满盘皆输,One careless move and the whole game is lost,"If you are not careful, you will lose the whole game"
一差二错,Possible mistake or mishap,One mistake and two mistakes
一筹莫展,Be at one's wits' end,Nothing can be done
一唱百和,Chime in with others,One hundred and one singing
一唱一和,Sing the same tune,One sing and one harmony
一触即溃,Collapse at the first encounter,Crash at a touch
一视同仁,Treat all alike without discrimination,Treat everyone equally
一失足成千古恨,A single slip may cause lasting sorrow,One stumble becomes eternal hatred
一手包办,Take everything on oneself,Do it all
一手遮天,Hoodwink the public,Cover the sky with one hand
一身是胆,Know no fear,All the courage
一日千里,By leaps and bounds,A thousand miles a day
一日三秋,Miss somebody very much,Three autumns a day
一人难如千人意,One man con hardly meet the wishes of everybody,One person is as difficult as a thousand people
一字千金,One character is worth a thousand ounces of gold,A thousand words
一则以喜，一则以惧,Feel both joy and fear,"One for joy, one for fear"
一蹴而就,Succeed overnight,All at once
一寸丹心,A loyal heart,An inch of heart
一寸光阴一寸金,Time is money,An inch of time is an inch of gold
一而再，再而三,Again and again,"Again and again, again and again"
一衣带水,A narrow strip of water,A piece of water
一意孤行,"Go (take, have of follow) one's own way",Go one's own way
一叶知秋,It is a straw in the wind,One Leaf Zhiqiu
一叶障目，不见泰山,Have one's view of the important overshadowed by the trivial,"A leaf obstructs the eyes, but Mount Tai is not seen"
一言既出，驷马难追,What is said cannot be unsaid,"As soon as the word is spoken, the horse is hard to follow"
一言以蔽之,Make a long story short,In a word
一无可取,Good-for-nothing,Nothing is possible
一物降一物,Everything has its vanquisher,One thing down one thing
一误再误,Make one error after another,Mistake over and over again
一五一十,Narrate systematically and in full detail,One fifty one
一问三不知,Be entirely ignorant,One question and three unknown
一望而知,Very obvious,At a glance
一望无际,Boundless,As far as the eye can see
一语道破,Get to the heart of the matter in a few words,In a word
七窍生烟,Foam with rage,Seven orifices smoke
七长八短,Of uneven size,Seven long and eight short
七手八脚,Too many cooks,Seven hands and eight feet
七上八下,Be agitated,Seven up and eight down
三番五次,Again and again,Three and five times
三头六臂,With three heads and six arms - superhuman,Three heads and six arms
三天打鱼，两天晒网,Lack of perseverance,"Three days of fishing, two days of netting"
三令五申,Repeated orders and instructions,Three orders and five applications
三个臭皮匠，胜过一个诸葛亮,Two heads are better than one,Three cobblers are better than one Zhuge Liang
三顾茅庐,Repeated a whole-hearted invitation,San Gu thatched cottage
三句话不离本行,Talk shop a the time,Three words stay with us
三长两短,"Something unfortunate, especially death",Three long and two short
三十六计，走为上策,The best thing to do now is to quit,"Thirty-six strategies, walking is the best policy"
三生有幸,Consider oneself most fortunate (to make somebody's acquaintance),Sansheng is lucky
三人行必有我师,"If three of us are walking together, there will certainly be a teacher for me",Threesome must have my teacher
三寸不烂之舌,(have) a silver tongue,Three inch incorrupt tongue
三五成群,In threes and fours,Groups of three or five
上不着天，下不着地,Be suspended in mid-air,"Can't go up to the sky, can't go down to the ground"
上天无路，入地无门,"Helpless, nowhere to turn","There is no way to the sky, no way to enter the earth"
上梁不正下梁歪,People follow the example of those in high positions,"The upper beam is not straight, the lower beam is crooked"
上蹿下跳,Run clandestine errands up and down the line,Jump up and down
上无片瓦，下无插针之地,As poor as a church mouse,"No tiles on top, no pins on the bottom"
下笔千言，离题万里,Write quickly but stray from the theme,"Write a thousand words, digress thousands of miles"
下不为例,Not to be repeated,Not an example
下马看花,On-the-spot investigation,Dismount to see flowers
下车伊始,The moment one takes up one's official post,Get off at the beginning
不明不白,Inexplicable,Do not understand
不分彼此,Share everything,Regardless of each other
不打不成相识,"No discord, no concord",Do not know each other
不违农时,Do farm work in the right time,Does not violate the agricultural time
不打自招,A self-confession,Don't make a fool of yourself
不到黄河心不死,Not give up till coming to a dead end,"If you don't reach the Yellow River, your heart will not die"
不得要领,Unable to make heads or tails of something,To no avail
不能自拔,Be inescapably caught in,Unable to extricate themselves
不念旧恶,Forget old grudges (or grievances),Do not forget the old evil
不郎不秀,Worthless,Not Lang not show
不吝指教,Not spare your comments,Do not hesitate to advise
不落窠臼,Leave the beaten track,Not out of the norm
不甘后人,Hate to be outdone,Unwilling to descendants
不甘示弱,Yield no ground,Not to be outdone
不敢越雷池一步,Keep within (the) bounds,Don't dare to step beyond the pond
不管三七二十一,Come what may,No matter what
不可偏废,Without neglecting either,Not to be neglected
不亢不卑,Neither overbearing nor servile,Neither haughty nor humble
不急之务,A nonurgent business,A matter of no great urgency
不见棺材不落泪,Refuse to be convinced until one is faced with grim reality,No tears without seeing the coffin
不进则退,"Move forward, or you'll fall behind",Not advance or retreat
不经一事，不长一智,Wisdom comes from experience,You can not gain knowledge without practice
不绝如缕,Very precarious,Hanging by a thread
不期而遇,Meet accidentally (or by chance),Meet by chance
不知凡几,Can't tell how many there are,I don't know how many
不知天高地厚,Have an exaggerated opinion of one's abilities,I don't know how tall the sky is
不知好歹,Not to know good from bad,I don't know
不知进退,Have no sense of propriety,I don't know where to go
不知人间有羞耻事,Lose all sense of shame,I don't know there is shame in the world
不知所以,Not know the reason why,I don't know why
不知所云,Unintelligible,I don't know
不耻下问,Not above asking questions,Don't be ashamed to ask
不识大体,Fail to see the larger issues,Ignore the general interest
不识抬举,Not know how to appreciate (or treasure) favours,I don't know how to lift
不识时务,Not familiar with the current situation,Ignorant of the times
不上不下,In a fix,Not up nor down
不胜枚举,Cannot be enumerated one by one,The list goes on
不入虎穴，焉得虎子,"Nothing ventured, nothing gained","If you don't enter the tiger's den, how can you get a tiger's son"
不在话下,Needless to say,Not a problem
不足为训,Not worth learning from,Not enough for training
不塞不流，不止不行,"There is no flowing without damming, and no motion without rest","No plug, no flow, more than that"
不二法门,No other way,The only way
不易之论,Unalterable truth,Not easy theory
不一而足,It is by no means an isolated case,And so on
不遗余力,Do one's utmost,Spare no effort
不由分说,Without giving one the opportunity (or chance) to explain,Can not help but say
不厌其烦,Take great pains,Take the trouble
不厌其详,Not feel annoyed (or bored) to tell (or narrate) in full detail,Never tire of detail
不言而喻,Self-evident,It goes without saying
不务空名,Not seek empty fame,No empty name
不无小补,Be of some help,No small supplement
不务正业,Not attend to one's proper business (or duties),Not doing business
世态炎凉,"The way of the world, now hot, now cold",The world is hot and cold
世上无难事，只怕有心人,"Where there is a will, there is a way",Nothing is unachievable
丢盔弃甲,Run away helter-skelter,Throw away armor
丢卒保车,Give up a pawn to save a chariot,Lose the pawn to protect the car
中庸之道,Middle course,The golden mean
久旱逢甘雨,Have a long-felt need satisfied,Long drought meets sweet rain
乘风破浪,Brave the wind and the waves,Ride the wind and waves
乘兴而来，败兴而归,Set out cheerfully and return disappointed,"Come in good times, come back in defeat"
乘虚而入,Act when somebody is off guard,Take advantage of
乘人之危,Take advantage of other's calamity,Take advantage of danger
九牛二虎之力,A tremendous amount of labor,The power of nine bulls and two tigers
乞哀告怜,Piteously beg for help,Beg for pity
事倍功半,Do twice the work with half of results,Do more with less
