src,true_meaning,literal_translation,mt_1,mt_2,mt_3,QE_mt_1,QE_mt_2,QE_mt_3,QE_true,QE_literal,QE_dataset_mt,DA_mt_1,DA_mt_2,DA_mt_3,DA_true,DA_literal,mt_best,QE_mt_best,mt_best_from,mt_best_DA_from,DA_mt_best,literal_gt_ref
आंखें चुराना,to avoid being seen,to hide one’s eyes,Stealing eyes,Stealing eyes,Stealing eyes,-0.30711421370506287,-0.30711421370506287,-0.30711403489112854,-0.4067266285419464,-0.4671725332736969,,0.46888044476509094,0.46888044476509094,0.46888038516044617,0.9724225997924805,0.586301863193512,Stealing eyes,-0.30711403489112854,mt_3,mt_1,0.46888044476509094,False
आंखों का तारा,beloved person,the star of the eyes,Stars in the Eyes,Stars in the Eyes,Stars in the Eyes,0.025265183299779892,0.025264909490942955,0.025265183299779892,-0.6540502905845642,-0.4496707022190094,,0.41584059596061707,0.4158405661582947,0.41584059596061707,0.9837122559547424,0.4432174265384674,Stars in the Eyes,0.025265183299779892,mt_1,mt_1,0.41584059596061707,True
चेहरा उतरना,to be sad or disappointed,the face to fall,To emerge/be revealed on the face,To emerge/be revealed on/at face,To come out/ to emerge on face,-0.5804148316383362,-0.6231938600540161,-0.5984886884689331,-0.6582170724868774,-0.6449249386787415,,0.44676074385643005,0.4499369263648987,0.3917043209075928,0.977324903011322,0.4460851848125458,To emerge/be revealed on the face,-0.5804148316383362,mt_1,mt_2,0.4499369263648987,True
दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth,Tap your fingers on the teeth,Tapting your fingers on your teeth,Tapting fingers on the teeth,0.43954095244407654,-0.08284863829612732,0.16922786831855774,-0.9555946588516235,0.16586504876613617,,0.36490491032600403,0.35777750611305237,0.36695966124534607,0.9777899384498596,0.4165695309638977,Tap your fingers on the teeth,0.43954095244407654,mt_1,mt_3,0.36695966124534607,True
साँस लेना,to feel relieved after hard work,to take a breath,Breathe,Breathe,To breathe/inhale,0.252811461687088,0.2528117001056671,-0.07950963079929352,-0.183607280254364,0.20825836062431335,,0.4627862572669983,0.4627862274646759,0.43953558802604675,0.9661266207695007,0.5309281349182129,Breathe,0.2528117001056671,mt_2,mt_1,0.4627862572669983,True
बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm,"The statement ""बात पक्की होना"" translates to ""the statement must be true"" or ""the matter must be correct"" in English, maintaining the same tone and meaning.","The statement ""बात पक्की होना"" in Hindi translates to ""for the statement to be true"" or ""for the matter to be correct"" in natural English.","The statement ""बात पक्की होना"" in English means ""for the statement to be true"" or more colloquially, ""for the story to be good.""",-0.2450699508190155,-0.4211215376853943,-0.29925045371055603,0.188193216919899,-0.6285021305084229,,0.5093112587928772,0.5020264983177185,0.5008590221405029,0.981285810470581,0.5658490657806396,"The statement ""बात पक्की होना"" translates to ""the statement must be true"" or ""the matter must be correct"" in English, maintaining the same tone and meaning.",-0.2450699508190155,mt_1,mt_1,0.5093112587928772,False
बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair,"Keeping the meaning and tone, ""बाल-बाल बचना"" translates to English as:

""Soft-spoken""

This phrase captures the essence of someone who speaks in a gentle, quiet manner without raising their voice or being loud.",Childish babbling,"Keeping the meaning and tone, ""बाल-बाल बचना"" translates to English as:

""Sparing words""

This phrase conveys the idea of being succinct or avoiding unnecessary speech.",-0.39614230394363403,-0.7311934232711792,-0.4682818353176117,-0.7957336902618408,-1.009708046913147,,0.4196288585662842,0.4721597135066986,0.4368076026439667,0.9803038239479065,0.45789968967437744,"Keeping the meaning and tone, ""बाल-बाल बचना"" translates to English as:

""Soft-spoken""

This phrase captures the essence of someone who speaks in a gentle, quiet manner without raising their voice or being loud.",-0.39614230394363403,mt_1,mt_2,0.4721597135066986,False
अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom,The enemy of the soul,The enemy of the mind,The enemy of the soul,-0.07494987547397614,0.019816957414150238,-0.07494987547397614,-0.22193680703639984,-0.03230080381035805,,0.5152571201324463,0.5087319016456604,0.5152571201324463,0.9768951535224915,0.6220861673355103,The enemy of the mind,0.019816957414150238,mt_2,mt_1,0.5152571201324463,True
जान पर खेलना,to act fearlessly or take great risks,to play with one’s life,Playing with knowledge,Playing with knowledge,Playing with knowledge,-0.15347422659397125,-0.15347422659397125,-0.15347422659397125,-0.01711399108171463,0.08202870190143585,,0.49263229966163635,0.49263229966163635,0.49263229966163635,0.9693490862846375,0.47443923354148865,Playing with knowledge,-0.15347422659397125,mt_1,mt_1,0.49263229966163635,True
पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach,Laughing it up in my stomach,Laughing with hens in my stomach,Laughing with hens in my stomach,-0.6048949360847473,-0.44930657744407654,-0.44930657744407654,-0.9558519124984741,-0.16535991430282593,,0.34319019317626953,0.3493331968784332,0.3493331968784332,0.970809817314148,0.40511688590049744,Laughing with hens in my stomach,-0.44930657744407654,mt_2,mt_2,0.3493331968784332,True
