src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
乘兴而来，败兴而归,Set out cheerfully and return disappointed,"Come in good times, come back in defeat",Went in high hopes and came back disappointed.,-0.395880788564682,-0.871600329875946,-0.5355798602104187,0.77668297290802,0.5408819913864136,0.9727113842964172,1.0,1.0
一波未平，一波又起,Suffer a string of reverses,"One wave is not flat, another wave is rising","When it rains, it pours.",-1.2317290306091309,-0.9512883424758911,-1.3274489641189575,0.4385444223880768,0.46887555718421936,0.9346397519111633,0.0,0.0
立足之地,Standing-room,Gain a foothold,a foothold,-0.8259175419807434,-0.34846606850624084,-0.9208935499191284,0.43231189250946045,0.5126133561134338,0.9842640161514282,0.0,0.0
革故鼎新,Discard the old ways of life in favor of the new,Revolutionizing the old,Cast off the old and embrace the new.,-0.4410422146320343,-0.8278824687004089,-0.2408904731273651,0.7134433388710022,0.583740234375,0.9555423855781555,1.0,1.0
不分彼此,Share everything,Regardless of each other,We share everything.,-0.41536059975624084,-0.6511038541793823,-0.5374066233634949,0.8624931573867798,0.47052380442619324,0.9825015664100647,1.0,1.0
面目可憎，语言无味,Repulsive in appearance and flavorless in verbal expression,"Disgusting face, tasteless language",Ugly to look at and dull to listen to.,-0.18850529193878174,0.3757260739803314,0.25097498297691345,0.48994696140289307,0.6947545409202576,0.9730786681175232,0.0,0.0
立身处世,How to get along with people,Live in the world,How to get along with others.,-0.6148749589920044,-1.0397675037384033,-0.6527144908905029,0.9162812829017639,0.46164193749427795,0.9731529355049133,1.0,1.0
一不做，二不休,"Once it is started, go through with it","Don't do it, never stop","If you're going to do it, see it through.",-1.0183051824569702,-1.1062389612197876,-0.8983651399612427,0.6916542649269104,0.5437965393066406,0.9647012948989868,1.0,1.0
三寸不烂之舌,(have) a silver tongue,Three inch incorrupt tongue,has a silver tongue,-0.9101830720901489,-1.2223988771438599,-1.1267590522766113,0.8622207045555115,0.4219984710216522,0.9697925448417664,1.0,1.0
不二法门,No other way,The only way,There's no other way.,-0.5354689359664917,-0.7399119734764099,-0.5925061702728271,0.8844413161277771,0.7799756526947021,0.9856467247009277,1.0,1.0
不塞不流，不止不行,"There is no flowing without damming, and no motion without rest","No plug, no flow, more than that",You need resistance to make progress.,-0.5439227223396301,-0.956898033618927,-0.4842589795589447,0.45490846037864685,0.5287371873855591,0.9499794840812683,1.0,0.0
竭尽全力,To the best of one's ability,Make every effort,Give it your all.,0.14251843094825745,0.3510098457336426,-0.06511946022510529,0.6806614398956299,0.6095491051673889,0.9617946743965149,0.0,1.0
鞠躬尽瘁，死而后已,Give one's all till one's heart stops beating,Bow down and die,To give one's all until one's dying breath.,-1.0508030652999878,-0.9879918694496155,-0.8737943172454834,0.6276001334190369,0.3928179144859314,0.9445450901985168,0.0,1.0
人同此心，心同此理,Everybody feels the same about this,"People have the same heart, the same heart",We all feel the same way about this.,-0.47931453585624695,-1.3890150785446167,-0.6170521378517151,0.8806877732276917,0.39867717027664185,0.9730899930000305,1.0,1.0
下笔千言，离题万里,Write quickly but stray from the theme,"Write a thousand words, digress thousands of miles",They write a thousand words and end up miles off-topic.,-0.6836300492286682,-0.7421408891677856,-0.49541428685188293,0.5917664170265198,0.49549785256385803,0.9604017734527588,1.0,1.0
韬光养晦,Hide one's capacities and bide one's time,Keep a low profile,Lie low and bide your time.,-0.5023633241653442,-0.1116926521062851,-0.6092948317527771,0.6578490138053894,0.47867587208747864,0.9441482424736023,0.0,1.0
端倪可察,Have found a due to something,Clues can be seen,The signs are clear.,-0.08713805675506592,-0.48043039441108704,-0.930666983127594,0.5465762615203857,0.651933491230011,0.9607172608375549,1.0,0.0
人尽其才,Bring everyone's ability (or talent) into full play,People do their best,Make the most of everyone's talents.,-0.2997574508190155,-0.4034416973590851,-0.4641047418117523,0.7767088413238525,0.525018036365509,0.9611368775367737,1.0,1.0
