|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|"""One wave has not calmed down, and another wave arises."""
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|"""One board, three eyes"""
2|一鼻孔出气|Be in tune with|Exhale through one nostril|"""To breathe through the same nostril"""
3|一步登天|Have a meteoric rise|One step to the sky|"""To reach the sky in one step"""
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|If you don't do it, don't even think about stopping.
5|一拍即合|Fit in readily|Hit it off|"""One clap, and it's a perfect match."""
6|一抔黃土|Mere dust heaps|A handful of loess|A handful of yellow earth
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|"""一盘散沙"" is a Chinese idiom that can be translated as ""a heap of loose sand."" This idiom is used to describe a situation or group of people that are disorganized, lacking unity, and unable to work together effectively."
8|一模一样|Exactly alike|Exactly the same|"""一模一样"" is a Chinese idiom that translates to ""identical."" It is used to describe two things that are exactly the same in appearance, form, or characteristics. The idiom emphasizes the similarity and uniformity between the objects or individuals being compared."
9|一马当先|Take the lead|Lead the way|"""Lead the way like a galloping horse"""
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|"""A vast plain stretches out before you, uninterrupted by any obstacles, offering a clear and unobstructed view."""
11|一面之交|Have met only once|Side by side|"""A passing acquaintance"" or ""a brief encounter""."
12|一目了然|Understand fully at a glance|At a glance|"""At a glance, everything is clear and evident."""
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|"""One glance, ten lines"""
14|一得之功|Just an occasional, minor success|One hits at a time|"""A single achievement or success"""
15|一刀两断|Make a clean break|Cut in two|"""To sever all ties with a clean cut"""
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|"""A stagnant pond"""
17|一诺千金|A solemn promise|A promise of gold|"""A promise is worth a thousand pieces of gold."""
18|一劳永逸|Put things right once and for ail|Once and for all|"""To achieve something with a single effort that will bring about permanent relief or freedom from a recurring problem."""
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|"""A glimpse of a scale and a fragment of a claw"""
20|一改故辙|Rid oneself of an old habit|Change the way|"""Change one's old ways and embark on a new path."""
21|一概而论|Put in the same category|In general terms|"""To generalize and make sweeping statements"""
22|一鼓作气|Get something done in one vigorous effort|All in one go|"""One drum, one breath"""
23|一国三公|Divided leadership|One country, three princes|"""One country, three dukes"""
24|一棍子打死|Finish off with a single blow|Kill with a stick|"""To hit someone with a stick and kill them."""
25|一刻千金|Every moment is precious|A moment of gold|"""One moment is worth a thousand pieces of gold."""
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|"""A narrow-minded view"" or ""a limited perspective"""
27|一呼百应|An appeal meets with immediate response|A hundred calls|"""A single call, a hundred responses"""
28|一挥而就|Be done with one stroke of the pen|In a flash|"""To achieve success in a single stroke"" or ""To accomplish something effortlessly and with great skill."""
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|"""Love at first sight"""
30|一见如故|Become fast friends at the first meeting|See you soon|"""One glance, and we are as if old friends."""
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|One action, two benefits.
32|一举成名|Achieve instant fame|Rise to fame|To achieve fame in a single stroke.
33|一气呵成|(of an essay) form a coherent whole|All in one go|"""To accomplish something in one go, without interruption or hesitation."""
34|一丘之貉|Jackals of the same lair|A raccoon dog|"""One hill, one fox"""
35|一穷二白|Backward both economically and culturally|One poor and two white|"""One is poor, two is white"""
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|"""One crab is not as good as another crab."""
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|"""A thousand miles in a single rush"""
38|一笑置之|Laugh off|Laugh it off|"""One smile, and it's put aside."""
39|一心一德|Be at one|One Heart One Virtue|"""One heart, one mind"""
40|一纸空文|Empty words on a sheet of paper|A piece of paper|A piece of paper with empty words.
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|"""A dream of yellow millet"""
42|一张一弛|Strike a proper balance between work and rest|One by one|"The idiom ""一张一弛"" in Chinese translates to ""alternate between tension and relaxation"" in English."
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|"""One careless move, and the entire game is lost."""
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|"""One mistake, two errors."""
45|一筹莫展|Be at one's wits' end|Nothing can be done|"""At a loss for a single move"""
46|一唱百和|Chime in with others|One hundred and one singing|"""One sings, and a hundred voices join in harmony."""
47|一唱一和|Sing the same tune|One sing and one harmony|"""One sings, one harmonizes."""
48|一触即溃|Collapse at the first encounter|Crash at a touch|"""One touch and it collapses"""
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|"""Treat everyone equally and without discrimination."""
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|A single misstep, a regret for a thousand years.
