|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|To sneak a peek
1|आंखों का तारा|beloved person|the star of the eyes|The Star of the Eye
2|चेहरा उतरना|to be sad or disappointed|the face to fall|To lose one's composure
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|To bite one's tongue
4|साँस लेना|to feel relieved after hard work|to take a breath|To breathe
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|To have a firm or definite plan.
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|To escape by a whisker
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|The enemy of intelligence
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|Playing with fire
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|**Translation:** Jumping Mice in the Stomach
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|To Reach the Sky
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|The gap between heaven and hell
12|हवा से बातें करना|to move very fast|to talk with the wind|Chattering with the wind
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|A hard line to toe
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|The mountain has fallen.
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|To be as bright as the moon during Eid
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|To mislead or deceive
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|To pour out one's heart
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|To get rid of a problem or difficulty.
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|"""To take one's time and be cautious."""
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|To be impressive or awe-inspiring.
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|To make a noise with one's teeth.
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|To Feel Embarrassed or Ashamed
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|To cut off someone's nose
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|To have a nervous breakdown
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|To tighten the belt
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|Having a heart of stone
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|To make someone's teeth stand on edge.
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|Laying brick by brick
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|To have confidence or pride in oneself.
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|Don't let a fly sit on your nose.
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|To have your nose cut off
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|To sleep with a golden spoon in one's mouth.
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|To be a matter of the nose
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|To wrinkle one's nose
35|नाक नीची करना|to humiliate publicly|to make the nose low|To lower one's head
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|To be attentive or to listen carefully.
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|Don't nag me about it.
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|To give someone a piece of one's mind
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|To whisper in someone's ear
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|To grab someone by the ear
41|कान भरना|to manipulate someone against another|to fill the ears|To fill one's ears
42|कान काटना|to outsmart completely|to cut the ear|To Cut Off One's Nose to Spite One's Face
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|To look down on someone from a position of superiority.
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|To talk about things that are not possible or practical.
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|A camel that fell from the sky got stuck in a haystack.
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|To Be Irritated or Annoyed
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|Pouring Oil on the Fire
48|आग में कूदना|to take a dangerous risk|to jump into the fire|**English:** To jump into the fire
49|आग लगना|to become furious or jealous|for fire to catch|To Light a Fire
50|आग ठंडी होना|to calm down after anger|for the fire to cool|The fire has cooled down.
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|To boil with anger
52|आग से खेलना|to invite danger knowingly|to play with fire|Playing with Fire
53|आग लगाना|to instigate or provoke trouble|to set on fire|To ignite a fire
54|आग दिखाना|to show anger or power|to show fire|To Show Off
55|आग लग जाना|to feel jealous or restless|for fire to get lit|To Get Irritated or Annoyed
56|आग बन जाना|to become furious|to become fire|To Get Irritated or Annoyed
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|Pouring oil on the fire
58|धूल चाटना|to face defeat or humiliation|to lick dust|**English:** To get a beating
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|To sweep the dust under the rug
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|To brush aside or ignore something.
