,src,true_meaning,literal_translation,predicted
0,一波未平，一波又起,Suffer a string of reverses,"One wave is not flat, another wave is rising",4) <optional other English idioms>
1,一板三眼,Following a prescribed pattern in speech or action,One board and three eyes,To leave nothing undone
2,一鼻孔出气,Be in tune with,Exhale through one nostril,In the same boat
3,一步登天,Have a meteoric rise,One step to the sky,To have a mountain to climb
4,一不做，二不休,"Once it is started, go through with it","Don't do it, never stop",2. 不可不慎
5,一拍即合,Fit in readily,Hit it off,Candidates: <list of similar English idioms>
6,一抔黃土,Mere dust heaps,A handful of loess,3) To sweep something under the rug
7,一盘散沙,Lacking a spirit of cooperation,A plate of loose sand,4) <list the other English idioms as candidates>
8,一模一样,Exactly alike,Exactly the same,1) As alike as two peas in a pod
9,一马当先,Take the lead,Lead the way,To put the seal on it
10,一马平川,A wide expanse of flat land,One Horse Pingchuan,"The final answer is: Best:  . Thank you for helping me. If you need more Chinese idioms, please let me know."
11,一面之交,Have met only once,Side by side,```
12,一目了然,Understand fully at a glance,At a glance,2) As clear as day
13,一目十行,Take in ten lines at one glance (said of a rapid reader),Ten lines at a glance,4) <other English idioms if available>
14,一得之功,"Just an occasional, minor success",One hits at a time,"Ride the wave.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful after an initial success.  # The Chinese idiom ""一得之功"" means that success in one endeavor is often followed by a series of successes, which is similar to the English idiom ""ride the wave"", meaning to continue to be successful"
15,一刀两断,Make a clean break,Cut in two,<select the most relevant English idiom>
16,一潭死水,"A stagnated, dull atmosphere",A pool of stagnant water,A dead end.
17,一诺千金,A solemn promise,A promise of gold,My word is my bond.
18,一劳永逸,Put things right once and for ail,Once and for all,Strike while the iron is hot
19,一鳞半爪,Odd bits / fragments,One Scale Half Claw,2) A square peg in a round hole
20,一改故辙,Rid oneself of an old habit,Change the way,4) <optional other idioms>
