,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,2) Off the beaten path
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Definition: <one-sentence definition>
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,To put all the eggs in one basket
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,2) Work oneself to the bone
1004,混世魔王,Devil incarnate,Demon King of Chaos,The master of the craft.
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,4) <optional other English idioms>
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,<select the most relevant English idiom>
1007,混为一谈,Confuse something with something else,Mix it up,Explanation:
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,4) <optional other idioms>
1009,添枝加叶,Embellish a story,Add branches and leaves,Stage-1 output:
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To make a mountain out of a molehill
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,```
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,1) A weight has been lifted off one's shoulders.
1013,游刃有余,Be move than equal to a task,Do it with ease,4) <optional explanation>
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,4) <optional additional idiom>
1015,浑然一体,An integral whole,All in one,1)
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,```
1017,沧海横流,The changes and disorders of the times,Across the sea,1) A level playing field
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,Note: The above output is the correct answer. The task is to generate this output based on the input Chinese idiom.
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,4)
1020,滴水成冰,Freezing cold,Dripping into ice,A drop in the ocean
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall.
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Other people's shoes are always cleaner than one's own.
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,<select the most relevant English idiom>
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,Free rider
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Pouring gasoline on a fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,Optional: <list other relevant English idioms>
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,<select the most relevant English idiom>
1028,烈火见真金,True blue will never stain,Fire sees real gold,To separate the wheat from the chaff
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Explanation: <briefly explain why it is the best match>
1030,无米之炊,Make bricks without straw,Cooking without rice,A bird in the hand is worth two in the bush.
