,src,true_meaning,literal_translation,predicted
0,आंखें चुराना,to avoid being seen,to hide one’s eyes,Steal the show  (This idiom means to be the center of attention and to outshine others.)
1,आंखों का तारा,beloved person,the star of the eyes,A big heart
2,चेहरा उतरना,to be sad or disappointed,the face to fall,Explanation: <briefly explain why the selected idiom is the best match>
3,दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth,OR
4,साँस लेना,to feel relieved after hard work,to take a breath,change one's mind
5,बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm,Note: The stage-1 output has been provided in the question itself.
6,बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair,2) Between a rock and a hard place
7,अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom,Definition: <define the Hindi idiom>
8,जान पर खेलना,to act fearlessly or take great risks,to play with one’s life,Playing with fire
9,पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach,The grapevine
10,आसमान पर चढ़ना,to be proud or overconfident,to climb onto the sky,A jack of all trades is a master of none
11,आकाश पाताल का अंतर,to be vastly different,difference between sky and netherworld,"Note: If you think there are multiple idioms that are equally relevant, mention them all."
12,हवा से बातें करना,to move very fast,to talk with the wind,Talk to the wall
13,पत्थर की लकीर,to be firm on one’s word or decision,a line of stone,Definition: <definition of the Hindi idiom>
14,पहाड़ टूट पड़ना,to face a huge problem or calamity,a mountain breaking and falling (upon),The situation is spiraling out of control.
15,ईद का चाँद होना,to appear after a long time (a rare person),to be the moon of Eid,<select the most relevant English idiom>
16,चकमा देना,to deceive or trick someone,to give a dodge/trick,Cut to the chase
17,उल्टी गंगा बहना,something unusual or against norms happening,the Ganga to flow in reverse,Alternatives: <list the other English idioms that are somewhat relevant>
18,छक्के छुड़ाना,to defeat completely,to make someone’s sixes come out,Give someone the old heave-ho
19,फूँक-फूँक कर कदम रखना,to act very cautiously,to place steps after blowing (carefully),4) <other similar English idioms if any>
20,दम में दम आना,to regain courage or relief after fear,breath to come into one’s breath,OR
21,दाँत से दाँत बजाना,to shiver from cold,to make tooth strike tooth (chatter),<select the most relevant English idiom>
22,मुँह में पानी आना,to be tempted by delicious food,water to come into the mouth,On the verge of tears
23,नाक काटना,to disgrace or embarrass someone,to cut the nose,<English idiom> OR
24,कमर टूटना,to feel exhausted or discouraged,the waist to break,On the sly
25,कमर कसना,to prepare oneself for a challenge,to tighten the waist (belt),4) <other English idioms if available>
26,कलेजा पत्थर का होना,to be mentally or emotionally very strong,the liver/heart to be of stone,<select the most relevant English idiom>
27,दाँत खट्टे करना,to defeat someone badly,to make the teeth sour,A dog's breakfast
28,ईंट से ईंट बजाना,to completely destroy or demolish someone,to make brick strike brick,To make a mountain out of a molehill.
29,नाक में दम करना,to annoy someone constantly,to put breath in the nose,Full of hot air
30,नाक पर मक्खी न बैठने देना,to be strict or disciplined,to not let a fly sit on the nose,Book smarts
31,नाक कट जाना,to lose one's honor or respect,the nose to get cut,To be left high and dry
32,नाक में तेल डालकर सोना,to sleep carefreely without worries,to sleep after putting oil in the nose,To be in a state of denial
33,नाक का सवाल होना,to be a matter of pride or ego,to be a question of the nose (honor),Not my cup of tea
34,नाक भौं सिकोड़ना,to show disapproval,to wrinkle the nose and brows,Turn up one's nose
35,नाक नीची करना,to humiliate publicly,to make the nose low,To eat humble pie
36,कान खड़े होना,to become alert or suspicious,for the ears to stand up,A pearl in the oyster
37,कान पर जूँ न रेंगना,to remain unaffected or unmoved,for not even a louse to crawl on the ear,1) To be too proud to ask for directions
38,कान में तेल डालना,to ignore someone's words,to pour oil into the ear,Putting on airs
39,कान में फूंक मारना,to influence or manipulate someone secretly,to blow a puff into the ear,Indulge in something before it's time
40,कान पकड़ना,to vow never to repeat a mistake,to hold the ears,To be caught red-handed
41,कान भरना,to manipulate someone against another,to fill the ears,To be in seventh heaven
42,कान काटना,to outsmart completely,to cut the ear,To turn a deaf ear
43,आसमान सिर पर उठाना,to create a big commotion or panic,to lift the sky onto one’s head,<select the most relevant English idiom>
44,आसमान से बातें करना,to reach great heights or success,to talk with the sky,Talk to the wind.  was incorrect. The correct answer is:
45,आसमान से गिरे खजूर में अटके,to fall from one trouble into another,"having fallen from the sky, stuck in a date-palm",To be in a tight spot
46,आग बबूला होना,to become extremely angry,to become fire-foaming (blazing angry),Big heart
47,आग में घी डालना,to worsen an already bad situation,to pour ghee into the fire,```
48,आग में कूदना,to take a dangerous risk,to jump into the fire,Candidates: <list the other English idioms that match the definition>
49,आग लगना,to become furious or jealous,for fire to catch,Explanation: <provide a brief explanation for the selected idiom>
50,आग ठंडी होना,to calm down after anger,for the fire to cool,3) The situation cooled down after the intervention.
51,आग उगलना,to speak harshly or aggressively,to spit/emit fire,To blow one's top
52,आग से खेलना,to invite danger knowingly,to play with fire,To play with fire
53,आग लगाना,to instigate or provoke trouble,to set on fire,<select the most relevant English idiom>
54,आग दिखाना,to show anger or power,to show fire,To cry wolf
55,आग लग जाना,to feel jealous or restless,for fire to get lit,1) <option 1>
56,आग बन जाना,to become furious,to become fire,To be in a tight spot
57,आग पर तेल डालना,to intensify an argument or situation,to pour oil on the fire,<English idiom> (with a brief explanation)
58,धूल चाटना,to face defeat or humiliation,to lick dust,Definition: <definition of the Hindi idiom>
59,धूल फाँकना,to struggle in poverty or hardship,to gulp/eat dust,To cry over spilt milk
60,धूल झाड़ना,to scold or reprimand strongly,to shake off dust,4) <optional fourth idiom>
61,धूल में मिलाना,to destroy completely,to mix into dust,A den of thieves
62,धूल उड़ाना,to make a scene unnecessarily,to raise/fly dust,Make a mountain out of a molehill
63,धूल झोंकना,to deceive or mislead someone,to throw dust (in the eyes),Stick one's nose in
64,हवा निकल जाना,to lose courage suddenly,for the air to go out,<select the most relevant English idiom>
65,हवा खा जाना,to run away secretly,to eat wind,Others: <list the other two English idioms>
66,हवा में उड़ाना,to waste money carelessly,to throw/waft in the air,1) In the arena
67,हवा बन जाना,to disappear quickly,to become air,Definition: <definition of the Hindi idiom>
68,हवा में बात करना,to speak without proof or sense,to speak into the air,Talk to the wind
69,हवा लगना,to be influenced by others,to catch/get the wind,A storm is brewing
70,हवा देना,to encourage or instigate something,to give air,1) Give someone a break
71,हवा बदलना,to change situation or environment,to change the air,"1) When the winds of change blow, some build walls and others build windmills."
72,हवा चखना,to get a taste of something new (usually trouble),to taste the air,Definition: <one-sentence definition>
73,हवा बंद होना,to lose confidence completely,for the air to stop,be at one's wit's end
74,आँख में धूल झोंकना,to deceive or fool someone,to throw dust into the eye,<select the most relevant English idiom> OR
75,आँखें फटी की फटी रह जाना,to be shocked or amazed,for the eyes to remain torn-open,To be left gobsmacked.
76,आँखों में धूल झोंकना,to cheat someone cleverly,to throw dust into the eyes,To throw dust in someone's eyes
77,आँखों में बस जाना,to win someone’s heart,to come to reside in the eyes,OR
78,आँखों से ओझल होना,to disappear from sight,to be hidden from the eyes,```
79,आँख दिखाना,to threaten or scold harshly,to show the eye,Explanation: <brief explanation of the Hindi idiom and why the selected English idiom is the best match>
80,आँख तरेरना,to glare angrily,to glare with the eyes,<English idiom> OR <English idiom>
81,आँखें फाड़ना,to stare in surprise,to rip/tear the eyes open (goggle),To be itching to do something
82,आँखें मूँदना,to ignore intentionally,to shut/close the eyes,Definition: <one-sentence definition>
83,आँखों में आँसू आना,to become emotional or sad,for tears to come into the eyes,1) Make the best of it
84,दिल लगाना,to fall in love,to attach the heart,```python
85,दिल तोड़ना,to break someone's heart,to break the heart,Alternatives: <list the other relevant English idioms>
86,दिल जीतना,to win someone's affection,to win the heart,To put one's life on the line
87,दिल पर लेना,to take something personally,to take to the heart,Speak one's mind
88,दिल लगाकर काम करना,to work wholeheartedly,to work with the heart attached,Put your heart and soul into it
89,दिल में बात रखना,to hide one’s feelings,to keep the matter in the heart,Rest: <list the other English idioms in any order>
90,दिल पर पत्थर रखना,to act bravely despite pain,to place a stone on the heart,Explanation: <briefly explain why the selected idiom is the most relevant>
91,दिल जलना,to feel jealous or envious,for the heart to burn,Alternatives: <list the other relevant English idioms>
92,दिल बहलाना,to distract from sadness,to amuse/console the heart,To calm the troubled waters
93,दिल धड़कना,to feel nervous or excited,for the heart to beat,1) My heart skipped a beat.
94,दिल खोलकर देना,to be generous,to give with the heart open,To capture someone's heart
95,दिल में चोर होना,to have guilt or bad intentions,for there to be a thief in the heart,```
96,दिल में बसना,to be deeply loved or remembered,to dwell in the heart,To eat your last meal
