,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To cash in
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,<select the most relevant English idiom>
802,पैर रोक लेना,to hesitate before action,to hold back the foot,To put a stop to
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To give the cold shoulder
804,मुँह बंद कर देना,to silence completely,to shut the mouth,3
805,मुँह चलाना,to speak unnecessarily,to run the mouth,A man of straw
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,<select the most relevant English idiom>
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,Stage-2 output (definition + candidates):
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,2) Kick up a fuss
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Dress someone down
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Sing someone's praises
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,A den of thieves
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a premonition
813,दिल में जगह बनाना,to win affection,to make a place in the heart,"Explanation: The Hindi idiom ""चार दीवारों के पीछे"" means to be secretive or hidden from public view. The English idiom ""To be behind closed doors"" is the best match as it implies being in a private or secluded space, similar to being hidden from public view. The other options, such as ""To be in the closet"" and ""To be in the shadows"", convey different meanings and are not as directly related to the concept of secrecy and hiddenness."
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,A thorn in one's side
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,<select the most relevant English idiom>
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Alternatives:
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the heart
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,3) Be flabbergasted
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,1)
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Break one's heart OR
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,An apple a day keeps the doctor away
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,Go off the deep end
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,OR
