,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",3) We have to act fast to fix this.  ##### Stage-2 output (translated sentence + English sentence)
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","1) Whatever happens, it's for the best."
2,2,- हाँ.,- Yeah.,2) This is a huge issue.  # This is a big question.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a huge issue.  # This is a
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,4) <english sentence> (if available)
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,<select the most relevant English sentence>
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',1) Sending a letter to a ghost address.
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,A camera used to capture images.
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,"1) The entire town has been abandoned, and the deer god has been slaughtered."
8,8,वो मेरी माँ है.,My mother's from Sweden.,2) Life is a high-stakes game.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",<select the most relevant English sentence>
