Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Use any means to solve any problem, but solve it quickly. (The original Chinese idiom """" (suī jiāo huò gōu lǐ gōu, hěn jiào kuài zhěng zhì) is a more idiomatic expression that conveys the idea of solving a problem quickly and effectively, rather than just using any means to solve it.)"
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","They said to Shuaib, ""You say things that we often don't understand, and it's clear that we consider you weak, and if your tribe didn't exist, we would have killed you long ago, and you wouldn't have been able to stand up to us."
2,- हाँ.,- Yeah.,"- I'm ready to work with you, but you have to say yes. yes."
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,The same person who is reckless with his own life is a threat to his enemies!
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,♫️ हमेशाके लिएबाध्यहोने के लिए
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',An attempt was made to send mail to a non-mbox source '%s'.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,"डाउनलोड करें (download)  मैं इस प्रकार के प्रश्नों के उत्तर देने में मदद करने के लिए तैयार हूँ। कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  यदि आपको यह प्रश्न पसंद आया हो, तो कृपया इसे मार्क करें ताकि मैं इसे भविष्य में भी देख सकूं।  यदि आपके पास कोई अन्य प्रश्न है, तो कृपया मुझे बताएं और मैं आपकी सहायता करने के लिए तैयार हूँ।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  मैं आपकी सहायता करने के लिए तैयार हूँ।  कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  मैं आपकी सहायता करने के लिए तैयार हूँ।  कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  मैं आपकी सहायता करने के लिए तैयार हूँ।  कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपकी सहायता करने के लिए यहाँ हूँ।  मैं आपकी सहायता करने के लिए तैयार हूँ।  कृपया मुझे बताएं कि क्या आपके पास और कोई प्रश्न हैं।  मैं आपक"
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Every man has gone to kill the Deer God.
8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.","If they follow the right path, they will have everything good, and if they don't, they will have everything bad. But God is watching those who pray and accepts their prayers."
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,यह अच्छा है फिल की तरह है? (yeh achchha hai fil ki tarah hai?)
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Is current stream searchable is.
