src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Literal translation: One leaf obstructs the eye.
深入浅出,Explain the profound in simple terms,Explain in simple language,Translation: to explain the essence of complex problems in a way that is easy to understand.
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deep into human heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply profound words are accepted in a roundabout way.
混世魔王,Devil incarnate,Demon King of Chaos,"He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and no one can rival him. Answer | He is the most powerful person in the world today, and"
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black+white=Confuse black and white. | 混淆黑白=混淆+黑+白=Confuse+black
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confusion is distinction
混为一谈,Confuse something with something else,Mix it up,Mix as one talk
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"This idiom describes someone who tries something but lacks the perseverance to continue. They may try it briefly, but soon lose interest and give up."
添枝加叶,Embellish a story,Add branches and leaves,To add unnecessary or excessive details.
添砖加瓦,Do one's little bit,Add bricks and mortar,"The final answer is: 不要再添砖加瓦了 (bú yào zài tiān zhuān jiā gā wǎ le) - ""Don't add any unnecessary things to it!"" or ""Don't add bricks to a completed wall!"" (idiomatic sense)"
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"This Chinese idiom, 添油加醋 (tiān yóu jiā cù), means to add extra trouble or difficulties to a situation. It is often used to advise someone not to make a bad situation worse by introducing new problems or complications. The idiom is derived from cooking, where adding oil and vinegar to a dish can enhance its flavor, but in this context, it implies adding unnecessary and unwanted elements to a situation."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,The ice melts and is released. The mind becomes loose and relaxed. Answer:
游刃有余,Be move than equal to a task,Do it with ease,"To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer, often in a situation where one's resources are limited. Answer: To have a surplus or a buffer,"
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,to fish in murky waters
浑然一体,An integral whole,All in one,"The city's natural scenery and human landscape are perfectly integrated, making it extremely beautiful."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Warm old things while knowing new things.
沧海横流,The changes and disorders of the times,Across the sea,沧海横流
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,Cang Sea
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,- To enjoy the benefits of a current system or regime while secretly hoping for its downfall and the rise of another.
滴水成冰,Freezing cold,Dripping into ice,"Drop water become ice. Answer: Through small, persistent efforts, great things can be achieved. Note: The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation. The idiomatic translation is ""Through small, persistent efforts, great things can be achieved."" The idiomatic translation is a paraphrase, not a word-for-word translation"
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end up losing; when you are humble, you will gain more. When you try too hard to show off, you will end"
满城风雨,Become the talk of the town,Wind and rain all over the city,The final answer is:
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A scolding woman who splashes water
滥竽充数,Just to fill up a vacancy,Excessive use of data,"The company hired many unqualified employees just to make up the numbers, so they could meet the government's employment quota."
火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Correct!
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,"This idiom refers to a person who appears to be highly successful and prosperous, but lacks a sense of moral values or principles. It is derived from the image of a tree with fire-red leaves (representing wealth and success) and silver flowers (representing beauty and elegance), but the tree itself is actually dead or withered, symbolizing the emptiness and hypocrisy of the person."
