src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To wash one's hands of something.
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,The correct translation of the idiom is:
पैर रोक लेना,to hesitate before action,to hold back the foot,चीनी अंकगणित:
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"- मुँह मोड़ लेना (Munh Modh Lena) translates to ""to deceive or cheat someone"
मुँह बंद कर देना,to silence completely,to shut the mouth,"The idiom मुँह बंद कर देना is a Hindi idiom. It is not a Chinese idiom. It is likely that you are confusing Hindi with Chinese because both languages use non-Latin scripts. The Hindi script is Devanagari, while the Chinese script is Hanzi (also known as Chinese characters)."
मुँह चलाना,to speak unnecessarily,to run the mouth,He's talking nonsense again.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,चीनी वाक्यांश: मुँह लगाना
मुँह मीठा होना,to taste success,for the mouth to become sweet,"If you want to know what it means, I can tell you. They're speaking with a sweet mouth. They're speaking sweetly. They're buttering you up. They're speaking with a silver tongue. They're speaking sweet nothings. They're speaking with honeyed words. They're speaking with flattery. They're speaking with insincerity. They're speaking with a forked tongue. They're speaking with a honeyed tongue. They're speaking sweetly to your face. They're speaking sweetly behind your back. They're speaking with a tongue in cheek. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking with a tongue that's not their own. They're speaking with a tongue that's not sincere. They're speaking"
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,- Interject
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Answer: To beat one's mouth.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,"The idiom मुँह धुलवाना (mūha dhulavānā) is a Hindi idiom that translates to ""to wash the mouth"" in English. The literal translation is a direct representation of the idiom's meaning, which is to speak or say something, often in a flattering or deceitful manner, in order to gain favor or advantage. The idiom is often used to describe someone who is speaking insincerely or trying to curry favor with someone in power."
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,"to create a problem or difficulty for someone else, often to distract from one's own problems or mistakes. Answer: to create a problem or difficulty for someone else, often to distract from one's own problems or mistakes. Answer the following questions to get the translation of the idiom. 1. What does ""माथे पर शिकन डालना"" mean in English? 2. What is the literal translation of ""माथे पर शिकन डालना""? 3. What is the meaning of ""माथे पर शिकन डालना""? 4. What is the translation of the idiom ""माथे पर शिकन डालना""? 5. What is the literal translation of the idiom ""माथे पर शिकन डालना""? 6. What does ""माथे पर शिकन डालना"" mean? 7. What is the translation of ""माथे पर शिकन डालना""? 8. What is the meaning of ""माथे पर शिकन डालना"" in English? 9. What is the idiom ""माथे पर शिकन डालना"" in English? 10. What is the literal translation of ""माथे पर शिकन डालना"" in English? 11. What is the meaning of the idiom ""माथे पर शिकन डालना""? 12. What does ""माथे पर शिकन डालना"" literally mean? 13. What is the translation of the idiom ""माथे पर शिकन डालना"" in English? 14. What is the idiom ""माथे पर शिकन डालना"" translated to English? 15. What is the literal translation of ""माथे पर शिकन डालना"" in English? 16. What is the meaning of ""माथे पर शिकन डालना"" in English? 17. What is the translation of ""माथे पर शिकन डालना"" in English? 18. What is the idiom ""माथे पर शिकन डालना"" in English? 19. What is the literal translation of ""माथे पर शिकन डालना""? 20. What is the meaning of the idiom ""माथे पर शिकन डालना""? Answer: to create a problem or"
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have one's fate sealed.
दिल में जगह बनाना,to win affection,to make a place in the heart,"To make a place in the heart. Answer: To win someone's heart. Explanation: This idiom is a natural English idiomatic translation of the Hindi phrase ""दिल में जगह बनाना"". The phrase ""to win someone's heart"" is a common English idiom that means to gain someone's affection or trust. It is a more natural and idiomatic translation than the literal word-by-word translation ""to make a place in the heart""."
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Heart in thorns to prick.
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I'm not sure what you're asking for. Can you please clarify or provide more context?
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,He holds a grudge because his friend betrayed him.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,From the bottom of my heart. ## Step 1: Understand the idiom
दिल हिल जाना,to be shaken emotionally,for the heart to shake,My heart was moved.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,I was extremely happy. Answer: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I was extremely happy. Idiom: दिल बाग़-बाग़ होना Explanation: (dil baag-baag hona) Meaning: to be extremely happy or excited Literal: (dil baag-baag hona) Translation: I was extremely happy. Result: I
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,My heart broke and remained.
दिल को सुकून मिलना,to find peace,for the heart to find peace,"दिल को सुकून मिलना (dil ko sukoon milna) - literally: ""heart finds peace"
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,I don't care.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,"The idiom ""दिमाग ठिकाने लग जाना"" means ""to get stuck in one's mind"" or ""to be preoccupied with a particular thought or idea""."
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,To put weight on the head.
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,Two-handed person
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To lose one's mind.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was very nervous about the exam. Answer: I was
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Idiomatic translation: To get work done by any means.
