|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|One wave is not calm, another wave is rising.
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|One eye, two eyes, three eyes
2|一鼻孔出气|Be in tune with|Exhale through one nostril|One’s nose will blow out
3|一步登天|Have a meteoric rise|One step to the sky|One step to the sky
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|(1) One doesn’t do it, two doesn’t stop.
5|一拍即合|Fit in readily|Hit it off|一拍即合
6|一抔黃土|Mere dust heaps|A handful of loess|One scoop of yellow dirt
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|一盘散沙
8|一模一样|Exactly alike|Exactly the same|One is the same as another
9|一马当先|Take the lead|Lead the way|(1) The first one to go first
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|One horse can go a long way.
11|一面之交|Have met only once|Side by side|One Face to Face
12|一目了然|Understand fully at a glance|At a glance|一目了然
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|One glance, ten lines
14|一得之功|Just an occasional, minor success|One hits at a time|一得之功
15|一刀两断|Make a clean break|Cut in two|### English Translation: ### Chinese Translation: ### Example Sentence: ### Chinese Example Sentence: ### English Example Sentence:
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|A dead pond is a dead pond
17|一诺千金|A solemn promise|A promise of gold|一诺千金
18|一劳永逸|Put things right once and for ail|Once and for all|一劳永逸
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|One claw and half a claw
20|一改故辙|Rid oneself of an old habit|Change the way|One step forward, two steps back
21|一概而论|Put in the same category|In general terms|One thing at a time
22|一鼓作气|Get something done in one vigorous effort|All in one go|一鼓作气
23|一国三公|Divided leadership|One country, three princes|一国三公
24|一棍子打死|Finish off with a single blow|Kill with a stick|### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ###
25|一刻千金|Every moment is precious|A moment of gold|一刻千金
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|One-See-All
27|一呼百应|An appeal meets with immediate response|A hundred calls|一呼百应
28|一挥而就|Be done with one stroke of the pen|In a flash|一挥而就
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|一见钟情
30|一见如故|Become fast friends at the first meeting|See you soon|一见如故
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|一举两得
32|一举成名|Achieve instant fame|Rise to fame|成名
33|一气呵成|(of an essay) form a coherent whole|All in one go|One's will is effective
34|一丘之貉|Jackals of the same lair|A raccoon dog|One-Headed Goat
35|一穷二白|Backward both economically and culturally|One poor and two white|### English Translation: ### Chinese Translation: ### Chinese Translation: ### Chinese Translation: ### Chinese Translation:
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|One crab is not like one crab
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|“One drop can cover a thousand miles”
38|一笑置之|Laugh off|Laugh it off|一笑置之
39|一心一德|Be at one|One Heart One Virtue|一心一德
40|一纸空文|Empty words on a sheet of paper|A piece of paper|A blank paper
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|一枕黄粱
42|一张一弛|Strike a proper balance between work and rest|One by one|One by one, not all at once
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|One mistake leads to a loss of all bets.
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|One mistake, two mistakes
45|一筹莫展|Be at one's wits' end|Nothing can be done|(1) To be in a difficult situation
46|一唱百和|Chime in with others|One hundred and one singing|One sings a hundred and becomes a hundred times better
47|一唱一和|Sing the same tune|One sing and one harmony|One song, one harmony
48|一触即溃|Collapse at the first encounter|Crash at a touch|一触即溃
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|One's views are the same as others' views
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|A person's failure to take the right path will be a regret for a thousand years.
51|一手包办|Take everything on oneself|Do it all|To arrange matters in one's own hands
52|一手遮天|Hoodwink the public|Cover the sky with one hand|One hand covers the sky
53|一身是胆|Know no fear|All the courage|One's whole body is full of courage
54|一日千里|By leaps and bounds|A thousand miles a day|The meaning of the idiom is that one day can be a long time.
55|一日三秋|Miss somebody very much|Three autumns a day|One day, three seasons
56|一人难如千人意|One man con hardly meet the wishes of everybody|One person is as difficult as a thousand people|One person is like a thousand people
57|一字千金|One character is worth a thousand ounces of gold|A thousand words|一字千金
58|一则以喜，一则以惧|Feel both joy and fear|One for joy, one for fear|One thing is happy, one thing is sad.
