|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|To steal eyes
1|आंखों का तारा|beloved person|the star of the eyes|आंखों का तारा (tāra) means ‘the eye’s thread’.
2|चेहरा उतरना|to be sad or disappointed|the face to fall|(1) To remove the face
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|To press the fingers on the teeth
4|साँस लेना|to feel relieved after hard work|to take a breath|To take a breath
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|बात पक्की होना (Baat Pakki Hon)
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|बाल-बाल बचना means to escape or avoid something quickly.
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|The enemy of the mind
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|जान पर खेलना (Jaan par khelna)
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|In Hindi, the idiom “पेट में चूहे कूदना” means “to jump into the stomach of a dog”.
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|To ascend to the sky
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|आकाश पाताल का अंतर
12|हवा से बातें करना|to move very fast|to talk with the wind|### English Translation: ### Meaning: ### Context: ### Example: ### Example: ### Example:
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|पत्थर की लकीर
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|पहाड़ टूट पड़ना = to break down the mountains
