|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|一波未平，一波又起
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|Following a prescribed pattern in speech or action
2|一鼻孔出气|Be in tune with|Exhale through one nostril|一鼻孔出气
3|一步登天|Have a meteoric rise|One step to the sky|一登天
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|一不休，二不休
5|一拍即合|Fit in readily|Hit it off|readily satisfied
6|一抔黃土|Mere dust heaps|A handful of loess|1抹黃土
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|一盘散沙
8|一模一样|Exactly alike|Exactly the same|(or) same (or) alike
9|一马当先|Take the lead|Lead the way|Take the lead
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|a wide expanse of flat land
11|一面之交|Have met only once|Side by side|一面之交
12|一目了然|Understand fully at a glance|At a glance|1 glance at a thing
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|一目十行
14|一得之功|Just an occasional, minor success|One hits at a time|一得之功
15|一刀两断|Make a clean break|Cut in two|Make a clean break
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|1 stagnated, 2 was never really put into motion
17|一诺千金|A solemn promise|A promise of gold|一诺千金
18|一劳永逸|Put things right once and for ail|Once and for all|Put things right once and for ail
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|一鳞半爪
20|一改故辙|Rid oneself of an old habit|Change the way|一改故辙
21|一概而论|Put in the same category|In general terms|一概而论
22|一鼓作气|Get something done in one vigorous effort|All in one go|Get something done in one vigorous effort
23|一国三公|Divided leadership|One country, three princes|whole nation
24|一棍子打死|Finish off with a single blow|Kill with a stick|一棍子打死
25|一刻千金|Every moment is precious|A moment of gold|一刻千金
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|一孔之见
27|一呼百应|An appeal meets with immediate response|A hundred calls|百应百求
28|一挥而就|Be done with one stroke of the pen|In a flash|achieve what one wishes
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|fall in love (with one) at first sight
30|一见如故|Become fast friends at the first meeting|See you soon|(or) see (things) in a new light
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|一举两得
32|一举成名|Achieve instant fame|Rise to fame|instant fame
33|一气呵成|(of an essay) form a coherent whole|All in one go|a coherent whole
34|一丘之貉|Jackals of the same lair|A raccoon dog|a hill of scoundrels
35|一穷二白|Backward both economically and culturally|One poor and two white|Backward both economically and culturally
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|一蟹不如一蟹
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|一泻千里
38|一笑置之|Laugh off|Laugh it off|Laugh off
39|一心一德|Be at one|One Heart One Virtue|a coherent whole
40|一纸空文|Empty words on a sheet of paper|A piece of paper|One sheet of empty paper
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|一枕黄粱
42|一张一弛|Strike a proper balance between work and rest|One by one|a proper balance between work and rest
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|one careless move and the whole game is lost
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|possible mistake or mishap
45|一筹莫展|Be at one's wits' end|Nothing can be done|一筹莫展
46|一唱百和|Chime in with others|One hundred and one singing|one sings the same tune
47|一唱一和|Sing the same tune|One sing and one harmony|follow the same tune
48|一触即溃|Collapse at the first encounter|Crash at a touch|Collapse at the first encounter
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|same treatment (or same)
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|一失足成千古恨
51|一手包办|Take everything on oneself|Do it all|take everything on oneself
52|一手遮天|Hoodwink the public|Cover the sky with one hand|Hiding somebody's head and blocking his eyes
53|一身是胆|Know no fear|All the courage|fearless
54|一日千里|By leaps and bounds|A thousand miles a day|一日千里
55|一日三秋|Miss somebody very much|Three autumns a day|一日三秋
