|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|闭门造车
1|आंखों का तारा|beloved person|the star of the eyes|一目了然
2|चेहरा उतरना|to be sad or disappointed|the face to fall|闭门造车
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|拾人牙慧
4|साँस लेना|to feel relieved after hard work|to take a breath|听之任之
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|不打自招
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|依样画葫芦
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|不知好歹
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|玩火自焚
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|鼠窃狗盗
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|鸡鸣狗盗
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|余勇可贾
12|हवा से बातें करना|to move very fast|to talk with the wind|不得要领
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|井底之蛙
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|破釜沉舟
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|一穷二白
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|一刻千金
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|众说纷纭，莫衷一是
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|闭门造车
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|问道于盲
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|不到黄河心不死
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|背城借一
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|大鱼吃小鱼
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|不知人间有羞耻事
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|闭门造车
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|价廉物美
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|一刻千金
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|一孔之见
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|井底之蛙
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|不知人间有羞耻事
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|不知人间有羞耻事
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|不知所云
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|不知人间有羞耻事
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|不知人间有羞耻事
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|不知所以
35|नाक नीची करना|to humiliate publicly|to make the nose low|不知人间有羞耻事
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|鸡鸣狗盗
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|不知人间有羞耻事
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|不知人间有羞耻事
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|骄兵必败
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|骄兵必败
41|कान भरना|to manipulate someone against another|to fill the ears|听其言而观其行
42|कान काटना|to outsmart completely|to cut the ear|鼠窃狗盗
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|安居乐业
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|量力而行
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|鸡鸣狗盗
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|不上不下
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|一鼓作气
48|आग में कूदना|to take a dangerous risk|to jump into the fire|前事不忘，后事之师
49|आग लगना|to become furious or jealous|for fire to catch|画虎类狗
50|आग ठंडी होना|to calm down after anger|for the fire to cool|一目了然
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|引而不发
52|आग से खेलना|to invite danger knowingly|to play with fire|争权夺利
53|आग लगाना|to instigate or provoke trouble|to set on fire|画虎类狗
54|आग दिखाना|to show anger or power|to show fire|画虎类狗
55|आग लग जाना|to feel jealous or restless|for fire to get lit|一火如荼
56|आग बन जाना|to become furious|to become fire|画虎类狗
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|一衣带水
58|धूल चाटना|to face defeat or humiliation|to lick dust|问道于盲
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|不知人间有羞耻事
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|井底之蛙
61|धूल में मिलाना|to destroy completely|to mix into dust|井底之蛙
62|धूल उड़ाना|to make a scene unnecessarily|to raise/fly dust|闭塞眼睛捉
63|धूल झोंकना|to deceive or mislead someone|to throw dust (in the eyes)|问道于盲
64|हवा निकल जाना|to lose courage suddenly|for the air to go out|烟消云散
65|हवा खा जाना|to run away secretly|to eat wind|风雨同舟
66|हवा में उड़ाना|to waste money carelessly|to throw/waft in the air|风烛残年
67|हवा बन जाना|to disappear quickly|to become air|烘云托月
68|हवा में बात करना|to speak without proof or sense|to speak into the air|烘云托月
69|हवा लगना|to be influenced by others|to catch/get the wind|烟消云散
70|हवा देना|to encourage or instigate something|to give air|烘云托月
71|हवा बदलना|to change situation or environment|to change the air|changing one's work (or views)
72|हवा चखना|to get a taste of something new (usually trouble)|to taste the air|烘云托月
73|हवा बंद होना|to lose confidence completely|for the air to stop|烟消云散
74|आँख में धूल झोंकना|to deceive or fool someone|to throw dust into the eye|一人难如千人意
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|for the eyes to remain torn-open|饱食终日
76|आँखों में धूल झोंकना|to cheat someone cleverly|to throw dust into the eyes|不知人间有羞耻事
77|आँखों में बस जाना|to win someone’s heart|to come to reside in the eyes|一目了然
78|आँखों से ओझल होना|to disappear from sight|to be hidden from the eyes|一目了然
79|आँख दिखाना|to threaten or scold harshly|to show the eye|画虎类狗
80|आँख तरेरना|to glare angrily|to glare with the eyes|一目了然
81|आँखें फाड़ना|to stare in surprise|to rip/tear the eyes open (goggle)|闭门造车
82|आँखें मूँदना|to ignore intentionally|to shut/close the eyes|闭门造车
83|आँखों में आँसू आना|to become emotional or sad|for tears to come into the eyes|一目了然
84|दिल लगाना|to fall in love|to attach the heart|一寸光阴一寸金
85|दिल तोड़ना|to break someone's heart|to break the heart|鼠窃狗盗
