|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|avoid being seen
1|आंखों का तारा|beloved person|the star of the eyes|आँखों में बस जाना
2|चेहरा उतरना|to be sad or disappointed|the face to fall|दिल का चैन खोना
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|अंधेरे में रोशनी फैलाना
4|साँस लेना|to feel relieved after hard work|to take a breath|साँप के मुँह में छछूंदर
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|पाँव रोक देना
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|बचना
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|दिमाग का दही बनाना
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|दिल में बात रखना
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|चूहे कूदना
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|चढ़ना
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|अंतर का अंतर
12|हवा से बातें करना|to move very fast|to talk with the wind|हवा से बातें करना
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|पाँव पीछे हटाना
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|टूटना
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|दाँतों तले अंगुली आ जाना
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|दिल का बोझ हल्का करना
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|दिल में आग लगना
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|छुड़ाना
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|act very cautiously
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|अंधा क्या चाहे, दो आँखें
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|दाँत बजाना
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|पानी मांगना
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|दिल में कील ठोकना
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|टूटना
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|साँप के मुँह में छछूंदर
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|हाथ का पाँव
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|दाँत नाखून से नाखून से
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|ईंट से ईंट बजाना
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|दम में दम आना
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|मक्खी की तरह बगल में रहना
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|दिमाग का पारा चढ़ना
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|साँप की तरह दौड़ना
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|नाक का सवाल होना
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|नाक का बाल खींचना
35|नाक नीची करना|to humiliate publicly|to make the nose low|नाक का बाल खींचना
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|सीने में बात रखना
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|दिल का रोग
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|जान पर बन आना
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|मुँह की बात निकल जाना
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|पानी मांगना
41|कान भरना|to manipulate someone against another|to fill the ears|हाथ मिलाना
42|कान काटना|to outsmart completely|to cut the ear|दिल में बात रखना
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|बातें करना
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|सिर पर चढ़ना
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|अंधा गुस्सा करना
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|आग बबूला करना
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|आग में घी डालना
48|आग में कूदना|to take a dangerous risk|to jump into the fire|आग बबूला होना
49|आग लगना|to become furious or jealous|for fire to catch|आग लगना
50|आग ठंडी होना|to calm down after anger|for the fire to cool|pacific calm
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|आग उगलना
52|आग से खेलना|to invite danger knowingly|to play with fire|आग से निकाल कर राख करना
53|आग लगाना|to instigate or provoke trouble|to set on fire|आग लगना
54|आग दिखाना|to show anger or power|to show fire|आग में घी डालना
55|आग लग जाना|to feel jealous or restless|for fire to get lit|आग लगना
56|आग बन जाना|to become furious|to become fire|आग ठंडी होना
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|तेल पानी एक होना
58|धूल चाटना|to face defeat or humiliation|to lick dust|साँप का बच्चा
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|पानी सिर से गुजरना
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|झूठ बोलकर बचना
61|धूल में मिलाना|to destroy completely|to mix into dust|मिलाना
62|धूल उड़ाना|to make a scene unnecessarily|to raise/fly dust|धूल उड़ाना
63|धूल झोंकना|to deceive or mislead someone|to throw dust (in the eyes)|झूठ पकड़ना
64|हवा निकल जाना|to lose courage suddenly|for the air to go out|हवा में उड़ना
65|हवा खा जाना|to run away secretly|to eat wind|हवा में उड़ना
66|हवा में उड़ाना|to waste money carelessly|to throw/waft in the air|हवा में उड़ना
67|हवा बन जाना|to disappear quickly|to become air|हवा बन जाना
68|हवा में बात करना|to speak without proof or sense|to speak into the air|हवा में बात करना
69|हवा लगना|to be influenced by others|to catch/get the wind|हवा लगना
70|हवा देना|to encourage or instigate something|to give air|हवा में उड़ना
71|हवा बदलना|to change situation or environment|to change the air|हवा बदलना
72|हवा चखना|to get a taste of something new (usually trouble)|to taste the air|हवा में उड़ना
73|हवा बंद होना|to lose confidence completely|for the air to stop|हवा में उड़ना
74|आँख में धूल झोंकना|to deceive or fool someone|to throw dust into the eye|झूठ बोलना
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|for the eyes to remain torn-open|आँखों में बसा लेना
76|आँखों में धूल झोंकना|to cheat someone cleverly|to throw dust into the eyes|झूठ बोलना
77|आँखों में बस जाना|to win someone’s heart|to come to reside in the eyes|आँखों में बस जाना
78|आँखों से ओझल होना|to disappear from sight|to be hidden from the eyes|disappear from sight
79|आँख दिखाना|to threaten or scold harshly|to show the eye|आँखों में बसना
80|आँख तरेरना|to glare angrily|to glare with the eyes|आँखों में बस जाना
81|आँखें फाड़ना|to stare in surprise|to rip/tear the eyes open (goggle)|आँखों में बसना
82|आँखें मूँदना|to ignore intentionally|to shut/close the eyes|आँखों में बसा लेना
83|आँखों में आँसू आना|to become emotional or sad|for tears to come into the eyes|आँखों में आँसू भर आना
84|दिल लगाना|to fall in love|to attach the heart|कान में बात डालना
85|दिल तोड़ना|to break someone's heart|to break the heart|दिल का रोग
86|दिल जीतना|to win someone's affection|to win the heart|जुबान की मिठास
87|दिल पर लेना|to take something personally|to take to the heart|आग लगना
88|दिल लगाकर काम करना|to work wholeheartedly|to work with the heart attached|काम करना
89|दिल में बात रखना|to hide one’s feelings|to keep the matter in the heart|हाथ मिलाना
90|दिल पर पत्थर रखना|to act bravely despite pain|to place a stone on the heart|हाथ पर हाथ रखना
91|दिल जलना|to feel jealous or envious|for the heart to burn|दिल से का रोग
92|दिल बहलाना|to distract from sadness|to amuse/console the heart|साँप का बच्चा
93|दिल धड़कना|to feel nervous or excited|for the heart to beat|to feel suspense or fear
94|दिल खोलकर देना|to be generous|to give with the heart open|be generous
95|दिल में चोर होना|to have guilt or bad intentions|for there to be a thief in the heart|हाथ में हाथ डालना
96|दिल में बसना|to be deeply loved or remembered|to dwell in the heart|हाथ मिलाना
97|दिल का हाल बताना|to express inner feelings|to tell the condition of the heart|कान में बात डालना
98|दिल टूट जाना|to feel heartbroken|for the heart to break|टूट जाना
99|दिल खुश हो जाना|to become happy|for the heart to become happy|हाथ मिलाना
100|दिल में बात आना|to get an idea or feeling|for a thought to come into the heart|आग लगना
101|दिल से उतर जाना|to lose affection or trust|to descend/fall from the heart|दिल में बात रखना
102|दिल से लगाना|to love or treat affectionately|to press/hold to the heart|बात कहना
103|दिल लगा रहना|to stay interested or focused|to remain heart-attached|stay interested
104|दिमाग चलना|to think cleverly|for the mind/brain to run|अंधा क्या चाहे, दो आँखें
105|दिमाग खराब होना|to lose temper or sanity|for the mind to go bad|दिमाग खराब होना
106|दिमाग लगाना|to use intelligence or creativity|to apply the mind|मन लगाना
107|दिमाग ठिकाने लगाना|to discipline or bring to senses|to put the mind in its place|सात समुंदर पार
108|दिमाग का दही होना|to get mentally exhausted|the brain to become curd|दिमाग का दही होना
109|दिमाग घुमाना|to confuse or manipulate someone|to spin/turn someone’s mind|दिमाग घुमाना
110|दिमाग का ताला खोलना|to start thinking or understanding|to open the lock of the mind|दिमाग का ताला खोलना
111|दिमाग खाना|to irritate by constant nagging|to eat the brain|दिमाग पर जोर डालना
112|दिमाग लग जाना|to focus attention on something|for the mind to get engaged|कान में बात डालना
113|दिमाग में बात आना|to get a sudden idea|for an idea to come into the mind|कान भरना
114|पानी-पानी होना|to feel embarrassed or ashamed|to become water-water|पानी मांगना
115|पानी फिर जाना|to have plans fail suddenly|for water to go over (it)|पानी मांगना
116|पानी मांगना|to beg for mercy|to ask for water|पानी मांगना
117|पानी उतारना|to humiliate someone publicly|to bring down/drain the water|पानी उतारना
118|पानी सिर से गुजरना|to reach the limit of patience|for water to pass over the head|पानी सिर से गुजरना
119|पानी में आग लगाना|to attempt the impossible|to set fire in water|हाथ में कूदना
120|पानी पर लिखा|to be temporary or futile|written on water|पानी मांगना
121|पानी बराबर होना|to be equal in strength or skill|to be equal like water|equal strength
122|पानी पीना|to feel comfortable after fear|to drink water|पानी मांगना
123|पानी मांगना पड़ना|to be defeated badly|to have to ask for water|पानी मांगना
124|पानी लाना|to bring respect or reputation|to bring/fetch water|पानी लाना
125|हाथ बँटाना|to help or assist someone|to share/divide the hand|साँप की तरह दौड़ना
126|हाथ धोकर पीछे पड़ना|to chase or target relentlessly|to wash one’s hands and go after|पीछे पड़ना
127|हाथ खड़े कर देना|to give up completely|to make (one) raise hands|give up completely
128|हाथ पाँव फूल जाना|to panic or get nervous|for hands and feet to bloom|हाथ फूल जाना
129|हाथ मलना|to regret something deeply|to rub the hands|हाथ काटना
130|हाथ साफ़ होना|to be skilled or experienced|for the hand to be clean|हाथ धोना
131|हाथ पर हाथ धरे रहना|to do nothing|to keep one hand resting on the other|हाथ धरे रहना
132|हाथ की सफाई दिखाना|to show cleverness or skill|to show the hand’s cleanliness (sleight)|दाँत नाखून से काम करना
133|हाथ में लेना|to take responsibility for something|to take in hand|हाथ का राग
134|हाथ से निकल जाना|to miss an opportunity|to go out of the hand|निकल जाना
135|हाथ लगना|to get caught or succeed|to come to the hand|हाथ का नाम सुना, आँखों में नहीं देखा
136|हाथ धोना|to lose something completely|to wash hands|हाथ धोना
137|हाथ मिलाना|to collaborate or agree|to join hands|हाथ मिलाना
138|हाथ बाँधना|to restrict or tie someone’s ability|to tie/bind the hands|हाथ काटना
139|हाथ ऊँचा होना|to be more powerful or dominant|for the hand to be higher|हाथ ऊँचा होना
140|हाथ जलना|to learn by mistake|for the hand to be burned|हाथ मिलाना
141|हाथ थामना|to support someone|to hold the hand|हाथ मिलाना
142|हाथ पसारना|to beg or plead|to spread the hand (for alms)|हाथ काटना
143|हाथ काटना|to separate or break relation|to cut the hand|अंधा क्या चाहे, दो आँखें
144|हाथ मोड़ना|to refuse or reject something|to twist the hand|हाथ मोड़ना
145|पैर पसारना|to spend or expand beyond means|to spread the feet|पाँव पसारकर सोना
146|पैर जमाना|to settle firmly|to set the feet firm|साँप निकल जाना
147|पैर पकड़ना|to beg for forgiveness|to hold the feet|पाँव रोकना
148|पैर तले ज़मीन खिसकना|to be shocked or lose ground|for the ground to slip from under the feet|पाँव पीछे खींचना
149|पैर पर कुल्हाड़ी मारना|to harm oneself by one’s own actions|to strike an axe on one’s foot|पानी सिर से गुजरना
150|पैर पीछे खींचना|to withdraw from commitment|to pull the feet back|पाँव पीछे खींचना
151|पैर फैलाना|to extend scope gradually|to spread the feet|पाँव फैलाना
152|पैर रोकना|to restrain or hesitate|to stop the feet|रोक देना
153|पैर रखना|to begin something new|to place a foot|पाँव रखना
154|पैर उठाना|to show disrespect or overconfidence|to lift the foot|पाँव पीछे हटाना
155|मुँह बनाना|to show annoyance or sadness|to make a face|मुँह में ज़ुबान नहीं
156|मुँह खोलना|to start speaking up|to open the mouth|खून खौलना
157|मुँह लटकाना|to look disappointed|to hang the face|दिल का रोग
158|मुँह की खाना|to suffer humiliation|to eat of the mouth|मुँह में ज़ुबान नहीं
159|मुँह मोड़ना|to turn away or refuse help|to turn the face away|दाँत नाखून से काम लेना
160|मुँह दिखाना|to appear shamelessly after wrongdoing|to show the face|दिल लगाना
