|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|Wave after wave after wave
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|One-eyed and three-eyed
2|一鼻孔出气|Be in tune with|Exhale through one nostril|Breathing through a nostril
3|一步登天|Have a meteoric rise|One step to the sky|One step at a time
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|I'm not going to do it.
5|一拍即合|Fit in readily|Hit it off|It's a match made in heaven.
6|一抔黃土|Mere dust heaps|A handful of loess|A field of yellow soil
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|A bowl of sand
8|一模一样|Exactly alike|Exactly the same|It's all the same.
9|一马当先|Take the lead|Lead the way|It's time to move on.
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|This post is part of our special coverage.
11|一面之交|Have met only once|Side by side|One-sided
12|一目了然|Understand fully at a glance|At a glance|It's all over now.
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|10th line
14|一得之功|Just an occasional, minor success|One hits at a time|Thank you very much.
15|一刀两断|Make a clean break|Cut in two|One knife, two blades
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|A dead body of water
17|一诺千金|A solemn promise|A promise of gold|Thousands of dollars
18|一劳永逸|Put things right once and for ail|Once and for all|Once and for all
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|One and a half claws
20|一改故辙|Rid oneself of an old habit|Change the way|Changing my story
21|一概而论|Put in the same category|In general terms|In summary
22|一鼓作气|Get something done in one vigorous effort|All in one go|It's a great day to be alive.
23|一国三公|Divided leadership|One country, three princes|Three kings of a country
24|一棍子打死|Finish off with a single blow|Kill with a stick|A stick to kill
25|一刻千金|Every moment is precious|A moment of gold|Thousand bucks a minute
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|A glimpse of what's to come
27|一呼百应|An appeal meets with immediate response|A hundred calls|One Response to
28|一挥而就|Be done with one stroke of the pen|In a flash|In a blink of an eye
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|Love at first sight
30|一见如故|Become fast friends at the first meeting|See you soon|See you then.
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|One step at a time
32|一举成名|Achieve instant fame|Rise to fame|How to become famous
33|一气呵成|(of an essay) form a coherent whole|All in one go|It's been a long time coming.
34|一丘之貉|Jackals of the same lair|A raccoon dog|On the edge of a hill
35|一穷二白|Backward both economically and culturally|One poor and two white|I'm not sure what I'm doing.
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|It's better to die than to live.
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|Thousands of miles
38|一笑置之|Laugh off|Laugh it off|Laughing and laughing
39|一心一德|Be at one|One Heart One Virtue|Unity of heart
40|一纸空文|Empty words on a sheet of paper|A piece of paper|A blank piece of paper
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|A yellow pillow
42|一张一弛|Strike a proper balance between work and rest|One by one|One page
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|It's not easy, but it's worth it.
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|This is a mistake.
45|一筹莫展|Be at one's wits' end|Nothing can be done|This is the first time I've seen it.
46|一唱百和|Chime in with others|One hundred and one singing|One Hundred and One
47|一唱一和|Sing the same tune|One sing and one harmony|Singing and dancing
48|一触即溃|Collapse at the first encounter|Crash at a touch|One touch and it's gone
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|Looking at Others
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|This post is part of our special coverage Africa Day.
51|一手包办|Take everything on oneself|Do it all|Handmade by hand
52|一手遮天|Hoodwink the public|Cover the sky with one hand|One hand shadows the sky
53|一身是胆|Know no fear|All the courage|It's tough to be alone
54|一日千里|By leaps and bounds|A thousand miles a day|Thousands of miles a day
55|一日三秋|Miss somebody very much|Three autumns a day|One day, three autumns
56|一人难如千人意|One man con hardly meet the wishes of everybody|One person is as difficult as a thousand people|One is stronger than a thousand
57|一字千金|One character is worth a thousand ounces of gold|A thousand words|It's a small price to pay.
58|一则以喜，一则以惧|Feel both joy and fear|One for joy, one for fear|One with joy, one with fear
59|一蹴而就|Succeed overnight|All at once|It's not like that.
60|一寸丹心|A loyal heart|An inch of heart|I'm not sure what to say.
61|一寸光阴一寸金|Time is money|An inch of time is an inch of gold|One inch of light, one inch of gold
