|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|Wave after wave, wave after wave
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|A board of three eyes
2|一鼻孔出气|Be in tune with|Exhale through one nostril|Breathing through a nostril
3|一步登天|Have a meteoric rise|One step to the sky|One step to the sky
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|It's not easy, it's not easy.
5|一拍即合|Fit in readily|Hit it off|It's a perfect match.
6|一抔黃土|Mere dust heaps|A handful of loess|A ton of yellow earth
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|A dish of sand
8|一模一样|Exactly alike|Exactly the same|It's the same.
9|一马当先|Take the lead|Lead the way|A horse first.
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|It's the first time I've been here.
11|一面之交|Have met only once|Side by side|One-sided confrontation
12|一目了然|Understand fully at a glance|At a glance|It's obvious.
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|The first ten lines
14|一得之功|Just an occasional, minor success|One hits at a time|It's worth it.
15|一刀两断|Make a clean break|Cut in two|A knife in two
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|A drop of dead water
17|一诺千金|A solemn promise|A promise of gold|One thousand dollars
18|一劳永逸|Put things right once and for ail|Once and for all|Once and for all
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|One and a half claws
20|一改故辙|Rid oneself of an old habit|Change the way|Why is this happening?
21|一概而论|Put in the same category|In general terms|A summary
22|一鼓作气|Get something done in one vigorous effort|All in one go|A drum of air
23|一国三公|Divided leadership|One country, three princes|The Three Kingdoms
24|一棍子打死|Finish off with a single blow|Kill with a stick|One stick to kill
25|一刻千金|Every moment is precious|A moment of gold|It's a waste of time.
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|A view from Hong Kong
27|一呼百应|An appeal meets with immediate response|A hundred calls|A call to action
28|一挥而就|Be done with one stroke of the pen|In a flash|I'm not sure what I'm talking about.
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|Love at first sight
30|一见如故|Become fast friends at the first meeting|See you soon|It's a good idea.
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|One move and two wins.
32|一举成名|Achieve instant fame|Rise to fame|How to Become Famous
33|一气呵成|(of an essay) form a coherent whole|All in one go|It's all over now.
34|一丘之貉|Jackals of the same lair|A raccoon dog|The hillside
35|一穷二白|Backward both economically and culturally|One poor and two white|Poor and poor
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|It's better than nothing.
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|Thousands of miles
38|一笑置之|Laugh off|Laugh it off|A smile on his face.
39|一心一德|Be at one|One Heart One Virtue|Unity in Germany
40|一纸空文|Empty words on a sheet of paper|A piece of paper|A blank piece of paper
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|A pillow of yellow pepper
42|一张一弛|Strike a proper balance between work and rest|One by one|A bottle of wine
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|We've lost all the cards without a care in the world.
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|It's a bit of a mistake.
45|一筹莫展|Be at one's wits' end|Nothing can be done|The exhibition is free.
46|一唱百和|Chime in with others|One hundred and one singing|One hundred and one.
47|一唱一和|Sing the same tune|One sing and one harmony|Singing with each other
48|一触即溃|Collapse at the first encounter|Crash at a touch|It's just a matter of time.
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|A look at peers
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|One foot in front of the other, a thousand hatreds.
51|一手包办|Take everything on oneself|Do it all|It's all in your hands.
52|一手遮天|Hoodwink the public|Cover the sky with one hand|One hand covering the sky
53|一身是胆|Know no fear|All the courage|The courage to be alone
54|一日千里|By leaps and bounds|A thousand miles a day|Thousands of miles a day
55|一日三秋|Miss somebody very much|Three autumns a day|One day in the autumn
56|一人难如千人意|One man con hardly meet the wishes of everybody|One person is as difficult as a thousand people|It's hard to be alone
57|一字千金|One character is worth a thousand ounces of gold|A thousand words|A thousand words
58|一则以喜，一则以惧|Feel both joy and fear|One for joy, one for fear|One is happy, the other is afraid.
59|一蹴而就|Succeed overnight|All at once|It was a kick in the ass.
60|一寸丹心|A loyal heart|An inch of heart|It's hard to believe.
61|一寸光阴一寸金|Time is money|An inch of time is an inch of gold|One inch of sunshine, one inch of gold
62|一而再，再而三|Again and again|Again and again, again and again|And then again, and again, and again.
63|一衣带水|A narrow strip of water|A piece of water|Clothes with water
64|一意孤行|Go (take, have of follow) one's own way|Go one's own way|I want to be alone.
65|一叶知秋|It is a straw in the wind|One Leaf Zhiqiu|Autumn is coming.
66|一叶障目，不见泰山|Have one's view of the important overshadowed by the trivial|A leaf obstructs the eyes, but Mount Tai is not seen|I can't see Taizhou, I can't see Taizhou.
67|一言既出，驷马难追|What is said cannot be unsaid|As soon as the word is spoken, the horse is hard to follow|It's hard to keep up with the Puma.
68|一言以蔽之|Make a long story short|In a word|A word of caution
69|一无可取|Good-for-nothing|Nothing is possible|There's nothing wrong with that.
70|一物降一物|Everything has its vanquisher|One thing down one thing|One thing led to another.
71|一误再误|Make one error after another|Mistake over and over again|One mistake after another
72|一五一十|Narrate systematically and in full detail|One fifty one|15th of October
73|一问三不知|Be entirely ignorant|One question and three unknown|I don't know.
74|一望而知|Very obvious|At a glance|It's obvious.
75|一望无际|Boundless|As far as the eye can see|Hope is endless
76|一语道破|Get to the heart of the matter in a few words|In a word|One word breaks the other.
77|七窍生烟|Foam with rage|Seven orifices smoke|Smoke from seven tons of tobacco
78|七长八短|Of uneven size|Seven long and eight short|It's been a long time.
79|七手八脚|Too many cooks|Seven hands and eight feet|It's not easy.
80|七上八下|Be agitated|Seven up and eight down|7 or 8 o'clock.
81|三番五次|Again and again|Three and five times|Third and fifth time
82|三头六臂|With three heads and six arms - superhuman|Three heads and six arms|Three and six arms
83|三天打鱼，两天晒网|Lack of perseverance|Three days of fishing, two days of netting|Three days of fishing, two days of net fishing
84|三令五申|Repeated orders and instructions|Three orders and five applications|It's hard to say.
85|三个臭皮匠，胜过一个诸葛亮|Two heads are better than one|Three cobblers are better than one Zhuge Liang|Three leather goods makers beat one leather goods maker
86|三顾茅庐|Repeated a whole-hearted invitation|San Gu thatched cottage|What are you talking about?
87|三句话不离本行|Talk shop a the time|Three words stay with us|Three words to stick with this post:
88|三长两短|Something unfortunate, especially death|Three long and two short|Three or two short.
89|三十六计，走为上策|The best thing to do now is to quit|Thirty-six strategies, walking is the best policy|I'm not sure what to do about it.
90|三生有幸|Consider oneself most fortunate (to make somebody's acquaintance)|Sansheng is lucky|Happy to be alive
91|三人行必有我师|If three of us are walking together, there will certainly be a teacher for me|Threesome must have my teacher|The three of us must have a teacher.
92|三寸不烂之舌|(have) a silver tongue|Three inch incorrupt tongue|The three-inch tongue
93|三五成群|In threes and fours|Groups of three or five|Thirty-five percent of the population
94|上不着天，下不着地|Be suspended in mid-air|Can't go up to the sky, can't go down to the ground|I'm not going to lie, I'm not going to lie.
95|上天无路，入地无门|Helpless, nowhere to turn|There is no way to the sky, no way to enter the earth|No way to heaven, no way to earth
96|上梁不正下梁歪|People follow the example of those in high positions|The upper beam is not straight, the lower beam is crooked|The upper beam is distorted and the lower beam is distorted.
97|上蹿下跳|Run clandestine errands up and down the line|Jump up and down|Jump up and down.
98|上无片瓦，下无插针之地|As poor as a church mouse|No tiles on top, no pins on the bottom|There's no brick above and no needles below
99|下笔千言，离题万里|Write quickly but stray from the theme|Write a thousand words, digress thousands of miles|The next thousand words, the next thousand words, the next thousand words, the next thousand words, the next thousand words, the next thousand words, the next thousand words, the next thousand words, the next thousand words.
100|下不为例|Not to be repeated|Not an example|This is not the case.
101|下马看花|On-the-spot investigation|Dismount to see flowers|Get off your horse and look at the flowers.
102|下车伊始|The moment one takes up one's official post|Get off at the beginning|Get out of the car.
103|不明不白|Inexplicable|Do not understand|I don't know.
104|不分彼此|Share everything|Regardless of each other|Not separated from each other
105|不打不成相识|No discord, no concord|Do not know each other|How to get to know each other
106|不违农时|Do farm work in the right time|Does not violate the agricultural time|When not breaking the law
107|不打自招|A self-confession|Don't make a fool of yourself|Don't be fooled
108|不到黄河心不死|Not give up till coming to a dead end|If you don't reach the Yellow River, your heart will not die|It's not the Yellow River that's going to die.
109|不得要领|Unable to make heads or tails of something|To no avail|I don't have to take it.
110|不能自拔|Be inescapably caught in|Unable to extricate themselves|Can't get out of my own way
111|不念旧恶|Forget old grudges (or grievances)|Do not forget the old evil|Don't look back at the past
112|不郎不秀|Worthless|Not Lang not show|It's not easy.
113|不吝指教|Not spare your comments|Do not hesitate to advise|How to teach
114|不落窠臼|Leave the beaten track|Not out of the norm|It's not easy.
115|不甘后人|Hate to be outdone|Unwilling to descendants|It's not easy for me.
116|不甘示弱|Yield no ground|Not to be outdone|Weakness is not a sign of weakness
117|不敢越雷池一步|Keep within (the) bounds|Don't dare to step beyond the pond|Don't dare to step over the mine pond
118|不管三七二十一|Come what may|No matter what|I'm not sure what to do.
119|不可偏废|Without neglecting either|Not to be neglected|We can't afford to lose.
120|不亢不卑|Neither overbearing nor servile|Neither haughty nor humble|It's not easy.
121|不急之务|A nonurgent business|A matter of no great urgency|Urgently needed
122|不见棺材不落泪|Refuse to be convinced until one is faced with grim reality|No tears without seeing the coffin|I can't see the coffin falling.
123|不进则退|Move forward, or you'll fall behind|Not advance or retreat|Don't go in or back out.
124|不经一事，不长一智|Wisdom comes from experience|You can not gain knowledge without practice|I'm not sure what I'm going to do.
125|不绝如缕|Very precarious|Hanging by a thread|It's not my fault.
126|不期而遇|Meet accidentally (or by chance)|Meet by chance|Unforeseen occurrence
127|不知凡几|Can't tell how many there are|I don't know how many|I don't know.
128|不知天高地厚|Have an exaggerated opinion of one's abilities|I don't know how tall the sky is|I don't know how thick the sky is.
129|不知好歹|Not to know good from bad|I don't know|I don't know.
130|不知进退|Have no sense of propriety|I don't know where to go|I don't know.
131|不知人间有羞耻事|Lose all sense of shame|I don't know there is shame in the world|I don't know about shame in public
