|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|stealing eyes
1|आंखों का तारा|beloved person|the star of the eyes|star of the eye
2|चेहरा उतरना|to be sad or disappointed|the face to fall|facial dislocation
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|Finger pressing under the teeth
4|साँस लेना|to feel relieved after hard work|to take a breath|breathing
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|to be certain
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|Avoidance of children
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|The Enemy of Reason
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|Playing with life
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|jumping rats in the stomach
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|ascending to heaven
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|The difference between heaven and hell
12|हवा से बातें करना|to move very fast|to talk with the wind|Talking to the wind
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|line of stone
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|and the mountains will split apart
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|The moon of Eid
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|cheat
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|upstream flowing
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|redemption of sixes
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|Step by step
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|shortness of breath
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|tooth by tooth
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|Watering in the mouth
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|cutting the nose
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|fracture of the back
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|tightness of the waist
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|Having a liver stone
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|grinding of teeth
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|playing brick by brick
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|breathing in the nose
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|Not letting a fly sit on your nose
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|cutting off the nose
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|Putting oil in the nose
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|Having a problem with the nose
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|narrowing of the nose and eyebrows
35|नाक नीची करना|to humiliate publicly|to make the nose low|lowering the nose
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|ears standing up
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|Not crawling lice on the ears
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|Putting oil in the ear
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|Blowing in the ear
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|holding the ear
41|कान भरना|to manipulate someone against another|to fill the ears|filling ears
42|कान काटना|to outsmart completely|to cut the ear|cutting off ears
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|Raising the sky on its head
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|Talking to the sky
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|Trapped in falling palm trees
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|the burning of a fire
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|Throwing ghee into the fire
48|आग में कूदना|to take a dangerous risk|to jump into the fire|jumping into the fire
49|आग लगना|to become furious or jealous|for fire to catch|fire
50|आग ठंडी होना|to calm down after anger|for the fire to cool|fire cooling
