,src,true_meaning,literal_translation,predicted
0,一波未平，一波又起,Suffer a string of reverses,"One wave is not flat, another wave is rising",A new problem arises after a previous one is solved.
1,一板三眼,Following a prescribed pattern in speech or action,One board and three eyes,On time
2,一鼻孔出气,Be in tune with,Exhale through one nostril,think alike
3,一步登天,Have a meteoric rise,One step to the sky,A bird in the hand is worth two in the bush
4,一不做，二不休,"Once it is started, go through with it","Don't do it, never stop",Take no chances
5,一拍即合,Fit in readily,Hit it off,A quick agreement
6,一抔黃土,Mere dust heaps,A handful of loess,A grain of sand
7,一盘散沙,Lacking a spirit of cooperation,A plate of loose sand,a group of people without a leader or plan
8,一模一样,Exactly alike,Exactly the same,<select the most relevant English idiom>
9,一马当先,Take the lead,Lead the way,Reason: <select the most relevant English idiom> and explain why it's the best match for the Chinese idiom.
10,一马平川,A wide expanse of flat land,One Horse Pingchuan,A smooth road without any bumps or obstacles.
11,一面之交,Have met only once,Side by side,A superficial meeting
12,一目了然,Understand fully at a glance,At a glance,crystal clear
13,一目十行,Take in ten lines at one glance (said of a rapid reader),Ten lines at a glance,Read like a pro
14,一得之功,"Just an occasional, minor success",One hits at a time,A drop in the bucket
15,一刀两断,Make a clean break,Cut in two,cut all ties
16,一潭死水,"A stagnated, dull atmosphere",A pool of stagnant water,A stagnant situation
17,一诺千金,A solemn promise,A promise of gold,A promise is worth a thousand pieces of gold.
18,一劳永逸,Put things right once and for ail,Once and for all,A one-time effort that yields permanent solutions.
19,一鳞半爪,Odd bits / fragments,One Scale Half Claw,"A small part of something, often used to describe a limited understanding or knowledge of a larger concept."
20,一改故辙,Rid oneself of an old habit,Change the way,make a clean break
21,一概而论,Put in the same category,In general terms,make a sweeping generalization
22,一鼓作气,Get something done in one vigorous effort,All in one go,to keep going at full speed
23,一国三公,Divided leadership,"One country, three princes",A country ruled by three different leaders.
24,一棍子打死,Finish off with a single blow,Kill with a stick,Write it off as a bad idea
25,一刻千金,Every moment is precious,A moment of gold,A drop in the ocean
26,一孔之见,"A narrow (limited, partial or peep-hole) view",A hole in sight,a narrow perspective
27,一呼百应,An appeal meets with immediate response,A hundred calls,A rallying cry
28,一挥而就,Be done with one stroke of the pen,In a flash,It's a piece of cake
29,一见钟情,Fall in love (with one) at first sight,Love at first sight,Love at first sight
30,一见如故,Become fast friends at the first meeting,See you soon,Alike at first sight
31,一举两得,Achieve two things at one stroke,Kill two birds with one stone,Two birds with one stone
32,一举成名,Achieve instant fame,Rise to fame,Make a name for oneself
33,一气呵成,(of an essay) form a coherent whole,All in one go,In one breath
34,一丘之貉,Jackals of the same lair,A raccoon dog,To be in the same category or group.
35,一穷二白,Backward both economically and culturally,One poor and two white,penniless
36,一蟹不如一蟹,From bad to worse,A crab is worse than a crab,A bad apple spoils the bunch.
37,一泻千里,(of a writer's style) forceful and flowing,A thousand miles,Stage-2 output (justification for the output):
38,一笑置之,Laugh off,Laugh it off,Let it go
39,一心一德,Be at one,One Heart One Virtue,One heart and one mind
