,src,true_meaning,literal_translation,predicted
1000,深山老林,"Remote, thickly forested mountains",Deep mountain forest,A dense and secluded forest
1001,深入浅出,Explain the profound in simple terms,Explain in simple language,Simplify complex ideas
1002,深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Make a deep impression
1003,深文周纳,Frame and punish severely,Shen Wen Zhou Na,nitpick
1004,混世魔王,Devil incarnate,Demon King of Chaos,A troublemaker
1005,混淆黑白,Confuse (or juggle) black and white,Confuse black and white,To blur the lines between right and wrong.
1006,混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confusing right from wrong
1007,混为一谈,Confuse something with something else,Mix it up,Mix up
1008,浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,To taste something briefly and then stop.
1009,添枝加叶,Embellish a story,Add branches and leaves,To embellish
1010,添砖加瓦,Do one's little bit,Add bricks and mortar,To add a brick to a wall.
1011,添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Spin a yarn
1012,涣然冰释,Melt (or cleared) away,Huan Ran Freeze,Clear as a bell
1013,游刃有余,Be move than equal to a task,Do it with ease,to have plenty of room to move around
1014,浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,Take advantage of the situation
1015,浑然一体,An integral whole,All in one,A perfect fit
1016,温故而知新,Reviewing the past helps one to understand the present,Learn from the past,Refreshing old knowledge to gain new understanding
1017,沧海横流,The changes and disorders of the times,Across the sea,A stormy sea
1018,沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A drop in the bucket
1019,灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,To destroy an enemy's breakfast
1020,滴水成冰,Freezing cold,Dripping into ice,Ice cold
1021,满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits",Pride goes before a fall
1022,满城风雨,Become the talk of the town,Wind and rain all over the city,Reason: <select the most relevant English idiom and explain why it matches the definition of the Chinese idiom>
1023,泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,A woman who is vulgar and crude.
1024,滥竽充数,Just to fill up a vacancy,Excessive use of data,pass the buck
1025,火上加油,Add fuel to the flames (or fire),Pour oil on the flame,Add fuel to the fire
1026,火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower,fireworks display
1027,乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You,"Nothing ventured, nothing gained"
1028,烈火见真金,True blue will never stain,Fire sees real gold,A diamond in the rough
1029,烘云托月,Art of using contrasting effects,Baking Clouds to the Moon,Create a false impression
1030,无米之炊,Make bricks without straw,Cooking without rice,An empty pot cannot cook rice.
1031,无风不起浪,Theres no smoke without fire,"No wind, no wave",A small wave or ripple is not caused by a strong wind.
1032,无风起浪,Make trouble out of nothing,No wind and waves,A storm without a storm
1033,无敌于天下,Unmatched anywhere in the world,Invincible in the world,<select the most relevant English idiom>
1034,无功受禄,Get a reward without deserving it,Reward without merit,Get something for nothing
1035,无计可施,Utterly without resources,Nothing can be done,At a loss
1036,无济于事,Useless,To no avail,It won't help at all
1037,无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something,It's not worth it
1038,无事生非,Create problems where none exists,Much Ado About Nothing,Other: <select the most similar English idiom>
1039,无所适从,With no definite plan to follow,At a loss,at a loss for what to do
1040,无恶不作,Commit all manner of crimes,Do no evil,Do as one pleases
1041,无以复加,In the extreme,Can't be added,to no end
1042,无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root",A house without a foundation
1043,无缘无故,For no reason at all,For no reason,Without cause
1044,无庸赘述,It's unnecessary to go into details,Needless to say,No need to say so
1045,烟消云散,Disappear in a flash,Disappear into smoke,The dust has settled
1046,煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin,To burn one's books and destroy one's instruments of music
1047,照猫画虎,Imitate,Draw cats and tigers,Copycat
1048,茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other",Lonely as a crow
1049,煽风点火,Instigate,Fan the flames,To fan the flames
1050,熟视无睹,Ignore,Turn a blind eye,turn a blind eye
1051,燕巢幕上,Precarious,Swallow's Nest on the Curtain,A cat's nest in the attic
1052,争权夺利,Scramble for power and profit,Scramble for power,To vie for power and influence.
1053,争长论短,Squabble,Debating long and short,small talk
1054,为民请命,Plead in the name of the people,Pray for the people,To plead one's case for the people
1055,为非作歹,Break the law,To do evil,do evil
1056,为富不仁,Be rich and cruel,For the rich,Rich and mean
1057,为虎傅翼,Assist an evil-doer,Fu Yi for the tiger,To give wings to a tiger.
1058,为虎作伥,Help a villain do evil,Play for the tiger,to be a伥 for a tiger
1059,为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows,To drive away birds from a group.
1060,为所欲为,Have (or get) one's own way,Do whatever you want,Do as you please
1061,为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss,To drive fish out of a pond.
1062,墙倒众人推,Everybody bits a man who is down,The wall is pushed down,"When the wall falls, the crowd will blame each other."
1063,片甲不留,The army is completely wiped out,No armor left,To leave no trace behind
1064,片瓦无存,Be razed to the ground,No tiles left,A house without a single tile left.
1065,牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth,non sequitur
1066,牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes,Wild men and snakes
1067,牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body,A stitch in time saves nine.
1068,狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall,A dog desperate enough to jump over a wall.
1069,狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler,Let the cat out of the bag
1070,狐假虎威,Take advantage of the influence of others,Fox fake tiger power,A fox uses the lion's reputation to intimidate others.
1071,狐群狗党,A gang of scoundrels,Fox and Dog Party,A pack of wolves led by a fox.
1072,狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit,"A good horse is worth a thousand, but a good horseman is worth ten thousand."
1073,狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road,Confrontation
1074,独霸一方,Be a local despot,Dominate one side,To dominate a specific area or region.
1075,独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest,A lone wolf does not make a pack.
1076,独夫民贼,Autocrat and traitor to the people,Single husband and thief,A tyrant who oppresses the people.
1077,独占鳌头,Head the list of successful candidates,Come out on top,Be the top dog
1078,率由旧章,Follow the beaten track,Rate by old chapter,follow the old rules
1079,玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device",A diamond that has not been cut cannot become a useful tool.
1080,玩火自焚,Whoever plays with fire gets burnt,Play with fire,Playing with fire
1081,珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun,A diamond cut in a perfect manner.
1082,班门弄斧,Show off in the presence of an old hand,Ban door axe,Show off one's skills
1083,瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty,A miss is as good as a mile.
1084,瑕瑜互见,Have both strong and weak points,Xia Yu meet each other,Good and bad
1085,瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year,A snowfall is a harbinger of a good harvest.
1086,璞玉浑金,Unadorned beauty,Raw jade and gold,A diamond in the rough
1087,瓜田李下,Be found in a suspicious position,Melon Field Lixia,Don't get caught in a spot of trouble.
