src,true_meaning,literal_translation,predicted
आंखें चुराना,to avoid being seen,to hide one’s eyes,To steal someone's eyesight
आंखों का तारा,beloved person,the star of the eyes,To see the stars in your eyes
चेहरा उतरना,to be sad or disappointed,the face to fall,To be revealed or made known
दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth,To be careful with one's words
साँस लेना,to feel relieved after hard work,to take a breath,To take a deep breath and relax
बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm,"To tell the truth"" or ""To speak the truth"
बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair,To be on one's guard
अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom,To have a rival in one's own mind
जान पर खेलना,to act fearlessly or take great risks,to play with one’s life,To play a game with one's knowledge or experience.
पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach,To feel butterflies in your stomach.
आसमान पर चढ़ना,to be proud or overconfident,to climb onto the sky,to fly high
आकाश पाताल का अंतर,to be vastly different,difference between sky and netherworld,The gap between heaven and hell
हवा से बातें करना,to move very fast,to talk with the wind,Talk about the weather
पत्थर की लकीर,to be firm on one’s word or decision,a line of stone,As solid as a rock
पहाड़ टूट पड़ना,to face a huge problem or calamity,a mountain breaking and falling (upon),Fall apart
ईद का चाँद होना,to appear after a long time (a rare person),to be the moon of Eid,The moon is full during Eid.
चकमा देना,to deceive or trick someone,to give a dodge/trick,To be in a pickle
उल्टी गंगा बहना,something unusual or against norms happening,the Ganga to flow in reverse,Go back on your words
छक्के छुड़ाना,to defeat completely,to make someone’s sixes come out,To shake off a problem
फूँक-फूँक कर कदम रखना,to act very cautiously,to place steps after blowing (carefully),Stage-2 output (justification for the output):
दम में दम आना,to regain courage or relief after fear,breath to come into one’s breath,<English idiom>
दाँत से दाँत बजाना,to shiver from cold,to make tooth strike tooth (chatter),To make a sound like a toothache
मुँह में पानी आना,to be tempted by delicious food,water to come into the mouth,Have a mouthful of water
नाक काटना,to disgrace or embarrass someone,to cut the nose,To cut off someone's nose to spite their face
कमर टूटना,to feel exhausted or discouraged,the waist to break,Stage-2 output (justification):
कमर कसना,to prepare oneself for a challenge,to tighten the waist (belt),To be in a bind
