,src,true_meaning,literal_translation,predicted
800,पैर धोना,to show deep respect,to wash the feet,To wash one's feet
801,पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To catch someone's attention
802,पैर रोक लेना,to hesitate before action,to hold back the foot,Keep your mouth shut
803,मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,keep one's mouth shut
804,मुँह बंद कर देना,to silence completely,to shut the mouth,Stage-2 output (justification):
805,मुँह चलाना,to speak unnecessarily,to run the mouth,Say something
806,मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,Stage-2 output (justification):
807,मुँह मीठा होना,to taste success,for the mouth to become sweet,To be kind and friendly
808,मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,Stage-2 output (justification):
809,मुँह पीटना,to cry loudly in distress,to beat the mouth/face,Keep your mouth shut
810,मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,in a mess
811,माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,<select the most relevant English idiom>
812,माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"to have a lot of ideas or opinions, especially when they are not well thought out"
813,दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in your heart
814,दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,Stage-2 output: <select the most relevant English idiom>
815,दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,A moment of revelation
816,दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,to hold onto a feeling of sadness or disappointment
817,दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,<select the most relevant English idiom>
818,दिल हिल जाना,to be shaken emotionally,for the heart to shake,to feel elated
819,दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,heartstrings tugged
820,दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,Stage-2 output (justification):
821,दिल को सुकून मिलना,to find peace,for the heart to find peace,To find peace of mind.
822,दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make someone think or act in a foolish or irrational way.
823,दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,<select the most relevant English idiom>
824,दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Put your thoughts into action
825,दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or disorientation.
826,दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To have a headache
827,दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,hesitate
828,दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,Stage-1 output (definition + candidates): 4) To work like a bee
829,दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"To take a bite out of something, often metaphorically."
830,जुबान बंद कर देना,to silence someone completely,to shut the tongue,Ignore something
831,जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off one's nose to spite one's face
832,जुबान कसना,to rebuke harshly,to tighten the tongue,Break the ice
833,जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,On the right track
834,जुबान पर ताला,to keep secrets locked,a lock on the tongue,make a fool of oneself
835,जुबान फिसल जाना,to say something accidentally,for the tongue to slip,To lose one's temper
836,जुबान सरक जाना,to misspeak,for the tongue to slide,To be in a state of confusion or disarray.
837,जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,to hold onto something dearly
838,खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,To have a connection or relationship with blood
839,पसीना रोकना,to relieve effort,to stop sweat,To hold back a smile
840,पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),To be in a state of extreme boredom or monotony.
841,सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To feel heartache
842,सीने में जलन होना,to feel envy,to have burning in the chest,To have a fire in one's belly
843,सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To be in a pickle
844,सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest,To be in a pickle
845,सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest,<select the most relevant English idiom>
846,रंग दिखाना,to reveal true colors,to show color,To reveal one's true colors
847,रंगीन होना,to enjoy life freely,to become colorful,<select the most relevant English idiom>
848,रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale,Raining cats and dogs
849,रंग उड़ना,to fade away,for the color to fly/fade,A change of heart
850,रंग जमना,to gain traction,for color to set,To be in a pickle
851,रंग लगना,to start celebrating,to have color applied,Stage-1 output: <english idiom> - <definition> - <candidates>
852,रंग में रँग जाना,to blend or adapt fully,to be dyed in the color,To change one's appearance or appearance to a certain extent.
853,अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere,Keep away from it
854,अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl,Be open and honest
855,अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place,to be preoccupied with one's own thoughts and feelings
856,अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour,The fruit is not ripe.
857,अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts,be open and honest
858,अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high,To have a high opinion of oneself
859,अपना राग अलापना,to talk only about oneself,to chant one’s own tune,Let the cat out of the bag
860,अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail,To be in a mess
861,अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark,Keep one's mouth shut
862,अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake,To be blind to one's own mistake.
863,अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune",To show one's true feelings.
864,अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks,to lose one's balance
865,अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,Reason: <select the most relevant reason>
866,अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,blind as a bat
867,अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,Blind as a bat
868,अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,A man's best friend is his worst enemy.
869,अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff,Reasoning: <select the most relevant English idiom> matches the definition of the Hindi idiom.
870,अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Stage-2 output (justification):
871,अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy,In the dark
872,"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes",To hear a name without seeing the person
873,"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,Two eyes are better than one.
874,अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,Stage-2 output:
875,अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,To shed light on the matter
876,अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,Lead someone by the hand
877,अंधेरे में बैठना,to stay in ignorance,to sit in darkness,Stage-2 output (justification):
878,अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be in the dark
879,अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,To look for something in the dark.
880,अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,A blind person is given a light source.
881,अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,throw caution to the wind
882,अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,To shed light on something
883,अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",A king with poor vision is blind to the needs of his people.
884,अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,A lucky person in a dark situation.
885,अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,Blind to the truth
886,अंधा प्रेम करना,to love without reason,to love blindly,Being in love with someone despite their flaws
887,अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,A blind person is given a helping hand by someone else.
888,अंधे की लाठी,only source of dependence,a blind man’s staff,A blind man's cane
889,अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,Stage-1 output:
890,अंधेरे में रहना,to be ignorant,to live/stay in darkness,<select the most relevant English idiom>
