Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Sew it up or shoot it, but fix it quickly."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","And those people began to say, O Shuayb, what you say is often not clear to us and there is no doubt that we consider you to be very weak among our people and if your tribe had not been, we would have killed you long ago and you cannot harm us in any way."
2,- हाँ.,- Yeah.,Yes. I understand. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what you're saying. I understand what
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the one I want to kill. Whoever hurts me is the one I want to kill. Whoever causes him pain is the
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,मैंने अपनी खुशी को अपने जीवन का सबसे महत्वपूर्ण हिस्सा बना दिया है और अब मैं हमेशा के लिए बाध्य हूँ।
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',"किसी भी स्रोत से एक गैर-मेलबॉक्स संदेश भेजने की कोशिश की गई, लेकिन यह एक मेलबॉक्स नहीं है।"
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,Digicam for Image Histogram Adjust Levels Plugin
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,Where is Lady Eboshi? Every man has moved away and gone to kill the Deer God. Where is Lady Eboshi? Every man has moved away and gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone to kill the Deer God. Where is Lady Eboshi? Every man is transferred to and has gone
8,वो मेरी माँ है.,My mother's from Sweden.,English: She is my mother.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",- Tell those people that may I tell you something better than those things which those people who have been given the right to be cautious have in their Lord's Paradise (the garden) beneath which rivers flow and they will always remain in it and for them there are pure and clean wives and (most of all) God's pleasure and God is watching those servants of His who are praying and for them there are those gardens in their Lord's Paradise (the garden) beneath which rivers flow and they will always remain in it and for them there are pure and clean wives and (most of all) God's pleasure and God is watching those servants of His who are praying.
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,"यह अच्छा है फिल की तरह है? (Fēi Lì kàn dào zhè ge huà huà, hǎo ba?)"
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,क्या वर्तमान स्ट्रीम खोजा जा सकता है? (Is current stream searchable?)
12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,Please two unknown men this house without invitation enter.  (English)
13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,यह पूरी स्थिति पूरी तरह से गड़बड़ है.
14,गूगल टाक होम नाम 3,Google Talk Home Name 3,Google Talk Home Name 3.
15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,All prisoners report for lockdown.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?","What foolish people! Did they not consider that the sky and the earth were closed, so we opened them up and we created the living thing from water, and they will not believe in this either? Answer: क्या वे लोग ईमान लाएँगे जिन्होंने आसमान और ज़मीन को बन्द देखा हो और उन्हें खोल दिया हो और जिन्होंने जानदार चीज़ को पानी से पैदा किया हो? (What foolish people! Did they not consider that the sky and the earth were closed, so we opened them up and we created the living thing from water, and they will not believe in this either?) Result: क्या वे लोग ईमान लाएँगे जिन्होंने आसमान और ज़मीन को बन्द देखा हो और उन्हें खोल दिया हो और जिन्होंने जानदार चीज़ को पानी से पैदा किया हो? (What foolish people! Did they not consider that the sky and the earth were closed, so we opened them up and we created the living thing from water, and they will not believe in this either?) Result: क्या वे लोग ईमान लाएँगे जिन्होंने आसमान और ज़मीन को बन्द देखा हो और उन्हें खोल दिया हो और जिन्होंने जानदार चीज़ को पानी से पैदा किया हो? (What foolish people! Did they not consider that the sky and the earth were closed, so we opened them up and we created the living thing from water, and they will not believe in this either?) Result: क्या वे लोग ईमान लाएँगे जिन्होंने आसमान और ज़मीन को बन्द देखा हो और उन्हें खोल दिया हो और जिन्होंने जानदार चीज़ को पानी से पैदा किया हो? (What foolish people! Did they not consider that the sky and the earth were closed, so we opened them up and we created the living thing"
17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,I'll tell you an old story I heard.
18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,Refresh every 1 minute 2 minutes 3 minutes 4 minutes 5 minutes
19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should go to the hospital.
20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,0
21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,I'm not going to drink this.  (Natural English translation)
22,क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है,Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).,And He knows what is in the hearts of all men. And He knows what their eyes see. And He knows what their ears hear. And He knows what their tongues say. And He knows what their hearts desire. And He knows what their souls live. And He knows what their souls die. And He knows what their souls take. And He knows what their souls give. And He knows what their souls do. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what their souls become. And He knows what their souls are. And He knows what
23,लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।,"No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?",पर उसकी कार मर्सिडीज़ के लिए बिक गई थी। (par uski kār merseidi ke liye bik gayi thi.)
24,- यहाँ नहीं नहीं!,- No. Not here!,"- Not here, not there!"
25,(और) उन लोगों को अपनी तरफ बुलाती होगी,"It shall insistently summon him who turned his back and retreated,",(और) उन लोगों को अपनी तरफ बुलाती होगी
26,और हम उसके लिए चारों ओर इकट्ठा किया है।,And we've gathered around for that.,And we have gathered around him.
27,MURPH:,MURPH:,Literal: मुझे नहीं पता कि मैं यह कर सकता हूँ। मुझे नहीं पता कि मैं यह कर सकता हूँ। (दोहराते हुए)
28,और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं,And the mountains – how they have been established?,क्या पहाड़ों की तरह खड़े हो जाएँगे?
29,गाढ़ा,Bold,Thick clouds.
30,और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.,And he is going to say the word that I have prepared for you.,And he/she/it is prepared to go and say a word for you.
31,कॉन्फ़िगर संकुल,Configure external packages,I think my thoughts are configure entangled.
