,Unnamed: 0,src,true_meaning,predicted
0,0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",I'll fix it quickly.
1,1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”",1) The speaker feels misunderstood and underestimated by others.
2,2,- हाँ.,- Yeah.,Yes.
3,3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"If something is forced upon them, they become hesitant."
4,4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,We are always indebted to you.
5,5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Stage-1 output:
6,6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,The image histogram equalization plugin for DigiCam.
7,7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,"Lady Eboshi is missing, and everyone is trying to find her, including the god of gold."
8,8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",Other: <select the least relevant English sentence>
10,10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,1) It's a good thing.
11,11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Is the current audio stream able to be rewound and replayed?
12,12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,You should invite two strangers to your house without any invitation.
13,13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,The situation is a complete mess.
14,14,गूगल टाक होम नाम 3,Google Talk Home Name 3,The terms and conditions of Google's services.
15,15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,<select the most relevant English sentence>
16,16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?","जो लोग बस्ता (बन्द) थे, उन्होंने ईमान लाया और जानदार चीज़ को पानी से पैदा किया था।"
17,17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,<select the most relevant English sentence>
18,18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,Output: <select the most relevant English sentence> Best: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]
19,19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should visit the hospital.
20,20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,Reason: <select the most relevant reason>
21,21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,I am not going to drink it.
22,22,क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है,Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).,"The messenger claims to have lied to God, and if that's true, God would put a ring on their heart, making them unable to speak the truth and prove their lies by claiming that their words are true."
23,23,लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।,"No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?",The deal was made for Marsidhi.
24,24,- यहाँ नहीं नहीं!,- No. Not here!,Stage-2 output:
25,25,(और) उन लोगों को अपनी तरफ बुलाती होगी,"It shall insistently summon him who turned his back and retreated,",Stage-2 output:
26,26,और हम उसके लिए चारों ओर इकट्ठा किया है।,And we've gathered around for that.,We have gathered all around him.
27,27,MURPH:,MURPH:,He is always making excuses for his mistakes.
28,28,और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं,And the mountains – how they have been established?,The mountains are standing in a particular manner.
29,29,गाढ़ा,Bold,1) He walked slowly and steadily towards the finish line.
30,30,और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.,And he is going to say the word that I have prepared for you.,I am prepared to say the word.
31,31,कॉन्फ़िगर संकुल,Configure external packages,Configure the system
32,32,बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।,"The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.",The bank has denied that it received information from the authorities about the need for notifications.
33,33,जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं,"What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.",Reason: <select the most relevant English sentence>
34,34,ये तो सठीया गए हैं,Ignore him. He's senile.,They have all fallen asleep
35,35,DN को उपयोक्ता '%s' के लिए पाने में विफल,Failed to get the DN for user '%s',The user failed to operate the device DN for the intended purpose.
36,36,EMAIL OF TRANSLATORS,Your names,1) An email sent by translators to communicate with clients or colleagues.
37,37,"राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page",translator-credits,Rajesh Ranjan is a person with the email addresses rajeshkajha@yahoo.com and rranjan@redhat.com.
38,38,"मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है","Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.","Human beings are filled with love for things they desire, as they are considered to be beautiful women, sons, piles of gold and silver, and decorated (chosen) horses, as well as shoes and farming."
39,39,"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।""","And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me.""",<select the most relevant English sentence>
40,40,डिस्क में लिखने के लिए कोई गीत नहीं है,There are no songs to write to disc,There is no music on the disk.
41,41,एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।,"An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.",A person from the city of Anaradine has written a post about the traditional Bangla New Year festival and cultural heritage in Bangladesh.
42,42,कुछ भी नहीं किया जा सकता है?,Can nothing be done? !,There is no way to make a positive impact.
