Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Keep it terse and faithful to each component. No commentary, just the literal gloss."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","And you can't say that you don't believe that we think you're very weak in your own people, and you can't say that we don't think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and you can't say that you don't believe that we think you're very weak in your own people, and if your tribe doesn't exist, then we've already taken you (in a way) and"
2,- हाँ.,- Yeah.,- Yes.
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,जिसके बावजूद उसे बहुत अच्छा लगता है।
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,"Always be responsible for it, not responsible for it."
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',Those who are trying to send a message to a non-existent source '%s'.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन डिज़ीकैम के लिए इमेज़ ह
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,- Where is Lady Eboshi? Everyone who can move forward and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go to the other side and go
8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",और उनके लिए ख़ुदा ने ख़ुदा की ख़ुशनूदी दी है।
