src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep Mountain Old Forest
深入浅出,Explain the profound in simple terms,Explain in simple language,"The idiom ""深入浅出"" is a Chinese idiom that means to explain complex ideas or concepts in a way that is easy to understand. It is often used to describe a teaching or communication style that is clear and understandable, even for those who are not experts in the subject matter."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deeply into the heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply interpret and meticulously cover up.
混世魔王,Devil incarnate,Demon King of Chaos,A person who is chaotic and causes trouble everywhere.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"The idiom 混淆黑白 (hùn xiáo bái hēi) means to confuse or mix up right and wrong, or to make a mistake in judgment. It implies that someone is unable to distinguish between right and wrong, or that they have made a mistake in their reasoning or decision-making process."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,"He's such a mixed-up person, he can't even tell right from wrong."
混为一谈,Confuse something with something else,Mix it up,"The idiom 混为一谈 (hùn wéi yī tán) means to confuse or mix up different things or ideas, treating them as if they are the same. It implies that the speaker is unable to distinguish between distinct concepts or situations, leading to misunderstandings or confusion."
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"I tried the new restaurant, but I only had a taste and stopped. I didn't want to waste time on it."
添枝加叶,Embellish a story,Add branches and leaves,"Add unnecessary details or embellishments to something, often in an attempt to make it more impressive or impressive. It can also mean to add unnecessary complexity or complication to something."
添砖加瓦,Do one's little bit,Add bricks and mortar,"The idiom ""添砖加瓦"" can be translated to the English phrase ""to contribute to a project or effort, even if the contribution is small or unnoticeable."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,"The idiom 添油加醋 can be translated to ""add oil and vinegar"" in English, but it is more commonly translated as ""to embellish or exaggerate a story or event."
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,As if the ice has melted completely.
游刃有余,Be move than equal to a task,Do it with ease,I've got this under control. I'm just going to let it flow.
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,浑水摸鱼 (hún shuǐ mō yú)
浑然一体,An integral whole,All in one,"The idiom ""浑然一体"" can be translated as ""In one piece"" in English."
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To review the old to know the new.
沧海横流,The changes and disorders of the times,Across the sea,"The idiom 沧海横流 (cāng hǎi héng liú) means ""the great ocean is in turmoil"" or ""the world is in chaos."" It is used to describe a time of great change or upheaval, often with a sense of uncertainty and unpredictability."
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A grain of sand in the vast sea.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,Kill this morning's meal.
滴水成冰,Freezing cold,Dripping into ice,Drop of water becomes ice
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits","Excessive pride brings harm, humility brings benefit."
满城风雨,Become the talk of the town,Wind and rain all over the city,"A natural English idiomatic translation: ""Everyone is talking about it."
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street,"A natural English idiomatic translation of ""泼妇骂街"" is ""to curse and swear in the street."
