src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,To be very careful or cautious
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,To catch someone off guard or take them by surprise.
पैर रोक लेना,to hesitate before action,to hold back the foot,"The idiom ""पैर रोक लेना"" can be translated into English as ""to hold one's breath."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,To keep one's mouth shut
मुँह बंद कर देना,to silence completely,to shut the mouth,मुँह बंद कर देना
मुँह चलाना,to speak unnecessarily,to run the mouth,"The idiom ""मुँह चलाना"" means ""to speak or act in a way that is not sincere or genuine."
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,To keep one's mouth closed is not smart
मुँह मीठा होना,to taste success,for the mouth to become sweet,"If the mouth is sweet, it should also be bad."
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,To keep it terse and faithful to each component.
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,To speak with a heavy tongue is to pay interest.
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Don't talk too much about others.
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To put a thorn in one's side.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,To have a lot of advice or suggestions.
दिल में जगह बनाना,to win affection,to make a place in the heart,Make room in the heart.
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart,To have sharp pains in one's heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart,I had a heart attack when I saw the news.
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart,Keep it in heart to keep sadness.
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart,The information does not come from the depths of the heart.
दिल हिल जाना,to be shaken emotionally,for the heart to shake,The heart melts.
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden,The heart is like a garden filled with flowers.
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken,To feel one's heart break or be deeply affected emotionally.
दिल को सुकून मिलना,to find peace,for the heart to find peace,"A natural English idiom translation: ""Find peace of mind"
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad,To make one's brain work overtime.
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place,The brain area gets stuck.
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain,Planting an idea in someone's head
दिमाग गुम होना,to lose one’s senses,for the brain to be lost,To be in a state of confusion or bewilderment.
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out,To lose one's mind or become completely confused or overwhelmed.
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth,To bite one's teeth together.
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails,To work with a toothless mouth
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth,"The idiom ""दाँतों तले अंगुली दबाना"" is used to describe someone who is extremely stubborn or determined, as if they are pressing their teeth with their finger to hold their ground."
जुबान बंद कर देना,to silence someone completely,to shut the tongue,"जुबान बंद कर देना means ""to open up"" or ""let someone in."
जुबान काट लेना,to regret words spoken,to bite the tongue,To cut off the source of income or support.
जुबान कसना,to rebuke harshly,to tighten the tongue,"To break the jug"" or ""To smash the jug"
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue,To see the true nature of a jewel.
जुबान पर ताला,to keep secrets locked,a lock on the tongue,To give a performance or presentation that is so good that it leaves a lasting impression on the audience.
जुबान फिसल जाना,to say something accidentally,for the tongue to slip,"The idiom ""जुबान फिसल जाना"" translates to ""to lose one's temper"" in English."
जुबान सरक जाना,to misspeak,for the tongue to slide,To keep one's mouth shut.
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue,Keep the honey in the jar.
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,"Keep it terse and faithful to each component. No commentary, just the literal gloss."
पसीना रोकना,to relieve effort,to stop sweat,"The idiom ""पसीना रोकना"" is used to describe someone who is trying to control their emotions or actions, often in order to avoid causing trouble or embarrassment."
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),"The idiom ""पसीने-पसीने होना"" means to be very talkative or to talk incessantly. It implies that someone is constantly talking without stopping, often to the point of being annoying or disruptive. The literal translation is ""to be as thin as a reed."
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,To have a change of scenery.
सीने में जलन होना,to feel envy,to have burning in the chest,सीने में जलन होना
सीने में लावा उठना,to boil in anger,for lava to rise in the chest,To rise up from the grave
