|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|"""One wave hasn't subsided, another wave has risen"""
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|"""One Board Three Eyes"""
2|一鼻孔出气|Be in tune with|Exhale through one nostril|"""One nostril out of the mouth"""
3|一步登天|Have a meteoric rise|One step to the sky|"""Step by Step to the Sky"""
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|"""One doesn't do anything, and then doesn't do anything else."""
5|一拍即合|Fit in readily|Hit it off|"""One's heart is in tune with another's"""
6|一抔黃土|Mere dust heaps|A handful of loess|A Heap of Yellow Earth
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|"""A Dispersed Group"""
8|一模一样|Exactly alike|Exactly the same|"""Identical"" or ""Just the Same"""
9|一马当先|Take the lead|Lead the way|Lead the Way
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|"""One level plain"""
11|一面之交|Have met only once|Side by side|A Brief Encounter
12|一目了然|Understand fully at a glance|At a glance|"""One can see clearly"""
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|"""One glance at ten lines"""
14|一得之功|Just an occasional, minor success|One hits at a time|"""A Small Merit"""
15|一刀两断|Make a clean break|Cut in two|"""One Cut, Two Divisions"""
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|"""A stagnant pool of water"""
17|一诺千金|A solemn promise|A promise of gold|"""One Promise, a Thousand Golds"""
18|一劳永逸|Put things right once and for ail|Once and for all|"""One-time effort, lasting forever"""
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|A Small Piece of the Whole
20|一改故辙|Rid oneself of an old habit|Change the way|"""One Changes the Old Path"""
21|一概而论|Put in the same category|In general terms|"""One-sided Evaluation"""
22|一鼓作气|Get something done in one vigorous effort|All in one go|"""One Breath of Energy"""
23|一国三公|Divided leadership|One country, three princes|One Country, Three Governments
24|一棍子打死|Finish off with a single blow|Kill with a stick|"""One stick to kill"" or ""One stick to bury"""
25|一刻千金|Every moment is precious|A moment of gold|A Moment Worth a Thousand Gold
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|"""One-Window View"""
27|一呼百应|An appeal meets with immediate response|A hundred calls|"""One Call, A Hundred Responses"""
28|一挥而就|Be done with one stroke of the pen|In a flash|"""One Stroke to Finish"""
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|Instantly Falling in Love
30|一见如故|Become fast friends at the first meeting|See you soon|"""One meets as if they were old friends"""
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|"""One Stone, Two Birds"""
32|一举成名|Achieve instant fame|Rise to fame|"""One-time success"" or ""Instant Fame"""
33|一气呵成|(of an essay) form a coherent whole|All in one go|"""One Breath, One Stroke"""
34|一丘之貉|Jackals of the same lair|A raccoon dog|"""One of the same kind"""
35|一穷二白|Backward both economically and culturally|One poor and two white|"""One has nothing and the other is bare"" or ""Nothing and nothing"""
36|一蟹不如一蟹|From bad to worse|A crab is worse than a crab|"""Worse and Worse"""
37|一泻千里|(of a writer's style) forceful and flowing|A thousand miles|"""Unfolds like a river"""
38|一笑置之|Laugh off|Laugh it off|"""Shake off and ignore"""
39|一心一德|Be at one|One Heart One Virtue|"""一心一德"" can be translated as ""One heart, one mind"" or ""Unity of purpose"" in English. This idiom emphasizes the importance of having a common goal or purpose among individuals or groups, ensuring that everyone works together towards achieving the same objective."
40|一纸空文|Empty words on a sheet of paper|A piece of paper|"""A piece of paper with no substance"""
41|一枕黄粱|A brief dream of grandeur|One Pillow of Yellow Rice|A Dream of a Single Pillow
42|一张一弛|Strike a proper balance between work and rest|One by one|"""A Tightrope Walk"""
43|一着不慎，满盘皆输|One careless move and the whole game is lost|If you are not careful, you will lose the whole game|"""A single move can ruin everything."""
44|一差二错|Possible mistake or mishap|One mistake and two mistakes|"""One mistake and two errors"""
45|一筹莫展|Be at one's wits' end|Nothing can be done|"""Stuck for Ideas"""
46|一唱百和|Chime in with others|One hundred and one singing|"""One Song, Hundred Responses"""
47|一唱一和|Sing the same tune|One sing and one harmony|"""One Song, One Echo"""
48|一触即溃|Collapse at the first encounter|Crash at a touch|"""Breaks at the first touch"""
49|一视同仁|Treat all alike without discrimination|Treat everyone equally|"""Treat Everyone Equally"""
50|一失足成千古恨|A single slip may cause lasting sorrow|One stumble becomes eternal hatred|"""One misstep leads to a regret that lasts forever."""
51|一手包办|Take everything on oneself|Do it all|"""One Hand Can Do Everything"""
52|一手遮天|Hoodwink the public|Cover the sky with one hand|"""One Hand Shuts the Sky"""
53|一身是胆|Know no fear|All the courage|"""A heart of steel"" or ""A heart of iron"""
54|一日千里|By leaps and bounds|A thousand miles a day|"""A Day's Journey in a Thousand Li"""
55|一日三秋|Miss somebody very much|Three autumns a day|A Day's Worth of Autumn
56|一人难如千人意|One man con hardly meet the wishes of everybody|One person is as difficult as a thousand people|"""One person's wishes are not as easy as those of a thousand people"""
57|一字千金|One character is worth a thousand ounces of gold|A thousand words|A Word Worth a Thousand Gold
58|一则以喜，一则以惧|Feel both joy and fear|One for joy, one for fear|"""One for Joy, One for Fear"""
59|一蹴而就|Succeed overnight|All at once|"""One Step at a Time"" or ""Gradual Progress"""
60|一寸丹心|A loyal heart|An inch of heart|"""A heart full of loyalty"""
61|一寸光阴一寸金|Time is money|An inch of time is an inch of gold|"""A寸光阴一寸金"" (Yī cùn guāng yīng yī cùn jīn)"
62|一而再，再而三|Again and again|Again and again, again and again|"""Repeatedly, again and again"""
63|一衣带水|A narrow strip of water|A piece of water|"""One River Apart"" or ""One Water Apart"""
64|一意孤行|Go (take, have of follow) one's own way|Go one's own way|"""Stick to one's own way"""
65|一叶知秋|It is a straw in the wind|One Leaf Zhiqiu|"""Anecdote: One Leaf Knows Autumn"""
66|一叶障目，不见泰山|Have one's view of the important overshadowed by the trivial|A leaf obstructs the eyes, but Mount Tai is not seen|"""One leaf obscures the whole mountain, preventing one from seeing the entire mountain."""
67|一言既出，驷马难追|What is said cannot be unsaid|As soon as the word is spoken, the horse is hard to follow|"""Once a word is spoken, four horses cannot catch up"""
68|一言以蔽之|Make a long story short|In a word|"""In a nutshell"""
69|一无可取|Good-for-nothing|Nothing is possible|"""Nothing to be taken"""
70|一物降一物|Everything has its vanquisher|One thing down one thing|"""One thing controls another"""
71|一误再误|Make one error after another|Mistake over and over again|"""One Mistake After Another"""
72|一五一十|Narrate systematically and in full detail|One fifty one|"""One by One, Ten by Ten"""
73|一问三不知|Be entirely ignorant|One question and three unknown|"""One Question, Three Unknowns"""
74|一望而知|Very obvious|At a glance|"""One can see at a glance"""
75|一望无际|Boundless|As far as the eye can see|"""Vast and Boundless"""
76|一语道破|Get to the heart of the matter in a few words|In a word|"""One word reveals the truth"""
77|七窍生烟|Foam with rage|Seven orifices smoke|"""Seven orifices are full of smoke"""
78|七长八短|Of uneven size|Seven long and eight short|"""Seven Longs and Eights Shorts"""
79|七手八脚|Too many cooks|Seven hands and eight feet|"""A flurry of activity"""
80|七上八下|Be agitated|Seven up and eight down|"""Seven Up Eight Down"""
81|三番五次|Again and again|Three and five times|"""Repeatedly"" or ""Frequently"""
82|三头六臂|With three heads and six arms - superhuman|Three heads and six arms|Three Heads and Six Arms
83|三天打鱼，两天晒网|Lack of perseverance|Three days of fishing, two days of netting|"""Three days fishing, two days drying nets"""
84|三令五申|Repeated orders and instructions|Three orders and five applications|"""Three Orders and Five Reminders"""
85|三个臭皮匠，胜过一个诸葛亮|Two heads are better than one|Three cobblers are better than one Zhuge Liang|"""Three cobblers with their wits together are worth a Zhuge Liang."""
86|三顾茅庐|Repeated a whole-hearted invitation|San Gu thatched cottage|Three Visits to the Thatched Cottage
87|三句话不离本行|Talk shop a the time|Three words stay with us|"""Three Words Not Leaving One's Profession"""
88|三长两短|Something unfortunate, especially death|Three long and two short|"""Three Longs and Twos Short"""
89|三十六计，走为上策|The best thing to do now is to quit|Thirty-six strategies, walking is the best policy|"""Thirty-six Stratagems, Retreat is the Best Strategy"""
90|三生有幸|Consider oneself most fortunate (to make somebody's acquaintance)|Sansheng is lucky|Three Lifetimes of Good Fortune
91|三人行必有我师|If three of us are walking together, there will certainly be a teacher for me|Threesome must have my teacher|"""Three people walking together must have someone who can be my teacher."""
92|三寸不烂之舌|(have) a silver tongue|Three inch incorrupt tongue|"""Three-inch tongue"" or ""A tongue of three inches"""
93|三五成群|In threes and fours|Groups of three or five|"""Three or five together"" or ""A few at a time"""
94|上不着天，下不着地|Be suspended in mid-air|Can't go up to the sky, can't go down to the ground|"""Not in the sky and not on the ground"""
95|上天无路，入地无门|Helpless, nowhere to turn|There is no way to the sky, no way to enter the earth|"""No Way Up, No Way Down"""
96|上梁不正下梁歪|People follow the example of those in high positions|The upper beam is not straight, the lower beam is crooked|"""The Upper Beam is Not Straight, the Lower Beam is Bent"""
97|上蹿下跳|Run clandestine errands up and down the line|Jump up and down|Jumping Up and Down
98|上无片瓦，下无插针之地|As poor as a church mouse|No tiles on top, no pins on the bottom|"""No Place to Set a Nail"""
99|下笔千言，离题万里|Write quickly but stray from the theme|Write a thousand words, digress thousands of miles|"""Writing a thousand words but off-topic by a thousand miles"""
100|下不为例|Not to be repeated|Not an example|"""Never Again"""
101|下马看花|On-the-spot investigation|Dismount to see flowers|"""Look at the flowers, but don't get off the horse."""
102|下车伊始|The moment one takes up one's official post|Get off at the beginning|"""The first step on the journey"""
103|不明不白|Inexplicable|Do not understand|"""Unclear and Unclear"""
