|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|"""Stealing Eyes"""
1|आंखों का तारा|beloved person|the star of the eyes|"""The Stars of the Eyes"""
2|चेहरा उतरना|to be sad or disappointed|the face to fall|"""To be revealed"""
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|"""To put one's foot down"""
4|साँस लेना|to feel relieved after hard work|to take a breath|"""Breathe In"""
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|"""To be on the right track"" or ""To be true"""
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|"""To be a little bit late"""
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|"""Enemy of the mind"""
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|"""Playing with the Knowledge"""
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|"""Feeling Nervous or Anxious"""
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|Climbing to the Top
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|The Gap Between Heaven and Hell
12|हवा से बातें करना|to move very fast|to talk with the wind|"""Talking in the Wind"""
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|"""The Stone's Song"""
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|"""To have a mountain fall on one's head"""
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|"""To be on the right track"""
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|"""To give someone a piece of your mind"""
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|"""To go against the flow"""
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|"""To give up hope"""
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|"""To take a step with hesitation"""
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|"""To be at a loss for words"""
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|"""To Bite the Hand That Feeds You"""
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|"""To have water in one's mouth"""
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|"""To Cut the Nose"""
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|"""To be in a bind"" or ""To be in a tight spot"""
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|"""To break the ice"" or ""To ease the tension"""
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|"""To be as strong as a rock"""
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|"""To bite one's nails"""
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|"""To make a noise like a bird"""
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|"""To take a stand"""
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|"""Not to let the nose get a nosebleed"""
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|"""To have one's nose rubbed in something"""
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|"""To sleep with one's nose in the fire"" "
