|src|true_meaning|literal_translation|predicted
0|一波未平，一波又起|Suffer a string of reverses|One wave is not flat, another wave is rising|Rise and fall
1|一板三眼|Following a prescribed pattern in speech or action|One board and three eyes|Following a prescribed pattern in speech or action
2|一鼻孔出气|Be in tune with|Exhale through one nostril|Be in tune with
3|一步登天|Have a meteoric rise|One step to the sky|Have a meteoric rise
4|一不做，二不休|Once it is started, go through with it|Don't do it, never stop|Once it is started, go through with it
5|一拍即合|Fit in readily|Hit it off|Click (or fit) in readily
6|一抔黃土|Mere dust heaps|A handful of loess|Mere dust heaps
7|一盘散沙|Lacking a spirit of cooperation|A plate of loose sand|Lacking a spirit of cooperation
8|一模一样|Exactly alike|Exactly the same|Exactly alike
9|一马当先|Take the lead|Lead the way|Take the lead
10|一马平川|A wide expanse of flat land|One Horse Pingchuan|A wide expanse of flat land
11|一面之交|Have met only once|Side by side|Acquaintance made only once
12|一目了然|Understand fully at a glance|At a glance|Understand fully at a glance
13|一目十行|Take in ten lines at one glance (said of a rapid reader)|Ten lines at a glance|Skim over ten lines at one glance
14|一得之功|Just an occasional, minor success|One hits at a time|Just an occasional, minor success
15|一刀两断|Make a clean break|Cut in two|Make a clean break
16|一潭死水|A stagnated, dull atmosphere|A pool of stagnant water|A stagnated, dull atmosphere
17|一诺千金|A solemn promise|A promise of gold|A solemn promise
18|一劳永逸|Put things right once and for ail|Once and for all|Put things right once and for ail
19|一鳞半爪|Odd bits / fragments|One Scale Half Claw|Odd bits
20|一改故辙|Rid oneself of an old habit|Change the way|一改故辙
21|一概而论|Put in the same category|In general terms|Put in the same category
22|一鼓作气|Get something done in one vigorous effort|All in one go|Get something done in one vigorous effort
23|一国三公|Divided leadership|One country, three princes|Division of leadership
24|一棍子打死|Finish off with a single blow|Kill with a stick|Finish off with a single blow
25|一刻千金|Every moment is precious|A moment of gold|Every moment is precious
26|一孔之见|A narrow (limited, partial or peep-hole) view|A hole in sight|A narrow (limited, partial or peep-hole) view
27|一呼百应|An appeal meets with immediate response|A hundred calls|An appeal meets with immediate response
28|一挥而就|Be done with one stroke of the pen|In a flash|Done with one stroke of the pen
29|一见钟情|Fall in love (with one) at first sight|Love at first sight|Fall in love (with one) at first sight
30|一见如故|Become fast friends at the first meeting|See you soon|Become fast friends at the first meeting
31|一举两得|Achieve two things at one stroke|Kill two birds with one stone|Achieve two things at one stroke
32|一举成名|Achieve instant fame|Rise to fame|Gain instant fame
33|一气呵成|(of an essay) form a coherent whole|All in one go|(of an essay) form a coherent whole
34|一丘之貉|Jackals of the same lair|A raccoon dog|Jackals of the same lair
35|一穷二白|Backward both economically and culturally|One poor and two white|Backward both economically and culturally
