|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|Cut off a person's eyes and hang them up as a warning to all ###
1|आंखों का तारा|beloved person|the star of the eyes|Guide one's actions by one's principles###
2|चेहरा उतरना|to be sad or disappointed|the face to fall|Show one's face (or look) to the public
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|Pinch one's fingers together and call it a double squeeze###
4|साँस लेना|to feel relieved after hard work|to take a breath|Accept somebody's invitation without hesitation
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|Be perfectly clear in one's explanation
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|(of a boy and a girl) be innocent playmates###
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|Abhor (or hate) to the core of one's being
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|Play with fire
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|(of a person) be found guilty of a crime against the state ###
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|Strive for the impossible or illusory###
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|The distance between heaven and earth
12|हवा से बातें करना|to move very fast|to talk with the wind|Tell somebody something for what it's worth
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|A man of very few words###
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|Fall off a mountain
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|The moon shines on the water
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|Give somebody the opportunity to explain
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|Make a clean sweep
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|Let things drift if they do not affect one personally ###
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|Be on the increase
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|Inescapable consequences
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|Slap one's face until it's swollen in an effort to look imposing###
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|Have water in one's mouth - be ready to do something without extra effort###
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|Cut off a person's head and hang it up as a warning to all
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|Collapse under the weight of evidence
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|Lock the door after the thief has gone
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|The best thing to do now is to leave it to chance.
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|Punish one as a warning to all ###
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|Sing the same tune as others
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|Protect oneself from harm by not daring to oppose ###
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|Don't be afraid to tell somebody something new ###
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|Cut off a person's head and hang it up as a warning to all ###
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|Put on a false smile ###
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|Have a lot of questions to ask
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|Touch one's face (in greeting)###
35|नाक नीची करना|to humiliate publicly|to make the nose low|Bow to somebody's wishes
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|Have one's head and shoulders above others
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|Don't be afraid to speak up ###
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|Coat one's head with oil (used as a remedy for dandruff)###
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|(of a person) be found guilty by circumstantial evidence ###
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|Pinpoint the mistake
41|कान भरना|to manipulate someone against another|to fill the ears|Feel nervous and uneasy###
42|कान काटना|to outsmart completely|to cut the ear|Cut off a person's head and hang it up as a warning to all
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|Put up a struggle ###
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|Explain something by reference to something else
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|(something) falls into somebody's lap ###
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|The time has come for action###
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|Distribute the blame (or responsibility) to others
48|आग में कूदना|to take a dangerous risk|to jump into the fire|Run after one's own shadow
49|आग लगना|to become furious or jealous|for fire to catch|(of an evil-doer) will have no chance of escape if he keeps on doing evil ###
50|आग ठंडी होना|to calm down after anger|for the fire to cool|The temperature drops as the night progresses
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|Make a clean sweep
52|आग से खेलना|to invite danger knowingly|to play with fire|Play with fire
53|आग लगाना|to instigate or provoke trouble|to set on fire|Attach a label to something
54|आग दिखाना|to show anger or power|to show fire|Indicate the direction of advance
55|आग लग जाना|to feel jealous or restless|for fire to get lit|Know something about everything
56|आग बन जाना|to become furious|to become fire|The march of events ###
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|Lift a rock only to have one's toes squashed###
58|धूल चाटना|to face defeat or humiliation|to lick dust|Scratch one's head
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|Foolishly overreach oneself
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|Plough the land###
61|धूल में मिलाना|to destroy completely|to mix into dust|Be found in a suspicious position###
62|धूल उड़ाना|to make a scene unnecessarily|to raise/fly dust|Let loose a stream of abuse (against somebody)###
63|धूल झोंकना|to deceive or mislead someone|to throw dust (in the eyes)|(of a man and a woman) be happy together###
64|हवा निकल जाना|to lose courage suddenly|for the air to go out|The wind blows from all directions
65|हवा खा जाना|to run away secretly|to eat wind|Have (or get) wind from the direction of one's attack###
66|हवा में उड़ाना|to waste money carelessly|to throw/waft in the air|Fly in the face of ###
67|हवा बन जाना|to disappear quickly|to become air|The wind blows from all directions
68|हवा में बात करना|to speak without proof or sense|to speak into the air|Tell somebody something for what it's worth
69|हवा लगना|to be influenced by others|to catch/get the wind|The wind blows from all directions
70|हवा देना|to encourage or instigate something|to give air|Let the wind blow
71|हवा बदलना|to change situation or environment|to change the air|The wind blows from all directions
72|हवा चखना|to get a taste of something new (usually trouble)|to taste the air|Wallow in one's own slough of despondency
73|हवा बंद होना|to lose confidence completely|for the air to stop|The wind stops (or gives up) ###
74|आँख में धूल झोंकना|to deceive or fool someone|to throw dust into the eye|(a thief) will leave no trace of his presence
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|for the eyes to remain torn-open|Be at somebody's beck and call ###
76|आँखों में धूल झोंकना|to cheat someone cleverly|to throw dust into the eyes|(of an evil-doer) will have no trouble getting away with it
77|आँखों में बस जाना|to win someone’s heart|to come to reside in the eyes|Busily occupied from morning to night
78|आँखों से ओझल होना|to disappear from sight|to be hidden from the eyes|(of an evil-doer) be found out by his own hideout ###
79|आँख दिखाना|to threaten or scold harshly|to show the eye|Point out somebody's wrongdoing
80|आँख तरेरना|to glare angrily|to glare with the eyes|It's a waste of breath ###
81|आँखें फाड़ना|to stare in surprise|to rip/tear the eyes open (goggle)|(of a writer's style) flowing and easy to read###
82|आँखें मूँदना|to ignore intentionally|to shut/close the eyes|Describe somebody as a fool
83|आँखों में आँसू आना|to become emotional or sad|for tears to come into the eyes|See visions of things by (or from) experiences
84|दिल लगाना|to fall in love|to attach the heart|Affectionate
85|दिल तोड़ना|to break someone's heart|to break the heart|Let things drift if they do not affect one personally###
86|दिल जीतना|to win someone's affection|to win the heart|Win the heart of the person one is trying to influence###
87|दिल पर लेना|to take something personally|to take to the heart|Take somebody's money without his knowledge
88|दिल लगाकर काम करना|to work wholeheartedly|to work with the heart attached|Do work under another's name ###
89|दिल में बात रखना|to hide one’s feelings|to keep the matter in the heart|Keep the matter out of one's mind
90|दिल पर पत्थर रखना|to act bravely despite pain|to place a stone on the heart|Keep a good distance from somebody
91|दिल जलना|to feel jealous or envious|for the heart to burn|Feel nervous and uneasy
92|दिल बहलाना|to distract from sadness|to amuse/console the heart|Be ungrateful
93|दिल धड़कना|to feel nervous or excited|for the heart to beat|(of a person) be found guilty of a crime against the state ###
94|दिल खोलकर देना|to be generous|to give with the heart open|Tell all the truth
95|दिल में चोर होना|to have guilt or bad intentions|for there to be a thief in the heart|Be found in a suspicious position###
96|दिल में बसना|to be deeply loved or remembered|to dwell in the heart|Live off one's illusions
97|दिल का हाल बताना|to express inner feelings|to tell the condition of the heart|Tell somebody something about himself
98|दिल टूट जाना|to feel heartbroken|for the heart to break|The spirit is willing, but the flesh is weak.
99|दिल खुश हो जाना|to become happy|for the heart to become happy|Be happy to see one's favorite sport ###
100|दिल में बात आना|to get an idea or feeling|for a thought to come into the heart|(or) hear from somebody's lips ###
101|दिल से उतर जाना|to lose affection or trust|to descend/fall from the heart|Feel as if one had a direct link to somebody through the heart of the matter
102|दिल से लगाना|to love or treat affectionately|to press/hold to the heart|Affectionate
103|दिल लगा रहना|to stay interested or focused|to remain heart-attached|Feel as if one had lost a dear friend (or, more than a friend)###
104|दिमाग चलना|to think cleverly|for the mind/brain to run|Let one's imagination run away with him
105|दिमाग खराब होना|to lose temper or sanity|for the mind to go bad|Abandon oneself to illusions
106|दिमाग लगाना|to use intelligence or creativity|to apply the mind|Impute blame to others
107|दिमाग ठिकाने लगाना|to discipline or bring to senses|to put the mind in its place|Let one have one's own way
108|दिमाग का दही होना|to get mentally exhausted|the brain to become curd|Feel dizzy with success ###
109|दिमाग घुमाना|to confuse or manipulate someone|to spin/turn someone’s mind|Ruminate over one's mistakes
110|दिमाग का ताला खोलना|to start thinking or understanding|to open the lock of the mind|(of a person's) brains are as good as gold
111|दिमाग खाना|to irritate by constant nagging|to eat the brain|Feed one's brains on illusions
112|दिमाग लग जाना|to focus attention on something|for the mind to get engaged|It's hard to make heads or tails of something
113|दिमाग में बात आना|to get a sudden idea|for an idea to come into the mind|(said) to one's own brain###
114|पानी-पानी होना|to feel embarrassed or ashamed|to become water-water|It's never-ending (or full) ###
115|पानी फिर जाना|to have plans fail suddenly|for water to go over (it)|Know one's own strength
116|पानी मांगना|to beg for mercy|to ask for water|Plead in desperation
117|पानी उतारना|to humiliate someone publicly|to bring down/drain the water|Give somebody the opportunity to explain
118|पानी सिर से गुजरना|to reach the limit of patience|for water to pass over the head|Get off the subject
119|पानी में आग लगाना|to attempt the impossible|to set fire in water|Put fire under the water (or on the boat) - something which will only cause trouble to oneself###
120|पानी पर लिखा|to be temporary or futile|written on water|Write on a sheet of paper ###
121|पानी बराबर होना|to be equal in strength or skill|to be equal like water|Equal shares of honor, power, etc.
122|पानी पीना|to feel comfortable after fear|to drink water|Drink from the same source as one's own ###
123|पानी मांगना पड़ना|to be defeated badly|to have to ask for water|Ask for help without delay
124|पानी लाना|to bring respect or reputation|to bring/fetch water|Get something for nothing
125|हाथ बँटाना|to help or assist someone|to share/divide the hand|Beat about the bush
126|हाथ धोकर पीछे पड़ना|to chase or target relentlessly|to wash one’s hands and go after|Run after somebody who has gone, grabbing at his heels.
127|हाथ खड़े कर देना|to give up completely|to make (one) raise hands|Give somebody the opportunity to correct mistakes
128|हाथ पाँव फूल जाना|to panic or get nervous|for hands and feet to bloom|Have an inkling of what is to come ###
129|हाथ मलना|to regret something deeply|to rub the hands|(of a person) be found in a suspicious position
130|हाथ साफ़ होना|to be skilled or experienced|for the hand to be clean|Clean hands
131|हाथ पर हाथ धरे रहना|to do nothing|to keep one hand resting on the other|Having one's hands over one's head - be suspended in mid-air ###
132|हाथ की सफाई दिखाना|to show cleverness or skill|to show the hand’s cleanliness (sleight)|Show off one's clean hands
133|हाथ में लेना|to take responsibility for something|to take in hand|(of a thief) have his hands full
134|हाथ से निकल जाना|to miss an opportunity|to go out of the hand|(of a person) be found guilty by circumstantial evidence ###
135|हाथ लगना|to get caught or succeed|to come to the hand|Feel as if one had been hit on the face with a hammer
136|हाथ धोना|to lose something completely|to wash hands|Make a clean sweep
137|हाथ मिलाना|to collaborate or agree|to join hands|Hand over to somebody ###
138|हाथ बाँधना|to restrict or tie someone’s ability|to tie/bind the hands|Hands up in the air
139|हाथ ऊँचा होना|to be more powerful or dominant|for the hand to be higher|Raise one's hand in greeting ###
140|हाथ जलना|to learn by mistake|for the hand to be burned|Wash hands in preparation
141|हाथ थामना|to support someone|to hold the hand|Throw one's hands up in defeat
142|हाथ पसारना|to beg or plead|to spread the hand (for alms)|Hand over to somebody
143|हाथ काटना|to separate or break relation|to cut the hand|Cut off a person's hands and hang them up as a warning to all
144|हाथ मोड़ना|to refuse or reject something|to twist the hand|Put up a fight ###
145|पैर पसारना|to spend or expand beyond means|to spread the feet|Keep on the go###
146|पैर जमाना|to settle firmly|to set the feet firm|Put up a fight ###
147|पैर पकड़ना|to beg for forgiveness|to hold the feet|Tie up the loose ends
148|पैर तले ज़मीन खिसकना|to be shocked or lose ground|for the ground to slip from under the feet|(of a person) be found guilty of all charges ###
