|src|true_meaning|literal_translation|predicted
0|आंखें चुराना|to avoid being seen|to hide one’s eyes|to avoid being seen
1|आंखों का तारा|beloved person|the star of the eyes|someone extremely dear
2|चेहरा उतरना|to be sad or disappointed|the face to fall|to become sad or disappointed
3|दाँतों तले उंगली दबाना|to be very surprised|to press a finger under the teeth|to be shocked or amazed
4|साँस लेना|to feel relieved after hard work|to take a breath|to feel relieved after hard work
5|बात पक्की होना|to agree on something or finalize a deal|for the matter to become firm|to agree on something or finalize a deal
6|बाल-बाल बचना|to narrowly escape from trouble|to be saved by a hair|to narrowly escape from trouble
7|अक्ल का दुश्मन|a fool who avoids wisdom|enemy of wisdom|fool who avoids wisdom
8|जान पर खेलना|to act fearlessly or take great risks|to play with one’s life|to act fearlessly or take great risks
9|पेट में चूहे कूदना|to be extremely hungry|mice jumping in the stomach|to be extremely hungry
10|आसमान पर चढ़ना|to be proud or overconfident|to climb onto the sky|to be proud or overconfident
11|आकाश पाताल का अंतर|to be vastly different|difference between sky and netherworld|great difference in status or strength
12|हवा से बातें करना|to move very fast|to talk with the wind|to move very fast
13|पत्थर की लकीर|to be firm on one’s word or decision|a line of stone|firmness of one’s word or decision
14|पहाड़ टूट पड़ना|to face a huge problem or calamity|a mountain breaking and falling (upon)|to face a huge problem or calamity
15|ईद का चाँद होना|to appear after a long time (a rare person)|to be the moon of Eid|to be the same old complaint
16|चकमा देना|to deceive or trick someone|to give a dodge/trick|to deceive or fool someone
17|उल्टी गंगा बहना|something unusual or against norms happening|the Ganga to flow in reverse|to have a close friendship or family ties
18|छक्के छुड़ाना|to defeat completely|to make someone’s sixes come out|to defeat completely
19|फूँक-फूँक कर कदम रखना|to act very cautiously|to place steps after blowing (carefully)|act very cautiously
20|दम में दम आना|to regain courage or relief after fear|breath to come into one’s breath|to regain courage or relief after fear
21|दाँत से दाँत बजाना|to shiver from cold|to make tooth strike tooth (chatter)|to shiver from cold
22|मुँह में पानी आना|to be tempted by delicious food|water to come into the mouth|to be tempted by delicious food
23|नाक काटना|to disgrace or embarrass someone|to cut the nose|to disgrace someone publicly
24|कमर टूटना|to feel exhausted or discouraged|the waist to break|to feel exhausted or discouraged
25|कमर कसना|to prepare oneself for a challenge|to tighten the waist (belt)|to prepare oneself for a challenge
26|कलेजा पत्थर का होना|to be mentally or emotionally very strong|the liver/heart to be of stone|to be mentally or emotionally very strong
27|दाँत खट्टे करना|to defeat someone badly|to make the teeth sour|to defeat someone badly
28|ईंट से ईंट बजाना|to completely destroy or demolish someone|to make brick strike brick|to defeat completely
29|नाक में दम करना|to annoy someone constantly|to put breath in the nose|to annoy someone constantly
30|नाक पर मक्खी न बैठने देना|to be strict or disciplined|to not let a fly sit on the nose|to be strict or disciplined
31|नाक कट जाना|to lose one's honor or respect|the nose to get cut|to lose honor or respect
32|नाक में तेल डालकर सोना|to sleep carefreely without worries|to sleep after putting oil in the nose|to sleep peacefully without worry
33|नाक का सवाल होना|to be a matter of pride or ego|to be a question of the nose (honor)|to be a matter of pride or ego
34|नाक भौं सिकोड़ना|to show disapproval|to wrinkle the nose and brows|to decide authoritatively
35|नाक नीची करना|to humiliate publicly|to make the nose low|to humiliate publicly
36|कान खड़े होना|to become alert or suspicious|for the ears to stand up|to become alert or suspicious
37|कान पर जूँ न रेंगना|to remain unaffected or unmoved|for not even a louse to crawl on the ear|to remain unaffected or unmoved
38|कान में तेल डालना|to ignore someone's words|to pour oil into the ear|to ignore someone's words
39|कान में फूंक मारना|to influence or manipulate someone secretly|to blow a puff into the ear|to secretly manipulate someone
40|कान पकड़ना|to vow never to repeat a mistake|to hold the ears|to vow never to repeat a mistake
41|कान भरना|to manipulate someone against another|to fill the ears|to manipulate someone against another
42|कान काटना|to outsmart completely|to cut the ear|to outsmart completely
43|आसमान सिर पर उठाना|to create a big commotion or panic|to lift the sky onto one’s head|to create a big commotion or panic
44|आसमान से बातें करना|to reach great heights or success|to talk with the sky|to reach great heights or success
45|आसमान से गिरे खजूर में अटके|to fall from one trouble into another|having fallen from the sky, stuck in a date-palm|to fall from one trouble into another
46|आग बबूला होना|to become extremely angry|to become fire-foaming (blazing angry)|to become extremely angry
47|आग में घी डालना|to worsen an already bad situation|to pour ghee into the fire|to worsen an already bad situation
48|आग में कूदना|to take a dangerous risk|to jump into the fire|to take a dangerous risk
49|आग लगना|to become furious or jealous|for fire to catch|to feel jealous or restless
50|आग ठंडी होना|to calm down after anger|for the fire to cool|to calm down after anger
51|आग उगलना|to speak harshly or aggressively|to spit/emit fire|to speak harshly or aggressively
52|आग से खेलना|to invite danger knowingly|to play with fire|to invite danger knowingly
53|आग लगाना|to instigate or provoke trouble|to set on fire|to instigate or provoke trouble
54|आग दिखाना|to show anger or power|to show fire|to show anger or power
55|आग लग जाना|to feel jealous or restless|for fire to get lit|to feel jealous or restless
56|आग बन जाना|to become furious|to become fire|to become furious or jealous
57|आग पर तेल डालना|to intensify an argument or situation|to pour oil on the fire|to intensify an argument or situation
58|धूल चाटना|to face defeat or humiliation|to lick dust|to struggle in poverty or hardship
59|धूल फाँकना|to struggle in poverty or hardship|to gulp/eat dust|to struggle in poverty or hardship
60|धूल झाड़ना|to scold or reprimand strongly|to shake off dust|to scold or reprimand harshly
61|धूल में मिलाना|to destroy completely|to mix into dust|to destroy completely
62|धूल उड़ाना|to make a scene unnecessarily|to raise/fly dust|to make a scene unnecessarily
63|धूल झोंकना|to deceive or mislead someone|to throw dust (in the eyes)|to cheat someone cleverly
64|हवा निकल जाना|to lose courage suddenly|for the air to go out|to lose courage suddenly
65|हवा खा जाना|to run away secretly|to eat wind|to lose courage suddenly
66|हवा में उड़ाना|to waste money carelessly|to throw/waft in the air|to waste money carelessly
67|हवा बन जाना|to disappear quickly|to become air|to disappear quickly
68|हवा में बात करना|to speak without proof or sense|to speak into the air|to speak without proof or sense
69|हवा लगना|to be influenced by others|to catch/get the wind|to be influenced by others
70|हवा देना|to encourage or instigate something|to give air|to encourage or instigate something
71|हवा बदलना|to change situation or environment|to change the air|to change situation or environment
72|हवा चखना|to get a taste of something new (usually trouble)|to taste the air|to get a taste of something new (usually trouble)
73|हवा बंद होना|to lose confidence completely|for the air to stop|to lose confidence completely
74|आँख में धूल झोंकना|to deceive or fool someone|to throw dust into the eye|to cheat someone cleverly
75|आँखें फटी की फटी रह जाना|to be shocked or amazed|for the eyes to remain torn-open|to be shocked or amazed
76|आँखों में धूल झोंकना|to cheat someone cleverly|to throw dust into the eyes|to cheat someone cleverly
77|आँखों में बस जाना|to win someone’s heart|to come to reside in the eyes|to win someone’s heart
78|आँखों से ओझल होना|to disappear from sight|to be hidden from the eyes|to disappear from sight
79|आँख दिखाना|to threaten or scold harshly|to show the eye|to threaten or scold harshly
80|आँख तरेरना|to glare angrily|to glare with the eyes|to glare angrily
81|आँखें फाड़ना|to stare in surprise|to rip/tear the eyes open (goggle)|to stare in surprise
82|आँखें मूँदना|to ignore intentionally|to shut/close the eyes|to ignore intentionally
83|आँखों में आँसू आना|to become emotional or sad|for tears to come into the eyes|to become emotional or sad
84|दिल लगाना|to fall in love|to attach the heart|to fall in love
85|दिल तोड़ना|to break someone's heart|to break the heart|to break someone's heart
86|दिल जीतना|to win someone's affection|to win the heart|to win someone's affection
87|दिल पर लेना|to take something personally|to take to the heart|to take something personally
88|दिल लगाकर काम करना|to work wholeheartedly|to work with the heart attached|to work wholeheartedly
89|दिल में बात रखना|to hide one’s feelings|to keep the matter in the heart|to hide one’s feelings
90|दिल पर पत्थर रखना|to act bravely despite pain|to place a stone on the heart|to act bravely despite pain
91|दिल जलना|to feel jealous or envious|for the heart to burn|to feel jealousy or anger
92|दिल बहलाना|to distract from sadness|to amuse/console the heart|to distract from sadness
93|दिल धड़कना|to feel nervous or excited|for the heart to beat|to feel nervous or excited
94|दिल खोलकर देना|to be generous|to give with the heart open|to be generous or forgiving
95|दिल में चोर होना|to have guilt or bad intentions|for there to be a thief in the heart|to feel guilt or bad intentions
96|दिल में बसना|to be deeply loved or remembered|to dwell in the heart|to be deeply loved or remembered
97|दिल का हाल बताना|to express inner feelings|to tell the condition of the heart|to express inner feelings
98|दिल टूट जाना|to feel heartbroken|for the heart to break|to feel heartbroken
99|दिल खुश हो जाना|to become happy|for the heart to become happy|to become happy
100|दिल में बात आना|to get an idea or feeling|for a thought to come into the heart|to get an idea or feeling
101|दिल से उतर जाना|to lose affection or trust|to descend/fall from the heart|to lose affection or trust
102|दिल से लगाना|to love or treat affectionately|to press/hold to the heart|to fall in love deeply
103|दिल लगा रहना|to stay interested or focused|to remain heart-attached|to stay interested or focused
104|दिमाग चलना|to think cleverly|for the mind/brain to run|to think very hard
105|दिमाग खराब होना|to lose temper or sanity|for the mind to go bad|to lose temper or sanity
106|दिमाग लगाना|to use intelligence or creativity|to apply the mind|to use intelligence or creativity
107|दिमाग ठिकाने लगाना|to discipline or bring to senses|to put the mind in its place|to use intelligence or creativity
108|दिमाग का दही होना|to get mentally exhausted|the brain to become curd|to get mentally exhausted
109|दिमाग घुमाना|to confuse or manipulate someone|to spin/turn someone’s mind|to confuse or manipulate someone
110|दिमाग का ताला खोलना|to start thinking or understanding|to open the lock of the mind|to start thinking or understanding
111|दिमाग खाना|to irritate by constant nagging|to eat the brain|to irritate by constant nagging
112|दिमाग लग जाना|to focus attention on something|for the mind to get engaged|to get mentally exhausted
113|दिमाग में बात आना|to get a sudden idea|for an idea to come into the mind|to get an idea or feeling
114|पानी-पानी होना|to feel embarrassed or ashamed|to become water-water|to be extremely close blood relations
115|पानी फिर जाना|to have plans fail suddenly|for water to go over (it)|to have plans fail suddenly
116|पानी मांगना|to beg for mercy|to ask for water|to beg for mercy
117|पानी उतारना|to humiliate someone publicly|to bring down/drain the water|to humiliate someone publicly
118|पानी सिर से गुजरना|to reach the limit of patience|for water to pass over the head|to reach the limit of patience
119|पानी में आग लगाना|to attempt the impossible|to set fire in water|to attempt the impossible
120|पानी पर लिखा|to be temporary or futile|written on water|to be written on one’s fate/forehead
121|पानी बराबर होना|to be equal in strength or skill|to be equal like water|to be equal in strength or skill
122|पानी पीना|to feel comfortable after fear|to drink water|to feel embarrassed or ashamed
123|पानी मांगना पड़ना|to be defeated badly|to have to ask for water|to be defeated badly
124|पानी लाना|to bring respect or reputation|to bring/fetch water|to bring respect or reputation
125|हाथ बँटाना|to help or assist someone|to share/divide the hand|to help or assist someone
126|हाथ धोकर पीछे पड़ना|to chase or target relentlessly|to wash one’s hands and go after|to chase or target relentlessly
127|हाथ खड़े कर देना|to give up completely|to make (one) raise hands|to give up completely
128|हाथ पाँव फूल जाना|to panic or get nervous|for hands and feet to bloom|to panic or get nervous
129|हाथ मलना|to regret something deeply|to rub the hands|to regret something deeply
130|हाथ साफ़ होना|to be skilled or experienced|for the hand to be clean|to be skilled or experienced
131|हाथ पर हाथ धरे रहना|to do nothing|to keep one hand resting on the other|to stay idle or helpless
132|हाथ की सफाई दिखाना|to show cleverness or skill|to show the hand’s cleanliness (sleight)|to show cleverness or skill
133|हाथ में लेना|to take responsibility for something|to take in hand|to take responsibility for something
134|हाथ से निकल जाना|to miss an opportunity|to go out of the hand|to miss an opportunity
135|हाथ लगना|to get caught or succeed|to come to the hand|to get caught or succeed
136|हाथ धोना|to lose something completely|to wash hands|to lose something completely
