,source,predicted,ground_truth,da,qe,rouge,embed_distance,laj
0,一波未平，一波又起,"""One wave has not calmed down, and another wave arises.""",Suffer a string of reverses,0.49464771151542664,0.7420310974121094,0.0,0.4223788380622864,1
1,一板三眼,"""One board, three eyes""",Following a prescribed pattern in speech or action,0.41347724199295044,0.697257399559021,0.0,0.4655705690383911,1
2,一鼻孔出气,"""To breathe through the same nostril""",Be in tune with,0.5033084750175476,0.47672662138938904,0.0,0.6124760508537292,1
3,一步登天,"""To reach the sky in one step""",Have a meteoric rise,0.5198201537132263,0.6334074139595032,0.0,0.658824622631073,3
4,一不做，二不休,"If you don't do it, don't even think about stopping.","Once it is started, go through with it",0.6078243851661682,0.6234826445579529,0.04081632653061224,0.5397565960884094,4
5,一拍即合,"""One clap, and it's a perfect match.""",Fit in readily,0.5343345999717712,0.7039823532104492,0.0,0.5360978245735168,4
6,一抔黃土,A handful of yellow earth,Mere dust heaps,0.4301019608974457,0.7978235483169556,0.0,0.6898006796836853,3
7,一盘散沙,"""一盘散沙"" is a Chinese idiom that can be translated as ""a heap of loose sand."" This idiom is used to describe a situation or group of people that are disorganized, lacking unity, and unable to work together effectively.",Lacking a spirit of cooperation,0.5768269896507263,0.741672933101654,0.07434944237918216,0.3056226670742035,2
8,一模一样,"""一模一样"" is a Chinese idiom that translates to ""identical."" It is used to describe two things that are exactly the same in appearance, form, or characteristics. The idiom emphasizes the similarity and uniformity between the objects or individuals being compared.",Exactly alike,0.5962843298912048,0.7332051992416382,0.034129692832764506,0.4669516980648041,4
9,一马当先,"""Lead the way like a galloping horse""",Take the lead,0.5584719181060791,0.5062406063079834,0.16,0.7353578209877014,4
10,一马平川,"""A vast plain stretches out before you, uninterrupted by any obstacles, offering a clear and unobstructed view.""",A wide expanse of flat land,0.5605548620223999,0.4423883557319641,0.0,0.7378665208816528,2
11,一面之交,"""A passing acquaintance"" or ""a brief encounter"".",Have met only once,0.5576221942901611,0.6270676255226135,0.0,0.5990397930145264,5
12,一目了然,"""At a glance, everything is clear and evident.""",Understand fully at a glance,0.792425811290741,0.7931382656097412,0.2857142857142857,0.6369472146034241,5
13,一目十行,"""One glance, ten lines""",Take in ten lines at one glance (said of a rapid reader),0.5746085047721863,0.7074474096298218,0.4578313253012048,0.8540281057357788,5
14,一得之功,"""A single achievement or success""","Just an occasional, minor success",0.5719476342201233,0.5642912983894348,0.21538461538461537,0.7409422993659973,4
15,一刀两断,"""To sever all ties with a clean cut""",Make a clean break,0.5781135559082031,0.534666121006012,0.28571428571428564,0.6810924410820007,4
16,一潭死水,"""A stagnant pond""","A stagnated, dull atmosphere",0.534593403339386,0.8086788654327393,0.2439024390243902,0.773673951625824,3
17,一诺千金,"""A promise is worth a thousand pieces of gold.""",A solemn promise,0.6099545359611511,0.7613509297370911,0.15384615384615385,0.6515263319015503,5
18,一劳永逸,"""To achieve something with a single effort that will bring about permanent relief or freedom from a recurring problem.""",Put things right once and for ail,0.5737101435661316,0.43512216210365295,0.02380952380952381,0.5333141684532166,4
19,一鳞半爪,"""A glimpse of a scale and a fragment of a claw""",Odd bits / fragments,0.4596759080886841,0.4441622197628021,0.1739130434782609,0.5597390532493591,1
20,一改故辙,"""Change one's old ways and embark on a new path.""",Rid oneself of an old habit,0.6887204647064209,0.7114312052726746,0.09638554216867469,0.7126467823982239,5
21,一概而论,"""To generalize and make sweeping statements""",Put in the same category,0.4011545479297638,0.6354442834854126,0.0,0.5698083639144897,4
22,一鼓作气,"""One drum, one breath""",Get something done in one vigorous effort,0.4304194152355194,0.40438735485076904,0.12698412698412698,0.6468852758407593,2
23,一国三公,"""One country, three dukes""",Divided leadership,0.4340120553970337,0.779794454574585,0.0,0.653636634349823,3
24,一棍子打死,"""To hit someone with a stick and kill them.""",Finish off with a single blow,0.5696848034858704,0.6021631956100464,0.2051282051282051,0.5534856915473938,3
25,一刻千金,"""One moment is worth a thousand pieces of gold.""",Every moment is precious,0.7026644349098206,0.8173739314079285,0.26666666666666666,0.6307775378227234,3
26,一孔之见,"""A narrow-minded view"" or ""a limited perspective""","A narrow (limited, partial or peep-hole) view",0.7427748441696167,0.46870914101600647,0.4,0.8400574326515198,5
27,一呼百应,"""A single call, a hundred responses""",An appeal meets with immediate response,0.5981392860412598,0.693871021270752,0.15789473684210525,0.6493866443634033,4
28,一挥而就,"""To achieve success in a single stroke"" or ""To accomplish something effortlessly and with great skill.""",Be done with one stroke of the pen,0.6254621744155884,0.45217135548591614,0.1610738255033557,0.5558485388755798,4
29,一见钟情,"""Love at first sight""",Fall in love (with one) at first sight,0.7533254623413086,0.8195582032203674,0.6101694915254238,0.8265966176986694,5
30,一见如故,"""One glance, and we are as if old friends.""",Become fast friends at the first meeting,0.6824721693992615,0.726017415523529,0.15909090909090912,0.5710816979408264,5
31,一举两得,"One action, two benefits.",Achieve two things at one stroke,0.6749257445335388,0.7527255415916443,0.14285714285714288,0.7340984344482422,4
32,一举成名,To achieve fame in a single stroke.,Achieve instant fame,0.7380996346473694,0.7166380882263184,0.2909090909090909,0.8766604661941528,5
33,一气呵成,"""To accomplish something in one go, without interruption or hesitation.""",(of an essay) form a coherent whole,0.5107414722442627,0.5490872263908386,0.0,0.5624704957008362,5
34,一丘之貉,"""One hill, one fox""",Jackals of the same lair,0.42988020181655884,0.49757736921310425,0.0,0.7097562551498413,2
35,一穷二白,"""One is poor, two is white""",Backward both economically and culturally,0.4252786934375763,0.37670162320137024,0.0,0.6045815348625183,2
36,一蟹不如一蟹,"""One crab is not as good as another crab.""",From bad to worse,0.39806219935417175,0.5686785578727722,0.0,0.5254880785942078,3
37,一泻千里,"""A thousand miles in a single rush""",(of a writer's style) forceful and flowing,0.4446342885494232,0.5711114406585693,0.04938271604938272,0.5345697402954102,2
38,一笑置之,"""One smile, and it's put aside.""",Laugh off,0.43703383207321167,0.5766934156417847,0.0,0.5657882690429688,4
39,一心一德,"""One heart, one mind""",Be at one,0.5142368674278259,0.6727064251899719,0.15384615384615385,0.7798272371292114,2
40,一纸空文,A piece of paper with empty words.,Empty words on a sheet of paper,0.9027761816978455,0.8084746599197388,0.463768115942029,0.8978824615478516,3
41,一枕黄粱,"""A dream of yellow millet""",A brief dream of grandeur,0.5690346956253052,0.5630786418914795,0.35294117647058826,0.7525749802589417,4
42,一张一弛,"The idiom ""一张一弛"" in Chinese translates to ""alternate between tension and relaxation"" in English.",Strike a proper balance between work and rest,0.48983725905418396,0.45835229754447937,0.1818181818181818,0.4315234422683716,4
43,一着不慎，满盘皆输,"""One careless move, and the entire game is lost.""",One careless move and the whole game is lost,0.905341386795044,0.7703851461410522,0.8,0.9155365228652954,5
44,一差二错,"""One mistake, two errors.""",Possible mistake or mishap,0.6600812077522278,0.6249244213104248,0.32653061224489793,0.7548295855522156,2
45,一筹莫展,"""At a loss for a single move""",Be at one's wits' end,0.5223481059074402,0.6441183090209961,0.03846153846153846,0.771834135055542,4
46,一唱百和,"""One sings, and a hundred voices join in harmony.""",Chime in with others,0.5398004651069641,0.5343207716941833,0.05555555555555556,0.5994172096252441,5
47,一唱一和,"""One sings, one harmonizes.""",Sing the same tune,0.5871120095252991,0.5661788582801819,0.0,0.7104106545448303,3
48,一触即溃,"""One touch and it collapses""",Collapse at the first encounter,0.6564688682556152,0.7122747898101807,0.13559322033898305,0.7879104614257812,4
49,一视同仁,"""Treat everyone equally and without discrimination.""",Treat all alike without discrimination,0.9071323275566101,0.7771741151809692,0.5274725274725274,0.8736084699630737,5
50,一失足成千古恨,"A single misstep, a regret for a thousand years.",A single slip may cause lasting sorrow,0.6732250452041626,0.7772774696350098,0.15384615384615385,0.6992918252944946,4
51,一手包办,"""One-handed handling"" or ""taking care of everything by oneself.""",Take everything on oneself,0.5938258767127991,0.5529311299324036,0.34782608695652173,0.7150048017501831,4
52,一手遮天,"""One hand covers the sky.""",Hoodwink the public,0.4553792476654053,0.46598395705223083,0.13953488372093026,0.4895906150341034,2
53,一身是胆,"""A person with a heart of courage and bravery""",Know no fear,0.4253082275390625,0.5085980296134949,0.0,0.5009499192237854,4
54,一日千里,"""One day, one thousand li""",By leaps and bounds,0.3505314886569977,0.4041222631931305,0.046511627906976744,0.5919302701950073,3
55,一日三秋,"""One day feels like three autumns""",Miss somebody very much,0.4374829828739166,0.6443246603012085,0.0,0.5249613523483276,2
56,一人难如千人意,"""It is difficult for one person to please a thousand people.""",One man con hardly meet the wishes of everybody,0.6914014220237732,0.8079012632369995,0.01694915254237288,0.6345227956771851,4
57,一字千金,"""A word worth a thousand gold pieces""",One character is worth a thousand ounces of gold,0.7881403565406799,0.7449260950088501,0.43956043956043955,0.8122723698616028,4
58,一则以喜，一则以惧,"""On the one hand, I am filled with joy, while on the other hand, I am gripped by fear.""",Feel both joy and fear,0.6619333028793335,0.752505898475647,0.13333333333333333,0.7282766699790955,5
59,一蹴而就,"""One kick and it's done.""",Succeed overnight,0.5112320184707642,0.7801679372787476,0.0,0.6040611863136292,3
60,一寸丹心,"""A heart of crimson""",A loyal heart,0.5339033603668213,0.5559075474739075,0.19999999999999998,0.7945973873138428,4
61,一寸光阴一寸金,"""Every moment of time is as precious as gold.""",Time is money,0.7346224188804626,0.820969820022583,0.19672131147540983,0.6300163269042969,5
62,一而再，再而三,"""One, then two, and then three.""",Again and again,0.46255823969841003,0.7930017113685608,0.13636363636363635,0.599949836730957,3
63,一衣带水,"""A river that binds us together""",A narrow strip of water,0.49534520506858826,0.5491552352905273,0.0,0.5990400314331055,2
64,一意孤行,"""One-minded and stubborn"" or ""acting alone and obstinate""","Go (take, have of follow) one's own way",0.49839702248573303,0.5279379487037659,0.0404040404040404,0.5819593667984009,5
65,一叶知秋,"""One leaf knows autumn.""",It is a straw in the wind,0.4673708975315094,0.6567014455795288,0.0,0.5259901285171509,5
66,一叶障目，不见泰山,"""A leaf obscures the view, preventing one from seeing the majestic Mount Tai.""",Have one's view of the important overshadowed by the trivial,0.5375097990036011,0.786555290222168,0.17218543046357615,0.49909287691116333,5
67,一言既出，驷马难追,"Once the words are spoken, even four horses cannot catch up.",What is said cannot be unsaid,0.4867025315761566,0.49428343772888184,0.12631578947368421,0.5730475187301636,5
68,一言以蔽之,"""To sum it up in one word""",Make a long story short,0.4656327962875366,0.8010212182998657,0.0,0.697363018989563,5
