|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|To steal glances|to avoid being seen|0.5313349962234497|0.6935809254646301|0.0|0.6604775786399841|2
1|आंखों का तारा|"The idiom ""आंखों का तारा"" in Hindi translates to ""the apple of one's eye"" in English. This phrase is used to describe someone or something that is extremely dear, precious, or beloved to an individual. It signifies a person or object that is held in the highest regard and is considered a source of great joy and affection."|beloved person|0.5248250961303711|0.47048673033714294|0.04958677685950414|0.2206050157546997|5
2|चेहरा उतरना|"""To lose face"" or ""to be humiliated"""|to be sad or disappointed|0.5454461574554443|0.5954619646072388|0.19672131147540983|0.6939223408699036|3
3|दाँतों तले उंगली दबाना|To bite one's tongue, literally meaning to press one's finger under one's teeth, is an expression used to describe the act of suppressing one's words or keeping quiet despite having something to say. It implies a situation where an individual refrains from speaking out of fear, respect, or a desire to maintain peace. This idiom is often used to convey the idea of holding back one's opinions or thoughts, especially in a delicate or sensitive situation.|to be very surprised|0.43969619274139404|0.4271968901157379|0.0036832412523020255|0.19839248061180115|5
4|साँस लेना|"""To breathe"""|to feel relieved after hard work|0.43185555934906006|0.7923771142959595|0.0|0.5812941193580627|1
5|बात पक्की होना|"""The deal is sealed."""|to agree on something or finalize a deal|0.6633153557777405|0.8220561146736145|0.06349206349206349|0.7879550457000732|5
6|बाल-बाल बचना|To escape narrowly, by a whisker, or by a hair's breadth.|to narrowly escape from trouble|0.4382641017436981|0.4631076753139496|0.3010752688172043|0.747988224029541|4
7|अक्ल का दुश्मन|"""The enemy of wisdom"""|a fool who avoids wisdom|0.6034510731697083|0.8268914222717285|0.1818181818181818|0.7884687185287476|5
8|जान पर खेलना|To risk one's life|to act fearlessly or take great risks|0.6710338592529297|0.81132972240448|0.07017543859649122|0.7249354124069214|4
9|पेट में चूहे कूदना|"The idiom ""पेट में चूहे कूदना"" translates to ""to have butterflies in the stomach"" in English."|to be extremely hungry|0.31577324867248535|0.4746175706386566|0.0|0.3809743821620941|4
10|आसमान पर चढ़ना|"""To reach for the sky"""|to be proud or overconfident|0.4269135296344757|0.8061776161193848|0.0|0.6143181324005127|2
11|आकाश पाताल का अंतर|The difference between heaven and earth.|to be vastly different|0.5885273218154907|0.8585753440856934|0.1935483870967742|0.6493949294090271|4
12|हवा से बातें करना|"""To talk to the wind"""|to move very fast|0.4850723445415497|0.8096475005149841|0.0|0.574379563331604|2
13|पत्थर की लकीर|"""A stone line"""|to be firm on one’s word or decision|0.4175931215286255|0.784448504447937|0.03846153846153846|0.5852376222610474|2
14|पहाड़ टूट पड़ना|"""The mountain collapsed."""|to face a huge problem or calamity|0.5192701816558838|0.8119387626647949|0.0|0.7101752161979675|2
15|ईद का चाँद होना|To be the moon of Eid|to appear after a long time (a rare person)|0.47627899050712585|0.7690406441688538|0.0|0.5287154912948608|2
16|चकमा देना|To deceive or trick someone, often by giving them false information or misleading them.|to deceive or trick someone|0.8711537718772888|0.6962858438491821|0.4426229508196721|0.858169674873352|4
17|उल्टी गंगा बहना|"""To reverse the flow of the Ganges River"""|something unusual or against norms happening|0.45237573981285095|0.7459060549736023|0.0|0.5414323806762695|2
18|छक्के छुड़ाना|"""To make someone speechless with awe or admiration"""|to defeat completely|0.46905946731567383|0.5246538519859314|0.0|0.4636387825012207|5
19|फूँक-फूँक कर कदम रखना|"""Step carefully, one step at a time."""|to act very cautiously|0.5307498574256897|0.7344648241996765|0.0|0.640643298625946|4
20|दम में दम आना|"""To gain strength and confidence"""|to regain courage or relief after fear|0.5593011975288391|0.6165078282356262|0.05479452054794521|0.7315399050712585|4
21|दाँत से दाँत बजाना|"""To chatter teeth"""|to shiver from cold|0.38469457626342773|0.5995956659317017|0.0|0.6310380101203918|2
22|मुँह में पानी आना|"""To have one's mouth watering"""|to be tempted by delicious food|0.49865463376045227|0.8134938478469849|0.0|0.7877077460289001|4
23|नाक काटना|To cut off the nose|to disgrace or embarrass someone|0.40180477499961853|0.8268267512321472|0.0|0.5581807494163513|2
