|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|While one wave has not yet subsided, another wave arises.|Suffer a string of reverses|0.48782381415367126|0.7330195903778076|0.0|0.42656728625297546|2
1|一板三眼|To be straightforward and to the point.|Following a prescribed pattern in speech or action|0.47613075375556946|0.4385942220687866|0.0|0.4922395944595337|2
2|一鼻孔出气|To vent one's frustration through one nostril.|Be in tune with|0.4562184810638428|0.7094845771789551|0.0|0.5392805933952332|5
3|一步登天|"""Climbing to the sky in one step"""|Have a meteoric rise|0.5147334337234497|0.7471967935562134|0.0|0.6794165968894958|2
4|一不做，二不休|"""One doesn't do it, the second doesn't do it."""|Once it is started, go through with it|0.4441269636154175|0.417799711227417|0.04395604395604395|0.40988844633102417|3
5|一拍即合|"""Hit it off at once"""|Fit in readily|0.4798038899898529|0.5033053159713745|0.0625|0.621442973613739|5
6|一抔黃土|A Shovel of Soil|Mere dust heaps|0.40289410948753357|0.6178224086761475|0.0|0.7345624566078186|3
7|一盘散沙|A Dispersed Sand|Lacking a spirit of cooperation|0.49091267585754395|0.7346334457397461|0.0|0.5544912815093994|1
8|一模一样|Identical|Exactly alike|0.8155816793441772|0.8407016396522522|0.0|0.8999476432800293|5
9|一马当先|Leading the way|Take the lead|0.7770540714263916|0.7733523845672607|0.24999999999999994|0.8821938633918762|4
10|一马平川|Smooth Sailing|A wide expanse of flat land|0.38320687413215637|0.38118818402290344|0.0|0.5497434139251709|4
11|一面之交|Acquaintance|Have met only once|0.48526325821876526|0.6382129192352295|0.0|0.6867275238037109|3
12|一目了然|At a glance|Understand fully at a glance|0.7040740847587585|0.8006918430328369|0.4864864864864865|0.8876146078109741|5
13|一目十行|"""One Look, Ten Lines"""|Take in ten lines at one glance (said of a rapid reader)|0.5074262619018555|0.7217730283737183|0.2716049382716049|0.8048911094665527|4
14|一得之功|A single stroke of genius|Just an occasional, minor success|0.5430217385292053|0.5553010702133179|0.0|0.6036527156829834|2
15|一刀两断|Cut Ties and End Relations|Make a clean break|0.4863770306110382|0.6728282570838928|0.0|0.5426115989685059|3
16|一潭死水|A Stagnant Pool|A stagnated, dull atmosphere|0.4719933271408081|0.7498507499694824|0.2564102564102564|0.6779847741127014|3
17|一诺千金|"""A promise is worth a thousand gold."""|A solemn promise|0.6552734971046448|0.7590779662132263|0.18867924528301885|0.6759325861930847|5
18|一劳永逸|"""One Time, Forever"""|Put things right once and for ail|0.5635784268379211|0.6171540021896362|0.0392156862745098|0.5335243344306946|3
19|一鳞半爪|A little bit here and a little bit there.|Odd bits / fragments|0.46901923418045044|0.335147500038147|0.03278688524590164|0.5999020934104919|5
20|一改故辙|"""To change the old ways"""|Rid oneself of an old habit|0.6572943329811096|0.6329920291900635|0.11538461538461538|0.7588926553726196|3
21|一概而论|To Make a General Statement|Put in the same category|0.4569661617279053|0.6395741105079651|0.0|0.5702067017555237|1
22|一鼓作气|"""To finish the job in one go"""|Get something done in one vigorous effort|0.7107501029968262|0.470016747713089|0.1891891891891892|0.8072645664215088|4
23|一国三公|"""One country, three public offices"""|Divided leadership|0.42140161991119385|0.7616854906082153|0.0|0.6523072719573975|3
24|一棍子打死|To dismiss someone with a single stroke or a broad brush.|Finish off with a single blow|0.5310817956924438|0.48464083671569824|0.3225806451612903|0.6779049634933472|4
25|一刻千金|Time is Money|Every moment is precious|0.6560436487197876|0.6827520132064819|0.1176470588235294|0.7495731711387634|4
26|一孔之见|A narrow viewpoint|A narrow (limited, partial or peep-hole) view|0.7064588069915771|0.5465818047523499|0.2950819672131148|0.8902794122695923|4
27|一呼百应|"""One call, a hundred respond."""|An appeal meets with immediate response|0.6191771030426025|0.573494553565979|0.11594202898550725|0.6047026515007019|4
28|一挥而就|"""To accomplish something with a single stroke"""|Be done with one stroke of the pen|0.6600605249404907|0.6558328866958618|0.23529411764705882|0.8248432874679565|4
29|一见钟情|Love at First Sight|Fall in love (with one) at first sight|0.6938772797584534|0.8273692727088928|0.5964912280701755|0.8640775680541992|4
30|一见如故|"""As if we had known each other for a long time"""|Become fast friends at the first meeting|0.6587564945220947|0.7057375311851501|0.0|0.5463352203369141|4
31|一举两得|To achieve two goals with one action.|Achieve two things at one stroke|0.7602246999740601|0.6612391471862793|0.36111111111111105|0.8122618198394775|4
32|一举成名|To Become Famous in One Stroke|Achieve instant fame|0.6625064611434937|0.7055301666259766|0.04081632653061224|0.7571430802345276|5
33|一气呵成|"""To complete something in one breath."""|(of an essay) form a coherent whole|0.5077623724937439|0.6490325927734375|0.0|0.5839558839797974|4
34|一丘之貉|As the fox and the dog in the same den.|Jackals of the same lair|0.5139947533607483|0.2799268066883087|0.2647058823529412|0.6331003308296204|4
35|一穷二白|"""One penniless and two white."""|Backward both economically and culturally|0.4342695474624634|0.4201769232749939|0.08450704225352113|0.4263593554496765|3
36|一蟹不如一蟹|One crab is not as good as another crab.|From bad to worse|0.38831526041030884|0.5058243870735168|0.0|0.5447221994400024|2
37|一泻千里|"""A Flood of Words"""|(of a writer's style) forceful and flowing|0.5500923991203308|0.5416601896286011|0.06557377049180328|0.621664822101593|5
38|一笑置之|"""To laugh it off"""|Laugh off|0.6656312942504883|0.6316752433776855|0.36363636363636365|0.8743801116943359|4
39|一心一德|Unwaveringly adhere to principles and maintain integrity.|Be at one|0.4462145268917084|0.6586306691169739|0.0|0.5346454977989197|5
40|一纸空文|Paper without substance|Empty words on a sheet of paper|0.7009560465812683|0.725766658782959|0.037037037037037035|0.7755230665206909|5
41|一枕黄粱|A Dream Like a Pillow of Yellow Rice|A brief dream of grandeur|0.4170639216899872|0.5448819994926453|0.21875|0.7920604944229126|1
42|一张一弛|"""A little bit of relaxation after a period of hard work."""|Strike a proper balance between work and rest|0.634686291217804|0.533292829990387|0.1081081081081081|0.7209705114364624|3
43|一着不慎，满盘皆输|One slip, and the whole game is lost.|One careless move and the whole game is lost|0.85622638463974|0.772264838218689|0.6896551724137931|0.889383852481842|4
44|一差二错|One mistake after another|Possible mistake or mishap|0.6070798635482788|0.7623578906059265|0.32653061224489793|0.8395886421203613|5
45|一筹莫展|At a loss|Be at one's wits' end|0.5071591734886169|0.6554156541824341|0.0|0.8170860409736633|5
46|一唱百和|Singing the first note, the rest follow in harmony.|Chime in with others|0.46468812227249146|0.45051655173301697|0.0547945205479452|0.6319261193275452|4
47|一唱一和|Singing and responding in harmony.|Sing the same tune|0.534692108631134|0.5927188992500305|0.03921568627450981|0.7009652256965637|4
48|一触即溃|"""One Touch, One Collapse"""|Collapse at the first encounter|0.5917575359344482|0.6758766174316406|0.18518518518518517|0.7842720746994019|5
49|一视同仁|Treat All Equally|Treat all alike without discrimination|0.842709481716156|0.8194925785064697|0.3018867924528302|0.9116973876953125|4
50|一失足成千古恨|A Single Misstep Can Lead to a Thousand Years of Regret|A single slip may cause lasting sorrow|0.648310124874115|0.8178238868713379|0.1386138613861386|0.7573580145835876|4
51|一手包办|To handle everything oneself.|Take everything on oneself|0.7232071757316589|0.660527229309082|0.6792452830188679|0.7343706488609314|5
52|一手遮天|To Hold the Sky with One Hand|Hoodwink the public|0.3722369968891144|0.41606947779655457|0.125|0.643046498298645|2
