|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|One wave is not calm, another wave is rising.|Suffer a string of reverses|0.4884433448314667|0.6044940948486328|0.0|0.4468142092227936|3
1|一板三眼|One eye, two eyes, three eyes|Following a prescribed pattern in speech or action|0.334706574678421|0.5417882800102234|0.0|0.4135130047798157|1
2|一鼻孔出气|One’s nose will blow out|Be in tune with|0.43739134073257446|0.4579468369483948|0.05128205128205128|0.4972180724143982|2
3|一步登天|One step to the sky|Have a meteoric rise|0.5247038006782532|0.7626650333404541|0.0|0.630500316619873|3
4|一不做，二不休|(1) One doesn’t do it, two doesn’t stop.|Once it is started, go through with it|0.4771297574043274|0.43600913882255554|0.048192771084337345|0.5111072659492493|2
5|一拍即合|一拍即合|Fit in readily|0.6581950783729553|0.7667682766914368|0.0|0.5597589612007141|1
6|一抔黃土|One scoop of yellow dirt|Mere dust heaps|0.5246545076370239|0.7208101153373718|0.0|0.7355667948722839|3
7|一盘散沙|一盘散沙|Lacking a spirit of cooperation|0.49054890871047974|0.5390970706939697|0.0|0.48515743017196655|1
8|一模一样|One is the same as another|Exactly alike|0.6215416789054871|0.73247230052948|0.0|0.8030877113342285|4
9|一马当先|(1) The first one to go first|Take the lead|0.5039398074150085|0.6365234851837158|0.14634146341463417|0.7346673607826233|4
10|一马平川|One horse can go a long way.|A wide expanse of flat land|0.41026803851127625|0.37842267751693726|0.0|0.5469914674758911|3
11|一面之交|One Face to Face|Have met only once|0.47093477845191956|0.7336755990982056|0.0|0.6843380331993103|1
12|一目了然|一目了然|Understand fully at a glance|0.7101443409919739|0.6703550815582275|0.0|0.6948962807655334|1
13|一目十行|One glance, ten lines|Take in ten lines at one glance (said of a rapid reader)|0.5702788829803467|0.7086126804351807|0.4197530864197531|0.8459345102310181|3
14|一得之功|一得之功|Just an occasional, minor success|0.5187991857528687|0.502267599105835|0.0|0.41392645239830017|1
15|一刀两断|### English Translation: ### Chinese Translation: ### Example Sentence: ### Chinese Example Sentence: ### English Example Sentence:|Make a clean break|0.35940757393836975|0.26488181948661804|0.0|0.22611185908317566|1
16|一潭死水|A dead pond is a dead pond|A stagnated, dull atmosphere|0.34885087609291077|0.4904767572879791|0.0|0.5763629674911499|3
17|一诺千金|一诺千金|A solemn promise|0.5819676518440247|0.7447844743728638|0.0|0.49537819623947144|1
18|一劳永逸|一劳永逸|Put things right once and for ail|0.5464053750038147|0.7262890338897705|0.0|0.5262655019760132|1
19|一鳞半爪|One claw and half a claw|Odd bits / fragments|0.4360629916191101|0.5510621666908264|0.0|0.5585680603981018|3
20|一改故辙|One step forward, two steps back|Rid oneself of an old habit|0.4425976276397705|0.5150994062423706|0.0|0.6239399313926697|5
21|一概而论|One thing at a time|Put in the same category|0.48792049288749695|0.6039501428604126|0.0|0.5971664786338806|1
22|一鼓作气|一鼓作气|Get something done in one vigorous effort|0.44781213998794556|0.6800410747528076|0.0|0.6162188649177551|1
23|一国三公|一国三公|Divided leadership|0.45548146963119507|0.5277754068374634|0.0|0.4592306315898895|1
24|一棍子打死|### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ### ###|Finish off with a single blow|0.23063962161540985|0.27505412697792053|0.0|0.3047808110713959|2
25|一刻千金|一刻千金|Every moment is precious|0.7348506450653076|0.6900112628936768|0.0|0.5426297187805176|1
26|一孔之见|One-See-All|A narrow (limited, partial or peep-hole) view|0.4600251615047455|0.3834098279476166|0.0|0.6572628617286682|1
27|一呼百应|一呼百应|An appeal meets with immediate response|0.5749740600585938|0.7025259137153625|0.0|0.4724552035331726|1
28|一挥而就|一挥而就|Be done with one stroke of the pen|0.49945685267448425|0.6275531053543091|0.0|0.671593189239502|1
29|一见钟情|一见钟情|Fall in love (with one) at first sight|0.662490725517273|0.617621123790741|0.0|0.5806514620780945|1
30|一见如故|一见如故|Become fast friends at the first meeting|0.5084571242332458|0.5754977464675903|0.0|0.56441330909729|1
31|一举两得|一举两得|Achieve two things at one stroke|0.5389599204063416|0.7169877290725708|0.0|0.6598781943321228|1
32|一举成名|成名|Achieve instant fame|0.6116730570793152|0.46703246235847473|0.0|0.4882426857948303|1
33|一气呵成|One's will is effective|(of an essay) form a coherent whole|0.46975240111351013|0.37807074189186096|0.0|0.5557268857955933|2
