|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|To steal eyes|to avoid being seen|0.4971848428249359|0.727662205696106|0.0|0.6288677453994751|2
1|आंखों का तारा|आंखों का तारा (tāra) means ‘the eye’s thread’.|beloved person|0.36993294954299927|0.5204668641090393|0.0|0.1995966136455536|3
2|चेहरा उतरना|(1) To remove the face|to be sad or disappointed|0.3824770748615265|0.5667312741279602|0.0|0.4250659942626953|2
3|दाँतों तले उंगली दबाना|To press the fingers on the teeth|to be very surprised|0.388357549905777|0.7597583532333374|0.0|0.4470885992050171|3
4|साँस लेना|To take a breath|to feel relieved after hard work|0.5397463440895081|0.837597668170929|0.0|0.6117063760757446|2
5|बात पक्की होना|बात पक्की होना (Baat Pakki Hon)|to agree on something or finalize a deal|0.38376203179359436|0.7892475128173828|0.0|0.4207284450531006|5
6|बाल-बाल बचना|बाल-बाल बचना means to escape or avoid something quickly.|to narrowly escape from trouble|0.5854731202125549|0.6760227084159851|0.15384615384615383|0.5153692364692688|4
7|अक्ल का दुश्मन|The enemy of the mind|a fool who avoids wisdom|0.5087321400642395|0.8484714031219482|0.0|0.5818935632705688|4
8|जान पर खेलना|जान पर खेलना (Jaan par khelna)|to act fearlessly or take great risks|0.3719090521335602|0.7730671167373657|0.0|0.4867863059043884|1
9|पेट में चूहे कूदना|In Hindi, the idiom “पेट में चूहे कूदना” means “to jump into the stomach of a dog”.|to be extremely hungry|0.3385537564754486|0.5898882150650024|0.0|0.343384325504303|1
10|आसमान पर चढ़ना|To ascend to the sky|to be proud or overconfident|0.46319109201431274|0.8483438491821289|0.0|0.5656026005744934|1
11|आकाश पाताल का अंतर|आकाश पाताल का अंतर|to be vastly different|0.4071948230266571|0.7662642002105713|0.0|0.5734379887580872|1
12|हवा से बातें करना|### English Translation: ### Meaning: ### Context: ### Example: ### Example: ### Example:|to move very fast|0.3226797878742218|0.34495094418525696|0.0|0.2838892936706543|3
13|पत्थर की लकीर|पत्थर की लकीर|to be firm on one’s word or decision|0.19477982819080353|0.7694296836853027|0.0|0.5279698967933655|1
14|पहाड़ टूट पड़ना|पहाड़ टूट पड़ना = to break down the mountains|to face a huge problem or calamity|0.44320183992385864|0.6875514388084412|0.0|0.6283262968063354|1
