|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|一波未平，一波又起|Suffer a string of reverses|0.5117645263671875|0.7608969211578369|0.0|0.4708157777786255|1
1|一板三眼|Following a prescribed pattern in speech or action|Following a prescribed pattern in speech or action|0.9529700875282288|0.36358320713043213|1.0|1.0|5
2|一鼻孔出气|一鼻孔出气|Be in tune with|0.30082273483276367|0.4264790713787079|0.0|0.4310449957847595|1
3|一步登天|一登天|Have a meteoric rise|0.5245886445045471|0.3236866891384125|0.0|0.4680951237678528|1
4|一不做，二不休|一不休，二不休|Once it is started, go through with it|0.40468737483024597|0.330512672662735|0.0|0.40038368105888367|1
5|一拍即合|readily satisfied|Fit in readily|0.6949154138565063|0.5983960628509521|0.23076923076923075|0.6644333600997925|4
6|一抔黃土|1抹黃土|Mere dust heaps|0.40245696902275085|0.40445467829704285|0.0|0.5300353765487671|1
7|一盘散沙|一盘散沙|Lacking a spirit of cooperation|0.4905487298965454|0.5390970706939697|0.0|0.48515743017196655|1
8|一模一样|(or) same (or) alike|Exactly alike|0.565263032913208|0.5963056087493896|0.23076923076923075|0.7851111888885498|4
9|一马当先|Take the lead|Take the lead|0.9799357056617737|0.7764013409614563|1.0|1.0000003576278687|5
10|一马平川|a wide expanse of flat land|A wide expanse of flat land|0.9641544818878174|0.34084129333496094|1.0|0.9899967908859253|5
11|一面之交|一面之交|Have met only once|0.6812370419502258|0.5768387317657471|0.0|0.62214195728302|1
12|一目了然|1 glance at a thing|Understand fully at a glance|0.5645427107810974|0.6139190793037415|0.3829787234042553|0.7383825182914734|3
13|一目十行|一目十行|Take in ten lines at one glance (said of a rapid reader)|0.31839805841445923|0.512233555316925|0.0|0.6560324430465698|1
14|一得之功|一得之功|Just an occasional, minor success|0.5187991857528687|0.502267599105835|0.0|0.41392645239830017|1
15|一刀两断|Make a clean break|Make a clean break|0.986143946647644|0.6573202610015869|1.0|1.000000238418579|5
16|一潭死水|1 stagnated, 2 was never really put into motion|A stagnated, dull atmosphere|0.5107179284095764|0.3580680191516876|0.23684210526315788|0.7360983490943909|2
17|一诺千金|一诺千金|A solemn promise|0.5819665789604187|0.7447845339775085|0.0|0.49537819623947144|1
18|一劳永逸|Put things right once and for ail|Put things right once and for ail|0.9568204879760742|0.5918317437171936|1.0|1.0000004768371582|5
19|一鳞半爪|一鳞半爪|Odd bits / fragments|0.39035430550575256|0.6711122989654541|0.0|0.47824084758758545|1
20|一改故辙|一改故辙|Rid oneself of an old habit|0.5973712205886841|0.652863621711731|0.0|0.5040849447250366|1
21|一概而论|一概而论|Put in the same category|0.47026702761650085|0.6856185793876648|0.0|0.46688470244407654|1
22|一鼓作气|Get something done in one vigorous effort|Get something done in one vigorous effort|0.9653854370117188|0.6761496067047119|1.0|1.0000001192092896|5
23|一国三公|whole nation|Divided leadership|0.3881583511829376|0.3831706941127777|0.0|0.5872448682785034|1
24|一棍子打死|一棍子打死|Finish off with a single blow|0.504550576210022|0.5451478362083435|0.0|0.559184730052948|1
25|一刻千金|一刻千金|Every moment is precious|0.7348506450653076|0.6900119185447693|0.0|0.5426297187805176|1
26|一孔之见|一孔之见|A narrow (limited, partial or peep-hole) view|0.4908076226711273|0.6447036266326904|0.0|0.5890229940414429|1
27|一呼百应|百应百求|An appeal meets with immediate response|0.530258297920227|0.44271722435951233|0.0|0.42659687995910645|2
