|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|आंखें चुराना|闭门造车|to avoid being seen|0.447114497423172|0.3773208558559418|0.0|0.5204475522041321|5
1|आंखों का तारा|一目了然|beloved person|0.4688955247402191|0.43320992588996887|0.0|0.4260571599006653|1
2|चेहरा उतरना|闭门造车|to be sad or disappointed|0.32407376170158386|0.3356534540653229|0.0|0.31749382615089417|1
3|दाँतों तले उंगली दबाना|拾人牙慧|to be very surprised|0.3488880395889282|0.4186529517173767|0.0|0.3280225098133087|2
4|साँस लेना|听之任之|to feel relieved after hard work|0.37125757336616516|0.44531330466270447|0.0|0.39416876435279846|1
5|बात पक्की होना|不打自招|to agree on something or finalize a deal|0.3329671323299408|0.3738988935947418|0.0|0.34633952379226685|2
6|बाल-बाल बचना|依样画葫芦|to narrowly escape from trouble|0.3709239065647125|0.39204639196395874|0.0|0.33449238538742065|2
7|अक्ल का दुश्मन|不知好歹|a fool who avoids wisdom|0.50106281042099|0.5055492520332336|0.0|0.4613821506500244|1
8|जान पर खेलना|玩火自焚|to act fearlessly or take great risks|0.3707857131958008|0.4980274438858032|0.0|0.4248819649219513|2
9|पेट में चूहे कूदना|鼠窃狗盗|to be extremely hungry|0.30786946415901184|0.39654842019081116|0.0|0.37726202607154846|1
10|आसमान पर चढ़ना|鸡鸣狗盗|to be proud or overconfident|0.2774498760700226|0.39586442708969116|0.0|0.2773944139480591|2
11|आकाश पाताल का अंतर|余勇可贾|to be vastly different|0.46342840790748596|0.3649756908416748|0.0|0.25832444429397583|2
12|हवा से बातें करना|不得要领|to move very fast|0.39543378353118896|0.34406203031539917|0.0|0.42920517921447754|2
13|पत्थर की लकीर|井底之蛙|to be firm on one’s word or decision|0.31413033604621887|0.4638529121875763|0.0|0.35039398074150085|2
14|पहाड़ टूट पड़ना|破釜沉舟|to face a huge problem or calamity|0.3924364149570465|0.5208935141563416|0.0|0.47357016801834106|1
15|ईद का चाँद होना|一穷二白|to appear after a long time (a rare person)|0.3535788953304291|0.41108569502830505|0.0|0.4180733561515808|2
16|चकमा देना|一刻千金|to deceive or trick someone|0.3517758846282959|0.37885698676109314|0.0|0.29504328966140747|2
17|उल्टी गंगा बहना|众说纷纭，莫衷一是|something unusual or against norms happening|0.4403989911079407|0.3408602774143219|0.0|0.48470428586006165|2
18|छक्के छुड़ाना|闭门造车|to defeat completely|0.4049808084964752|0.3131742477416992|0.0|0.4579334855079651|2
19|फूँक-फूँक कर कदम रखना|问道于盲|to act very cautiously|0.39505529403686523|0.35650649666786194|0.0|0.32991480827331543|2
20|दम में दम आना|不到黄河心不死|to regain courage or relief after fear|0.29590752720832825|0.35649529099464417|0.0|0.29351484775543213|2
21|दाँत से दाँत बजाना|背城借一|to shiver from cold|0.3293773829936981|0.32582801580429077|0.0|0.3158077597618103|2
22|मुँह में पानी आना|大鱼吃小鱼|to be tempted by delicious food|0.3488355875015259|0.3849784731864929|0.0|0.44899290800094604|2
23|नाक काटना|不知人间有羞耻事|to disgrace or embarrass someone|0.43396252393722534|0.35092952847480774|0.0|0.4494280219078064|1
24|कमर टूटना|闭门造车|to feel exhausted or discouraged|0.34657955169677734|0.34453144669532776|0.0|0.3201286196708679|3
