|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|दिल का रोग|Suffer a string of reverses|0.38710135221481323|0.41489893198013306|0.0|0.526541531085968|1
1|一板三眼|दिमाग ठिकाने लग जाना|Following a prescribed pattern in speech or action|0.29645559191703796|0.4308318793773651|0.0|0.53498375415802|2
2|一鼻孔出气|पानी गुजरना|Be in tune with|0.34847915172576904|0.35304510593414307|0.0|0.585759699344635|2
3|一步登天|सिर पर चढ़ना|Have a meteoric rise|0.3130356967449188|0.36919111013412476|0.0|0.6382451057434082|2
4|一不做，二不休|दिल में ठंडक पड़ना|Once it is started, go through with it|0.3574535846710205|0.368498295545578|0.0|0.38989928364753723|1
5|一拍即合|हाथ मिलाना|Fit in readily|0.43997928500175476|0.7640218734741211|0.0|0.6731460094451904|2
6|一抔黃土|दिल में कील ठोकना|Mere dust heaps|0.2956179082393646|0.3523586690425873|0.0|0.6651355624198914|2
7|一盘散沙|दिल में बात रखना|Lacking a spirit of cooperation|0.37505099177360535|0.370540976524353|0.0|0.508915901184082|1
8|一模一样|दिल में ठंडक पड़ना|Exactly alike|0.41245168447494507|0.5329379439353943|0.0|0.6251435875892639|1
9|一马当先|अंधेरे में रहना|Take the lead|0.3906157314777374|0.3982861340045929|0.0|0.6354696154594421|1
10|一马平川|दिल में ठंडक पड़ना|A wide expanse of flat land|0.3092961311340332|0.48947301506996155|0.0|0.5675868988037109|1
11|一面之交|दिमाग का पारा चढ़ना|Have met only once|0.29881951212882996|0.41085219383239746|0.0|0.5472226142883301|2
12|一目了然|अंधे को सपने में छोड़ना|Understand fully at a glance|0.3077402710914612|0.42758697271347046|0.0|0.5843089818954468|3
13|一目十行|दिल में कील ठोकना|Take in ten lines at one glance (said of a rapid reader)|0.22574752569198608|0.3873514235019684|0.0|0.5754985809326172|2
14|一得之功|मुँह का दुरुपयोग करना|Just an occasional, minor success|0.33965542912483215|0.44397470355033875|0.0|0.47136762738227844|2
15|一刀两断|दिल में आग लगना|Make a clean break|0.37413132190704346|0.41321325302124023|0.0|0.40949639678001404|2
16|一潭死水|सिर पर हाथ रखना|A stagnated, dull atmosphere|0.293582946062088|0.35526689887046814|0.0|0.45457667112350464|2
17|一诺千金|दिल का रोग|A solemn promise|0.4177147448062897|0.3651101291179657|0.0|0.6109605431556702|2
18|一劳永逸|अंधा क्या चाहे, दो आँखें|Put things right once and for ail|0.25318261981010437|0.3394296169281006|0.0|0.3193042576313019|2
19|一鳞半爪|हाथ में हाथ डालना|Odd bits / fragments|0.3293639123439789|0.3248400390148163|0.0|0.4282000660896301|1
20|一改故辙|दिल में कील ठोकना|Rid oneself of an old habit|0.2666178345680237|0.41467902064323425|0.0|0.6103125810623169|1
21|一概而论|अंधा क्या चाहे, दो आँखें|Put in the same category|0.2649332284927368|0.33483725786209106|0.0|0.3522847294807434|5
22|一鼓作气|दिल में कील ठोकना|Get something done in one vigorous effort|0.24853232502937317|0.40548962354660034|0.0|0.6893437504768372|2
23|一国三公|दिल में बात रखना|Divided leadership|0.3225080072879791|0.34406182169914246|0.0|0.505958080291748|1
24|一棍子打死|दाँत नाखून से काम लेना|Finish off with a single blow|0.26883846521377563|0.36054009199142456|0.0|0.4701531231403351|3
25|一刻千金|हाथ कंगन|Every moment is precious|0.30849555134773254|0.3134419620037079|0.0|0.6126041412353516|2
26|一孔之见|दिल में आग लगना|A narrow (limited, partial or peep-hole) view|0.24849042296409607|0.3691098392009735|0.0|0.5224430561065674|1
27|一呼百应|हाथ मिलाना|An appeal meets with immediate response|0.3445409834384918|0.568581223487854|0.0|0.5713152885437012|1
28|一挥而就|हाथ में हाथ डालना|Be done with one stroke of the pen|0.3384779989719391|0.3774389922618866|0.0|0.5914426445960999|1
29|一见钟情|दिल में कील ठोकना|Fall in love (with one) at first sight|0.22615233063697815|0.41303232312202454|0.0|0.6707668900489807|2
30|一见如故|दिल में आग लगना|Become fast friends at the first meeting|0.30283939838409424|0.4618026912212372|0.0|0.598807692527771|2
31|一举两得|दिल में बात रखना|Achieve two things at one stroke|0.31010785698890686|0.4343731999397278|0.0|0.6343035101890564|1
32|一举成名|हाथ से निकलना|Achieve instant fame|0.2979835569858551|0.3507756292819977|0.0|0.5668925642967224|2
33|一气呵成|सिर पर तूफ़ान टूटना|(of an essay) form a coherent whole|0.2894609570503235|0.37872812151908875|0.0|0.45315825939178467|2
34|一丘之貉|दिल का रोग|Jackals of the same lair|0.3549499809741974|0.3686045706272125|0.0|0.6927433013916016|2
35|一穷二白|दिमाग का पारा चढ़ना|Backward both economically and culturally|0.285089373588562|0.39893653988838196|0.0|0.47014904022216797|1
36|一蟹不如一蟹|सिर पर तूफ़ान टूटना|From bad to worse|0.3568324148654938|0.31576481461524963|0.0|0.6215859651565552|2
37|一泻千里|दिल का रोग|(of a writer's style) forceful and flowing|0.3332369923591614|0.3772232234477997|0.0|0.48688051104545593|1
38|一笑置之|हाथ मिलाना|Laugh off|0.40950310230255127|0.4771116375923157|0.0|0.6604034900665283|1
39|一心一德|अंधा क्या चाहे, दो आँखें|Be at one|0.3181895315647125|0.3025078773498535|0.0|0.48719608783721924|2
