|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|Wave after wave after wave|Suffer a string of reverses|0.38799095153808594|0.44005629420280457|0.0|0.5779586434364319|1
1|一板三眼|One-eyed and three-eyed|Following a prescribed pattern in speech or action|0.36025235056877136|0.47578269243240356|0.0|0.4886019825935364|2
2|一鼻孔出气|Breathing through a nostril|Be in tune with|0.4918946921825409|0.6810809373855591|0.0|0.5875580310821533|5
3|一步登天|One step at a time|Have a meteoric rise|0.45602384209632874|0.7673469185829163|0.05405405405405406|0.596432089805603|5
4|一不做，二不休|I'm not going to do it.|Once it is started, go through with it|0.5037882328033447|0.3961046040058136|0.030769230769230767|0.4275420606136322|1
5|一拍即合|It's a match made in heaven.|Fit in readily|0.4278341233730316|0.609620213508606|0.09523809523809522|0.5972337126731873|4
6|一抔黃土|A field of yellow soil|Mere dust heaps|0.45294782519340515|0.7475946545600891|0.0|0.6327822804450989|3
7|一盘散沙|A bowl of sand|Lacking a spirit of cooperation|0.4988873302936554|0.7996448278427124|0.09090909090909091|0.4458303153514862|2
8|一模一样|It's all the same.|Exactly alike|0.7246717810630798|0.8477011322975159|0.0|0.7540438175201416|5
9|一马当先|It's time to move on.|Take the lead|0.5089475512504578|0.5004695057868958|0.0|0.6624019145965576|4
10|一马平川|This post is part of our special coverage.|A wide expanse of flat land|0.37342900037765503|0.34766659140586853|0.0547945205479452|0.37530940771102905|1
11|一面之交|One-sided|Have met only once|0.459914892911911|0.46396830677986145|0.0|0.6605093479156494|1
12|一目了然|It's all over now.|Understand fully at a glance|0.48134204745292664|0.4283640682697296|0.0|0.5887432098388672|4
13|一目十行|10th line|Take in ten lines at one glance (said of a rapid reader)|0.4154107868671417|0.4062991440296173|0.0588235294117647|0.6950252652168274|1
14|一得之功|Thank you very much.|Just an occasional, minor success|0.5017996430397034|0.4014621078968048|0.0|0.44384920597076416|1
15|一刀两断|One knife, two blades|Make a clean break|0.42842063307762146|0.5438847541809082|0.0|0.4359627962112427|2
16|一潭死水|A dead body of water|A stagnated, dull atmosphere|0.4421708881855011|0.7294987440109253|0.0|0.558077335357666|5
17|一诺千金|Thousands of dollars|A solemn promise|0.3502228856086731|0.3836776316165924|0.0|0.5031850934028625|2
18|一劳永逸|Once and for all|Put things right once and for ail|0.7280715107917786|0.7718973159790039|0.52|0.6108505129814148|4
19|一鳞半爪|One and a half claws|Odd bits / fragments|0.37786540389060974|0.6304359436035156|0.0|0.5792781710624695|3
20|一改故辙|Changing my story|Rid oneself of an old habit|0.428941935300827|0.567028284072876|0.0|0.6241790056228638|3
21|一概而论|In summary|Put in the same category|0.5186864137649536|0.7757085561752319|0.0|0.5727026462554932|1
22|一鼓作气|It's a great day to be alive.|Get something done in one vigorous effort|0.3910944163799286|0.3783552646636963|0.0|0.6103951930999756|2
23|一国三公|Three kings of a country|Divided leadership|0.49012693762779236|0.6086101531982422|0.0|0.601202666759491|3
24|一棍子打死|A stick to kill|Finish off with a single blow|0.44631943106651306|0.6143523454666138|0.0|0.6582121849060059|1
25|一刻千金|Thousand bucks a minute|Every moment is precious|0.3679178059101105|0.6479032039642334|0.0|0.6818382740020752|1
26|一孔之见|A glimpse of what's to come|A narrow (limited, partial or peep-hole) view|0.46084868907928467|0.6044284701347351|0.0|0.654994547367096|4
27|一呼百应|One Response to|An appeal meets with immediate response|0.4396437704563141|0.6001131534576416|0.2641509433962264|0.6639465689659119|1
28|一挥而就|In a blink of an eye|Be done with one stroke of the pen|0.5776310563087463|0.7329754829406738|0.06896551724137931|0.6315886378288269|4
29|一见钟情|Love at first sight|Fall in love (with one) at first sight|0.7596582770347595|0.8328185081481934|0.5964912280701755|0.8835976123809814|5
30|一见如故|See you then.|Become fast friends at the first meeting|0.4530436396598816|0.5891928672790527|0.03773584905660377|0.6377757787704468|2
31|一举两得|One step at a time|Achieve two things at one stroke|0.5444431900978088|0.7657840847969055|0.19607843137254904|0.7472975254058838|2
32|一举成名|How to become famous|Achieve instant fame|0.7013012170791626|0.7938801050186157|0.05405405405405406|0.8190616965293884|2
33|一气呵成|It's been a long time coming.|(of an essay) form a coherent whole|0.3966943323612213|0.4024985730648041|0.029850746268656712|0.47989365458488464|2
34|一丘之貉|On the edge of a hill|Jackals of the same lair|0.4274498224258423|0.6713374853134155|0.21739130434782608|0.6059695482254028|2
35|一穷二白|I'm not sure what I'm doing.|Backward both economically and culturally|0.4244852662086487|0.4104204475879669|0.0|0.44893673062324524|1
36|一蟹不如一蟹|It's better to die than to live.|From bad to worse|0.43187215924263|0.33279839158058167|0.0784313725490196|0.5746552348136902|2
37|一泻千里|Thousands of miles|(of a writer's style) forceful and flowing|0.3089097738265991|0.6617370247840881|0.03333333333333333|0.42023372650146484|1
38|一笑置之|Laughing and laughing|Laugh off|0.5179850459098816|0.41266366839408875|0.08|0.8076211214065552|1
39|一心一德|Unity of heart|Be at one|0.5339064002037048|0.667905867099762|0.0|0.7885420322418213|4
40|一纸空文|A blank piece of paper|Empty words on a sheet of paper|0.8371352553367615|0.8181261420249939|0.2545454545454546|0.8329435586929321|4
41|一枕黄粱|A yellow pillow|A brief dream of grandeur|0.4166333079338074|0.6434017419815063|0.0|0.5152524709701538|1
42|一张一弛|One page|Strike a proper balance between work and rest|0.36168888211250305|0.367572546005249|0.0|0.5355767011642456|1
43|一着不慎，满盘皆输|It's not easy, but it's worth it.|One careless move and the whole game is lost|0.4599210321903229|0.38473084568977356|0.0|0.5010020136833191|1
44|一差二错|This is a mistake.|Possible mistake or mishap|0.6885227560997009|0.38902607560157776|0.28571428571428564|0.8509894013404846|1
45|一筹莫展|This is the first time I've seen it.|Be at one's wits' end|0.39675670862197876|0.34331101179122925|0.0|0.5369485020637512|1
