|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|Wave after wave, wave after wave|Suffer a string of reverses|0.3492749035358429|0.5555656552314758|0.0|0.6038656234741211|4
1|一板三眼|A board of three eyes|Following a prescribed pattern in speech or action|0.370486319065094|0.5377343893051147|0.0|0.49516987800598145|3
2|一鼻孔出气|Breathing through a nostril|Be in tune with|0.4918944537639618|0.6810807585716248|0.0|0.5875580906867981|5
3|一步登天|One step to the sky|Have a meteoric rise|0.5247039794921875|0.7626650333404541|0.0|0.6305002570152283|3
4|一不做，二不休|It's not easy, it's not easy.|Once it is started, go through with it|0.4600512683391571|0.3032853603363037|0.056338028169014086|0.41433605551719666|1
5|一拍即合|It's a perfect match.|Fit in readily|0.5598691701889038|0.7432803511619568|0.0|0.6752258539199829|4
6|一抔黃土|A ton of yellow earth|Mere dust heaps|0.4228886067867279|0.7760834693908691|0.0|0.7391418218612671|5
7|一盘散沙|A dish of sand|Lacking a spirit of cooperation|0.44330117106437683|0.7409364581108093|0.09090909090909091|0.4819941222667694|1
8|一模一样|It's the same.|Exactly alike|0.7244704961776733|0.8553870916366577|0.0|0.7539283037185669|5
9|一马当先|A horse first.|Take the lead|0.5113252401351929|0.4794234335422516|0.0|0.6029287576675415|2
10|一马平川|It's the first time I've been here.|A wide expanse of flat land|0.3509771525859833|0.34606805443763733|0.0|0.4727758765220642|1
11|一面之交|One-sided confrontation|Have met only once|0.5274699926376343|0.678613543510437|0.0|0.6624834537506104|5
12|一目了然|It's obvious.|Understand fully at a glance|0.5553705096244812|0.8259787559509277|0.0|0.5767120122909546|4
13|一目十行|The first ten lines|Take in ten lines at one glance (said of a rapid reader)|0.4851853549480438|0.5778300762176514|0.19999999999999998|0.7076929807662964|2
14|一得之功|It's worth it.|Just an occasional, minor success|0.4687637686729431|0.4161318838596344|0.0|0.5192455649375916|2
15|一刀两断|A knife in two|Make a clean break|0.38318637013435364|0.4482768476009369|0.0|0.44295597076416016|2
16|一潭死水|A drop of dead water|A stagnated, dull atmosphere|0.44340980052948|0.7100569009780884|0.0|0.6293841004371643|3
17|一诺千金|One thousand dollars|A solemn promise|0.4225846827030182|0.5256792902946472|0.0|0.5560013055801392|1
18|一劳永逸|Once and for all|Put things right once and for ail|0.7280715107917786|0.7718974947929382|0.52|0.6108505129814148|5
19|一鳞半爪|One and a half claws|Odd bits / fragments|0.37786534428596497|0.6304360628128052|0.0|0.5792781710624695|3
20|一改故辙|Why is this happening?|Rid oneself of an old habit|0.4755043089389801|0.4664938747882843|0.0|0.5229999423027039|2
21|一概而论|A summary|Put in the same category|0.5063459277153015|0.7635506391525269|0.0|0.5332123041152954|2
22|一鼓作气|A drum of air|Get something done in one vigorous effort|0.4122689366340637|0.4215787351131439|0.0|0.5511013269424438|2
23|一国三公|The Three Kingdoms|Divided leadership|0.4697529077529907|0.5286314487457275|0.0|0.5871375799179077|3
24|一棍子打死|One stick to kill|Finish off with a single blow|0.45545172691345215|0.6009244322776794|0.0|0.6804186701774597|3
25|一刻千金|It's a waste of time.|Every moment is precious|0.5080243349075317|0.48151400685310364|0.0|0.6043201684951782|1
26|一孔之见|A view from Hong Kong|A narrow (limited, partial or peep-hole) view|0.4278534948825836|0.5489712357521057|0.06060606060606061|0.5882282853126526|1
27|一呼百应|A call to action|An appeal meets with immediate response|0.5671891570091248|0.6076425909996033|0.0|0.6009791493415833|4
28|一挥而就|I'm not sure what I'm talking about.|Be done with one stroke of the pen|0.40016335248947144|0.25689947605133057|0.0|0.4654654264450073|1
29|一见钟情|Love at first sight|Fall in love (with one) at first sight|0.7596583962440491|0.8328185081481934|0.5964912280701755|0.8835976123809814|5
30|一见如故|It's a good idea.|Become fast friends at the first meeting|0.39384299516677856|0.38345497846603394|0.0|0.53680419921875|2
31|一举两得|One move and two wins.|Achieve two things at one stroke|0.5828855633735657|0.6923568248748779|0.14545454545454545|0.7480417490005493|4
32|一举成名|How to Become Famous|Achieve instant fame|0.6545407176017761|0.7692177295684814|0.05405405405405406|0.8135794997215271|2
33|一气呵成|It's all over now.|(of an essay) form a coherent whole|0.4209989607334137|0.38467511534690857|0.0|0.5087268948554993|2
34|一丘之貉|The hillside|Jackals of the same lair|0.4455808401107788|0.49028876423835754|0.06060606060606061|0.6520601511001587|2
35|一穷二白|Poor and poor|Backward both economically and culturally|0.4511544704437256|0.5000337362289429|0.11538461538461536|0.6356178522109985|2
36|一蟹不如一蟹|It's better than nothing.|From bad to worse|0.5687254667282104|0.3778718411922455|0.0|0.6472752094268799|4
37|一泻千里|Thousands of miles|(of a writer's style) forceful and flowing|0.3089097738265991|0.6617368459701538|0.03333333333333333|0.42023366689682007|1
38|一笑置之|A smile on his face.|Laugh off|0.44399645924568176|0.5542434453964233|0.0|0.5498505234718323|3
39|一心一德|Unity in Germany|Be at one|0.5148608684539795|0.3438171446323395|0.0|0.6164017915725708|2
40|一纸空文|A blank piece of paper|Empty words on a sheet of paper|0.8371352553367615|0.8181295394897461|0.2545454545454546|0.8329436779022217|2
41|一枕黄粱|A pillow of yellow pepper|A brief dream of grandeur|0.3800235092639923|0.6410470008850098|0.08|0.4907975494861603|2
42|一张一弛|A bottle of wine|Strike a proper balance between work and rest|0.41503772139549255|0.3328641653060913|0.0|0.4773542881011963|2
