|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|"""One wave hasn't subsided, another wave has risen"""|Suffer a string of reverses|0.47370991110801697|0.7151384353637695|0.0|0.527989387512207|2
1|一板三眼|"""One Board Three Eyes"""|Following a prescribed pattern in speech or action|0.3839239478111267|0.6992051601409912|0.0|0.4885143041610718|1
2|一鼻孔出气|"""One nostril out of the mouth"""|Be in tune with|0.4122774004936218|0.6408495903015137|0.0|0.5861905217170715|1
3|一步登天|"""Step by Step to the Sky"""|Have a meteoric rise|0.48248550295829773|0.7322038412094116|0.0|0.6257030367851257|3
4|一不做，二不休|"""One doesn't do anything, and then doesn't do anything else."""|Once it is started, go through with it|0.5087111592292786|0.45250681042671204|0.0|0.45931750535964966|3
5|一拍即合|"""One's heart is in tune with another's"""|Fit in readily|0.4292761981487274|0.39873167872428894|0.07272727272727272|0.5330216288566589|1
6|一抔黃土|A Heap of Yellow Earth|Mere dust heaps|0.3969462215900421|0.7793214321136475|0.1142857142857143|0.7749651670455933|3
7|一盘散沙|"""A Dispersed Group"""|Lacking a spirit of cooperation|0.5471951961517334|0.5810890197753906|0.0|0.6116776466369629|1
8|一模一样|"""Identical"" or ""Just the Same"""|Exactly alike|0.64072185754776|0.7520483136177063|0.0|0.8550168871879578|5
9|一马当先|Lead the Way|Take the lead|0.8143500089645386|0.7565028071403503|0.28571428571428564|0.8308438062667847|4
10|一马平川|"""One level plain"""|A wide expanse of flat land|0.46508079767227173|0.3315880000591278|0.0|0.6628580093383789|4
11|一面之交|A Brief Encounter|Have met only once|0.6887657046318054|0.7765593528747559|0.0|0.6854991316795349|2
12|一目了然|"""One can see clearly"""|Understand fully at a glance|0.6263107061386108|0.657315731048584|0.0|0.6833539009094238|4
13|一目十行|"""One glance at ten lines"""|Take in ten lines at one glance (said of a rapid reader)|0.5824564695358276|0.5607479214668274|0.48275862068965514|0.866097629070282|4
14|一得之功|"""A Small Merit"""|Just an occasional, minor success|0.5633474588394165|0.520067572593689|0.0|0.6801714897155762|2
15|一刀两断|"""One Cut, Two Divisions"""|Make a clean break|0.41774681210517883|0.5362076759338379|0.0|0.48370909690856934|1
16|一潭死水|"""A stagnant pool of water"""|A stagnated, dull atmosphere|0.6034761667251587|0.8147680163383484|0.19230769230769232|0.7569189071655273|3
17|一诺千金|"""One Promise, a Thousand Golds"""|A solemn promise|0.4844413995742798|0.7100147008895874|0.22727272727272724|0.6818747520446777|5
18|一劳永逸|"""One-time effort, lasting forever"""|Put things right once and for ail|0.5980224609375|0.6490002870559692|0.029411764705882356|0.6133014559745789|5
19|一鳞半爪|A Small Piece of the Whole|Odd bits / fragments|0.4923553466796875|0.4497143030166626|0.0|0.6670907139778137|4
20|一改故辙|"""One Changes the Old Path"""|Rid oneself of an old habit|0.5319271683692932|0.5541661977767944|0.11111111111111112|0.6753442883491516|5
21|一概而论|"""One-sided Evaluation"""|Put in the same category|0.5300471186637878|0.6230872869491577|0.0|0.5986686944961548|1
22|一鼓作气|"""One Breath of Energy"""|Get something done in one vigorous effort|0.48703911900520325|0.5458258390426636|0.0625|0.6414327621459961|2
23|一国三公|One Country, Three Governments|Divided leadership|0.5025659799575806|0.6246616840362549|0.0|0.6675200462341309|1
24|一棍子打死|"""One stick to kill"" or ""One stick to bury"""|Finish off with a single blow|0.39749011397361755|0.40748876333236694|0.0|0.6738696098327637|3
25|一刻千金|A Moment Worth a Thousand Gold|Every moment is precious|0.5650531649589539|0.8118945956230164|0.2222222222222222|0.7749761343002319|5
26|一孔之见|"""One-Window View"""|A narrow (limited, partial or peep-hole) view|0.5073887705802917|0.43125227093696594|0.06666666666666667|0.6969910264015198|3
27|一呼百应|"""One Call, A Hundred Responses"""|An appeal meets with immediate response|0.48938724398612976|0.7522286772727966|0.17142857142857143|0.6366680264472961|4
28|一挥而就|"""One Stroke to Finish"""|Be done with one stroke of the pen|0.5877017378807068|0.6599256992340088|0.3448275862068966|0.6955742835998535|5
29|一见钟情|Instantly Falling in Love|Fall in love (with one) at first sight|0.7742745280265808|0.796162486076355|0.1904761904761905|0.8434439897537231|4
30|一见如故|"""One meets as if they were old friends"""|Become fast friends at the first meeting|0.6969441771507263|0.7196782827377319|0.21428571428571427|0.7001442313194275|4
31|一举两得|"""One Stone, Two Birds"""|Achieve two things at one stroke|0.4210575819015503|0.46252188086509705|0.30188679245283023|0.7039920091629028|2
32|一举成名|"""One-time success"" or ""Instant Fame"""|Achieve instant fame|0.6806064248085022|0.5494340658187866|0.41509433962264153|0.836351215839386|5
33|一气呵成|"""One Breath, One Stroke"""|(of an essay) form a coherent whole|0.39233604073524475|0.4718714654445648|0.0|0.5169470310211182|2
34|一丘之貉|"""One of the same kind"""|Jackals of the same lair|0.5252822041511536|0.378234326839447|0.5652173913043478|0.6422622799873352|3
