|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|Rise and fall|Suffer a string of reverses|0.5725237131118774|0.6498280763626099|0.0|0.5949535369873047|5
1|一板三眼|Following a prescribed pattern in speech or action|Following a prescribed pattern in speech or action|0.9529700875282288|0.36358320713043213|1.0|1.0|5
2|一鼻孔出气|Be in tune with|Be in tune with|0.9575669169425964|0.3272317349910736|1.0|1.000000238418579|5
3|一步登天|Have a meteoric rise|Have a meteoric rise|0.967070996761322|0.4100583493709564|1.0|1.000000238418579|5
4|一不做，二不休|Once it is started, go through with it|Once it is started, go through with it|0.9647013545036316|0.4966418147087097|1.0|1.0000001192092896|5
5|一拍即合|Click (or fit) in readily|Fit in readily|0.8282854557037354|0.576567530632019|0.6857142857142856|0.8344016075134277|4
6|一抔黃土|Mere dust heaps|Mere dust heaps|0.9626306295394897|0.6327839493751526|1.0|1.0000003576278687|5
7|一盘散沙|Lacking a spirit of cooperation|Lacking a spirit of cooperation|0.9767150282859802|0.44391822814941406|1.0|1.000000238418579|5
8|一模一样|Exactly alike|Exactly alike|0.9870184659957886|0.8095247745513916|1.0|1.0000001192092896|5
9|一马当先|Take the lead|Take the lead|0.9799357056617737|0.7764018774032593|1.0|1.0000001192092896|5
10|一马平川|A wide expanse of flat land|A wide expanse of flat land|0.9758205413818359|0.33340150117874146|1.0|0.9999998807907104|5
11|一面之交|Acquaintance made only once|Have met only once|0.8124310970306396|0.6527837514877319|0.372093023255814|0.8484440445899963|4
12|一目了然|Understand fully at a glance|Understand fully at a glance|0.9713080525398254|0.6915924549102783|1.0|1.000000238418579|5
13|一目十行|Skim over ten lines at one glance|Take in ten lines at one glance (said of a rapid reader)|0.5753494501113892|0.6949167251586914|0.5154639175257731|0.8432050943374634|4
14|一得之功|Just an occasional, minor success|Just an occasional, minor success|0.9717888832092285|0.5035924315452576|1.0|0.9999998807907104|5
15|一刀两断|Make a clean break|Make a clean break|0.986143946647644|0.6573200225830078|1.0|1.000000238418579|5
16|一潭死水|A stagnated, dull atmosphere|A stagnated, dull atmosphere|0.975427508354187|0.6372603178024292|1.0|1.0000001192092896|5
17|一诺千金|A solemn promise|A solemn promise|0.9855819344520569|0.7576555013656616|1.0|1.0000001192092896|5
18|一劳永逸|Put things right once and for ail|Put things right once and for ail|0.9568204879760742|0.5918317437171936|1.0|1.0000004768371582|5
19|一鳞半爪|Odd bits|Odd bits / fragments|0.8647260665893555|0.32792162895202637|0.47619047619047616|0.9205628037452698|2
20|一改故辙|一改故辙|Rid oneself of an old habit|0.5973712205886841|0.652863621711731|0.0|0.504084587097168|1
21|一概而论|Put in the same category|Put in the same category|0.9614623188972473|0.564583957195282|1.0|1.0000001192092896|5
22|一鼓作气|Get something done in one vigorous effort|Get something done in one vigorous effort|0.9653854370117188|0.6761496067047119|1.0|1.0000001192092896|5
23|一国三公|Division of leadership|Divided leadership|0.7028568387031555|0.3801895081996918|0.4571428571428572|0.8452191948890686|4
24|一棍子打死|Finish off with a single blow|Finish off with a single blow|0.9627140760421753|0.6815470457077026|1.0|1.0|5
25|一刻千金|Every moment is precious|Every moment is precious|0.9812515377998352|0.8352078199386597|1.0|1.0000001192092896|5
26|一孔之见|A narrow (limited, partial or peep-hole) view|A narrow (limited, partial or peep-hole) view|0.9602073431015015|0.3947892487049103|1.0|1.0000004768371582|5
27|一呼百应|An appeal meets with immediate response|An appeal meets with immediate response|0.9794815182685852|0.5507255792617798|1.0|1.0000001192092896|5
28|一挥而就|Done with one stroke of the pen|Be done with one stroke of the pen|0.9124906063079834|0.7570152282714844|0.9428571428571428|0.8588908910751343|5
29|一见钟情|Fall in love (with one) at first sight|Fall in love (with one) at first sight|0.9786414504051208|0.6995097398757935|1.0|1.0|5
30|一见如故|Become fast friends at the first meeting|Become fast friends at the first meeting|0.9697161316871643|0.7369277477264404|1.0|1.0000001192092896|5
31|一举两得|Achieve two things at one stroke|Achieve two things at one stroke|0.9725768566131592|0.804513156414032|1.0|1.000000238418579|5
32|一举成名|Gain instant fame|Achieve instant fame|0.9130247235298157|0.8104252815246582|0.6666666666666666|0.9442843198776245|5
33|一气呵成|(of an essay) form a coherent whole|(of an essay) form a coherent whole|0.9517257809638977|0.5456879138946533|1.0|1.000000238418579|5
34|一丘之貉|Jackals of the same lair|Jackals of the same lair|0.9488238096237183|0.4057476222515106|1.0|1.0|5
35|一穷二白|Backward both economically and culturally|Backward both economically and culturally|0.9683511257171631|0.4558804929256439|1.0|1.000000238418579|5
36|一蟹不如一蟹|蟹不如蟹###|From bad to worse|0.3881165683269501|0.3288865387439728|0.0|0.3601802587509155|1
37|一泻千里|Unending|(of a writer's style) forceful and flowing|0.36539867520332336|0.459762841463089|0.0|0.49739471077919006|4
38|一笑置之|Laugh off|Laugh off|0.9782562851905823|0.677810549736023|1.0|1.0000001192092896|5
39|一心一德|Be at one|Be at one|0.9652975797653198|0.3454749882221222|1.0|1.0|5
40|一纸空文|Empty words on a sheet of paper|Empty words on a sheet of paper|0.9732534289360046|0.8180419206619263|1.0|1.0|5
41|一枕黄粱|A brief dream of grandeur|A brief dream of grandeur|0.9592017531394958|0.3669242560863495|1.0|0.9999998807907104|5
42|一张一弛|Strike a proper balance between work and rest|Strike a proper balance between work and rest|0.9574493765830994|0.674904465675354|1.0|1.0000003576278687|5
43|一着不慎，满盘皆输|One careless move and the whole game is lost###|One careless move and the whole game is lost|0.9248489737510681|0.7680065631866455|0.9795918367346939|0.945439338684082|5
44|一差二错|Mistake or mishap|Possible mistake or mishap|0.8819966912269592|0.4229581654071808|0.7499999999999999|0.9424561262130737|5
45|一筹莫展|Be at one's wits' end|Be at one's wits' end|0.9616677761077881|0.6132570505142212|1.0|1.0|5
46|一唱百和|Chime in with others|Chime in with others|0.9727568626403809|0.4754069149494171|1.0|0.9999998807907104|5
47|一唱一和|Sing the same tune|Sing the same tune|0.9756013751029968|0.5091099143028259|1.0|1.000000238418579|5
