|source|predicted|ground_truth|da|qe|rouge|embed_distance|laj
0|一波未平，一波又起|trouble never changes|Suffer a string of reverses|0.5404592156410217|0.43810325860977173|0.0|0.5550726652145386|3
1|一板三眼|one whoresome / bad person|Following a prescribed pattern in speech or action|0.38664481043815613|0.3600916564464569|0.0|0.4427966773509979|1
2|一鼻孔出气|to be extremely angry|Be in tune with|0.4317724406719208|0.49282392859458923|0.0|0.5086408257484436|5
3|一步登天|to take a dangerous risk|Have a meteoric rise|0.500773012638092|0.3378976881504059|0.13953488372093023|0.6190245747566223|4
4|一不做，二不休|idiomiom in Hindi|Once it is started, go through with it|0.3821682035923004|0.25841793417930603|0.0|0.3733733892440796|1
5|一拍即合|to agree without question|Fit in readily|0.5619333982467651|0.6869549751281738|0.0|0.5743914842605591|4
6|一抔黃土|a small amount of money|Mere dust heaps|0.4215608239173889|0.4240618348121643|0.0|0.6123248934745789|1
7|一盘散沙|a group of people with no clear plan|Lacking a spirit of cooperation|0.6433135867118835|0.45747652649879456|0.05714285714285715|0.6049565076828003|4
8|一模一样|completely identical in nature or appearance|Exactly alike|0.7068161964416504|0.6787257194519043|0.0|0.8236081600189209|5
9|一马当先|the first to act or succeed|Take the lead|0.5903890132904053|0.5492271184921265|0.05128205128205127|0.7321023344993591|4
10|一马平川|a level playing field|A wide expanse of flat land|0.4842647612094879|0.37696439027786255|0.0|0.5899701714515686|4
11|一面之交|a first-time meeting|Have met only once|0.6447745561599731|0.5663583278656006|0.05555555555555555|0.749086320400238|3
12|一目了然|to be obvious or clear|Understand fully at a glance|0.5536214709281921|0.6755037903785706|0.0|0.6845353841781616|4
13|一目十行|to glance or check|Take in ten lines at one glance (said of a rapid reader)|0.39531686902046204|0.411476731300354|0.1518987341772152|0.6286900043487549|4
14|一得之功|first gain / success|Just an occasional, minor success|0.6425375938415527|0.5980098247528076|0.20833333333333334|0.69645094871521|4
15|一刀两断|to sever ties completely|Make a clean break|0.5494770407676697|0.6748826503753662|0.0|0.6319224834442139|5
16|一潭死水|a stagnant body of water|A stagnated, dull atmosphere|0.5973908305168152|0.8242249488830566|0.2|0.7104429602622986|3
17|一诺千金|one word of truth is worth a thousand words|A solemn promise|0.4943670928478241|0.7325959205627441|0.0|0.6519145369529724|4
18|一劳永逸|once and for all|Put things right once and for ail|0.7261882424354553|0.7469733357429504|0.52|0.638149619102478|4
19|一鳞半爪|a small amount of money|Odd bits / fragments|0.44689372181892395|0.378530353307724|0.0|0.5668937563896179|1
20|一改故辙|to change one’s opinion or behavior|Rid oneself of an old habit|0.5712544918060303|0.6121153831481934|0.03076923076923077|0.7029483318328857|5
21|一概而论|one-size-fits-all|Put in the same category|0.4377357065677643|0.7197855114936829|0.0|0.6164072751998901|4
22|一鼓作气|one who starts a trend or cause is a hero|Get something done in one vigorous effort|0.5227298736572266|0.4350522458553314|0.022471910112359553|0.6358379125595093|2
23|一国三公|one country with three governments|Divided leadership|0.46980616450309753|0.5140836238861084|0.0|0.672164797782898|3
24|一棍子打死|with one action, two goals|Finish off with a single blow|0.49959316849708557|0.4067026972770691|0.07272727272727272|0.5999680161476135|4
25|一刻千金|a valuable point in time|Every moment is precious|0.6276401877403259|0.6330064535140991|0.0425531914893617|0.692125678062439|5
26|一孔之见|a small amount of money|A narrow (limited, partial or peep-hole) view|0.4056699275970459|0.3221399486064911|0.0|0.6371274590492249|2
27|一呼百应|a cry for help / attention|An appeal meets with immediate response|0.480160653591156|0.47420734167099|0.0|0.6157352924346924|4
28|一挥而就|one stroke of the pen|Be done with one stroke of the pen|0.7973460555076599|0.7006086707115173|0.7241379310344828|0.9062888622283936|1
29|一见钟情|love at first sight|Fall in love (with one) at first sight|0.748508870601654|0.824543833732605|0.5964912280701755|0.8736481666564941|3
30|一见如故|to be very familiar|Become fast friends at the first meeting|0.5037506222724915|0.5089847445487976|0.0|0.6714522242546082|4
31|一举两得|two goals with one action|Achieve two things at one stroke|0.6236113905906677|0.5173824429512024|0.1379310344827586|0.7582429647445679|3
32|一举成名|to gain success or recognition|Achieve instant fame|0.6161616444587708|0.636152982711792|0.0|0.7627830505371094|4
33|一气呵成|one breath/cheerful mood|(of an essay) form a coherent whole|0.4634387195110321|0.402453750371933|0.0|0.4163801372051239|1
34|一丘之貉|a common enemy or problem|Jackals of the same lair|0.4662758409976959|0.3405599892139435|0.0|0.5879175066947937|4
35|一穷二白|poor quality or lack of resources|Backward both economically and culturally|0.5432046055793762|0.5532787442207336|0.0|0.6337125897407532|4
36|一蟹不如一蟹|one bad thing after another good thing|From bad to worse|0.5197227597236633|0.31873732805252075|0.14285714285714288|0.7764129042625427|1
37|一泻千里|a thousand miles / hundred kilometers|(of a writer's style) forceful and flowing|0.34960946440696716|0.4614458382129669|0.02531645569620253|0.4196448028087616|2
38|一笑置之|to laugh heartily|Laugh off|0.5855441689491272|0.5896645784378052|0.28571428571428575|0.8048216104507446|1
39|一心一德|one’s heart and mind|Be at one|0.4180181622505188|0.4291020929813385|0.0|0.7009356617927551|2
40|一纸空文|a piece of paper with no value|Empty words on a sheet of paper|0.7039579749107361|0.7732094526290894|0.21538461538461537|0.7826851010322571|5
41|一枕黄粱|a nagging problem|A brief dream of grandeur|0.45177602767944336|0.2891353964805603|0.0|0.5695939064025879|1
42|一张一弛|a little bit of money|Strike a proper balance between work and rest|0.3359159529209137|0.3427845239639282|0.0|0.5192114114761353|2
43|一着不慎，满盘皆输|one move wrong and lose everything|One careless move and the whole game is lost|0.7555156350135803|0.7532792687416077|0.21686746987951808|0.8678992390632629|3
44|一差二错|one mistake / two wrong actions|Possible mistake or mishap|0.6476868987083435|0.642713189125061|0.29629629629629634|0.8283665776252747|3
45|一筹莫展|helpless or hopeless|Be at one's wits' end|0.5008764863014221|0.6490948796272278|0.0|0.6617347002029419|4
46|一唱百和|a sure-shot remedy|Chime in with others|0.3848946690559387|0.2823331952095032|0.0|0.5527790188789368|1
47|一唱一和|a duet of sorts|Sing the same tune|0.4709019362926483|0.5468859076499939|0.0|0.7145339250564575|1
48|一触即溃|to be extremely fragile|Collapse at the first encounter|0.4740603566169739|0.5784779191017151|0.0|0.6114729046821594|4
49|一视同仁|equal treatment for all|Treat all alike without discrimination|0.8014172911643982|0.7893821001052856|0.06666666666666667|0.8874083161354065|5
50|一失足成千古恨|one who makes a mistake|A single slip may cause lasting sorrow|0.4427514374256134|0.5056228637695312|0.0|0.6160069704055786|4
51|一手包办|one who can do everything|Take everything on oneself|0.5761367082595825|0.6166456937789917|0.32|0.7242599725723267|4
52|一手遮天|to block someone’s progress or stop supporting|Hoodwink the public|0.4736047685146332|0.37486881017684937|0.0|0.5847029685974121|1
53|一身是胆|a dangerous person pretending to be gentle|Know no fear|0.402424156665802|0.3849404752254486|0.0|0.524630069732666|4
54|一日千里|fast progress or growth|By leaps and bounds|0.5564687848091125|0.4399726688861847|0.0|0.7235344648361206|5
55|一日三秋|one day / three months / a little over a week|Miss somebody very much|0.3850296437740326|0.3711490333080292|0.0|0.5451980829238892|2
56|一人难如千人意|one person cannot do what a group of people can do|One man con hardly meet the wishes of everybody|0.562053382396698|0.6049197912216187|0.056074766355140186|0.5758758783340454|4
57|一字千金|a valuable point of view|One character is worth a thousand ounces of gold|0.4852263629436493|0.40804046392440796|0.05263157894736842|0.5685852766036987|1
58|一则以喜，一则以惧|one for joy, one for fear|Feel both joy and fear|0.6418004631996155|0.6435229778289795|0.21276595744680854|0.8395071625709534|4
59|一蹴而就|to achieve a big goal in one step|Succeed overnight|0.5602030158042908|0.6772171258926392|0.0|0.6764722466468811|4
60|一寸丹心|one inch of heart|A loyal heart|0.5228652358055115|0.7292830944061279|0.2222222222222222|0.7192322015762329|2
61|一寸光阴一寸金|one day / hour / minute / second is worth a lot of money|Time is money|0.6469970345497131|0.6480295658111572|0.1492537313432836|0.7559038996696472|4
62|一而再，再而三|once bitten, twice shy|Again and again|0.48325487971305847|0.40015146136283875|0.0|0.6900427937507629|5
63|一衣带水|one who changes sides easily|A narrow strip of water|0.41739827394485474|0.4648520052433014|0.0|0.5667337775230408|1
64|一意孤行|to act selfishly or on one’s own terms|Go (take, have of follow) one's own way|0.5710726380348206|0.6447895169258118|0.26829268292682923|0.6938681602478027|5
65|一叶知秋|one leaf falls / signifies the start of something new|It is a straw in the wind|0.4953310787677765|0.41759130358695984|0.07317073170731707|0.6476085186004639|4
66|一叶障目，不见泰山|to be blinded to the truth|Have one's view of the important overshadowed by the trivial|0.49758586287498474|0.3481471538543701|0.10752688172043012|0.6540462970733643|4
67|一言既出，驷马难追|words spoken cannot be undone|What is said cannot be unsaid|0.7039098739624023|0.6512548327445984|0.4067796610169491|0.7098478674888611|4
68|一言以蔽之|in one word or phrase|Make a long story short|0.5311203002929688|0.7659398317337036|0.0|0.6242358684539795|2
69|一无可取|nothing to be proud of|Good-for-nothing|0.4941262900829315|0.6050471663475037|0.16666666666666663|0.7563226222991943|4
70|一物降一物|one thing against another|Everything has its vanquisher|0.42748039960861206|0.4672884941101074|0.11538461538461538|0.7030676603317261|3
71|一误再误|two wrong turns / mistakes|Make one error after another|0.5307784080505371|0.5293068289756775|0.0|0.581737220287323|5
72|一五一十|once a decade / once a century|Narrate systematically and in full detail|0.3627031743526459|0.35069510340690613|0.0|0.5153371691703796|2
73|一问三不知|a question with three answers|Be entirely ignorant|0.4586140513420105|0.4741871654987335|0.0|0.5100868940353394|2
74|一望而知|to be visually deceived|Very obvious|0.45582151412963867|0.4767700731754303|0.0|0.6070488095283508|1
75|一望无际|to be visually deceived|Boundless|0.48110049962997437|0.3566916286945343|0.0|0.5362175703048706|1
76|一语道破|a single word that explains everything|Get to the heart of the matter in a few words|0.6522125601768494|0.6836408376693726|0.04444444444444444|0.6867952346801758|3
77|七窍生烟|to get suspicious suddenly|Foam with rage|0.4867796003818512|0.3554173409938812|0.0|0.5528567433357239|1
78|七长八短|long, short, or small in nature|Of uneven size|0.4790547490119934|0.32086363434791565|0.0|0.6572198271751404|3
79|七手八脚|seven hands and feet (do something superstitious)|Too many cooks|0.3840567171573639|0.4024045169353485|0.0|0.533477246761322|3
80|七上八下|nervous or anxious feelings|Be agitated|0.6158629655838013|0.42409729957580566|0.0|0.7414896488189697|4
81|三番五次|thrice or more ###|Again and again|0.6169423460960388|0.45684516429901123|0.0|0.48712560534477234|3
82|三头六臂|three-faced, six-armed|With three heads and six arms - superhuman|0.49759212136268616|0.49316248297691345|0.3225806451612903|0.8065497279167175|1
83|三天打鱼，两天晒网|two days of work, one day of rest|Lack of perseverance|0.42137226462364197|0.6276410818099976|0.07547169811320754|0.5090950131416321|3
84|三令五申|repeated instructions|Repeated orders and instructions|0.751056969165802|0.5084020495414734|0.6938775510204082|0.8966324925422668|5
85|三个臭皮匠，胜过一个诸葛亮|three times the trouble from one effort|Two heads are better than one|0.4576812982559204|0.31609517335891724|0.028169014084507043|0.7042227983474731|3
86|三顾茅庐|Three times a week (bureaucracy)|Repeated a whole-hearted invitation|0.3999430239200592|0.3644998371601105|0.060606060606060615|0.5852767825126648|1
87|三句话不离本行|Three times a day / before the first light of the day|Talk shop a the time|0.4590415060520172|0.32319989800453186|0.1818181818181818|0.5326715111732483|3
88|三长两短|three strikes while the iron is hot|Something unfortunate, especially death|0.31035658717155457|0.30237457156181335|0.0|0.4931717813014984|1
89|三十六计，走为上策|the sure-shot remedy|The best thing to do now is to quit|0.5044214129447937|0.3143642842769623|0.03448275862068966|0.6258004903793335|1
90|三生有幸|three times lucky / chance success|Consider oneself most fortunate (to make somebody's acquaintance)|0.42919760942459106|0.44748565554618835|0.019999999999999997|0.6091582179069519|4
91|三人行必有我师|in a group of three, one is always the teacher|If three of us are walking together, there will certainly be a teacher for me|0.6512778401374817|0.5951750874519348|0.23529411764705885|0.7460938692092896|4
92|三寸不烂之舌|a tiny amount of money|(have) a silver tongue|0.43126675486564636|0.3725850284099579|0.0|0.5710963010787964|2
93|三五成群|in groups of three or five|In threes and fours|0.6460606455802917|0.7443047165870667|0.13333333333333333|0.6949077844619751|4
94|上不着天，下不着地|to be completely lost|Be suspended in mid-air|0.41448086500167847|0.34478870034217834|0.0|0.6124858260154724|4
95|上天无路，入地无门|to be completely lost or have no idea where to go|Helpless, nowhere to turn|0.59852534532547|0.46311625838279724|0.1794871794871795|0.6799346208572388|5
96|上梁不正下梁歪|the uppermost point of a structure is not straight (badly)|People follow the example of those in high positions|0.3945573568344116|0.4633912146091461|0.05084745762711864|0.5147754549980164|2
97|上蹿下跳|to act hastily without thinking|Run clandestine errands up and down the line|0.44353237748146057|0.47902652621269226|0.0|0.5596561431884766|5
98|上无片瓦，下无插针之地|no place to stay or start|As poor as a church mouse|0.39213302731513977|0.30930033326148987|0.0|0.6312446594238281|2
99|下笔千言，离题万里|a long way from home|Write quickly but stray from the theme|0.3727932870388031|0.34412962198257446|0.2|0.5878486037254333|2
100|下不为例|never repeat a mistake|Not to be repeated|0.7002248764038086|0.5419115424156189|0.21052631578947367|0.828534722328186|5
101|下马看花|to take advantage amid conflict|On-the-spot investigation|0.43494707345962524|0.3061852753162384|0.0|0.5759953260421753|4
102|下车伊始|at the beginning of something new|The moment one takes up one's official post|0.5156024694442749|0.4340030252933502|0.02469135802469136|0.6620838046073914|4
103|不明不白|not clear to the uninitiated|Inexplicable|0.4786650240421295|0.68671715259552|0.0|0.7131432890892029|5
104|不分彼此|to be undervalue what one has|Share everything|0.36453601717948914|0.3242514431476593|0.0|0.5004866719245911|3
105|不打不成相识|not to hit or bless|No discord, no concord|0.46762165427207947|0.32128021121025085|0.0|0.6458619236946106|2
106|不违农时|not to interfere with someone’s livelihood|Do farm work in the right time|0.4337107241153717|0.4721662402153015|0.0|0.5866102576255798|5
107|不打自招|to confess without question|A self-confession|0.585479199886322|0.37464478611946106|0.2439024390243902|0.824150800704956|2
108|不到黄河心不死|not to be defeated or discouraged|Not give up till coming to a dead end|0.5231728553771973|0.332385390996933|0.08|0.7360043525695801|4
109|不得要领|not to understand|Unable to make heads or tails of something|0.40767404437065125|0.6547083854675293|0.06666666666666667|0.7021304368972778|3
110|不能自拔|cannot be removed or eliminated|Be inescapably caught in|0.44606372714042664|0.44358062744140625|0.0|0.5859276056289673|4
111|不念旧恶|not to remember bad deeds|Forget old grudges (or grievances)|0.5331162214279175|0.6732136011123657|0.0|0.7288933396339417|5
112|不郎不秀|not very good / bad quality|Worthless|0.4796620309352875|0.3501659333705902|0.0|0.6567386984825134|3
113|不吝指教|not hesitate to help someone|Not spare your comments|0.5229020714759827|0.6355942487716675|0.04|0.5499914288520813|5
114|不落窠臼|to not fall into a trap or rut|Leave the beaten track|0.4657582938671112|0.6656286716461182|0.037037037037037035|0.6714168190956116|4
115|不甘后人|not to be satisfied with what one has|Hate to be outdone|0.47894784808158875|0.5465080142021179|0.21052631578947367|0.6655094623565674|4
116|不甘示弱|not to show cowardice|Yield no ground|0.5470569133758545|0.6791707277297974|0.0|0.6089134216308594|3
117|不敢越雷池一步|not to cross the limit / patience|Keep within (the) bounds|0.6282044053077698|0.5048636198043823|0.11320754716981132|0.6956633925437927|2
118|不管三七二十一|no proof needed for the obviousडी|Come what may|0.42533543705940247|0.48728710412979126|0.0|0.5209006071090698|2
119|不可偏废|to ignore someone’s words|Without neglecting either|0.5906476378440857|0.39663538336753845|0.0|0.6794338226318359|4
120|不亢不卑|not overconfident or elated|Neither overbearing nor servile|0.5760961174964905|0.48374009132385254|0.07142857142857144|0.7804386615753174|3
121|不急之务|not a matter of urgency|A nonurgent business|0.7154144644737244|0.8000856637954712|0.04878048780487805|0.7752095460891724|3
122|不见棺材不落泪|not to cry without reason|Refuse to be convinced until one is faced with grim reality|0.4362706243991852|0.43037915229797363|0.1111111111111111|0.7420654892921448|2
123|不进则退|if not advancing, then retreating|Move forward, or you'll fall behind|0.5516988635063171|0.6446821689605713|0.0|0.7083062529563904|5
124|不经一事，不长一智|without learning from mistakes|Wisdom comes from experience|0.5950078964233398|0.4112025201320648|0.14285714285714285|0.6173356771469116|4
125|不绝如缕|to be in extreme pain or shock|Very precarious|0.4528530538082123|0.3028942346572876|0.0|0.6566269993782043|5
126|不期而遇|chance encounter / chance meeting|Meet accidentally (or by chance)|0.7517163157463074|0.627677321434021|0.16393442622950818|0.8145069479942322|5
127|不知凡几|an unknown quantity|Can't tell how many there are|0.5145145654678345|0.6646141409873962|0.0|0.745972752571106|4
128|不知天高地厚|to be ignorant or overconfident|Have an exaggerated opinion of one's abilities|0.5448989272117615|0.5520415306091309|0.0|0.7083140015602112|3
129|不知好歹|ignorant person|Not to know good from bad|0.44063860177993774|0.6652870178222656|0.0|0.6755133867263794|3
130|不知进退|unknowable truth|Have no sense of propriety|0.4998989999294281|0.41205519437789917|0.0|0.578615128993988|2
131|不知人间有羞耻事|shameful deeds|Lose all sense of shame|0.6779152154922485|0.45251110196113586|0.0588235294117647|0.7362409234046936|4
132|不知所以|not sure about something|Not know the reason why|0.59991055727005|0.6719398498535156|0.043478260869565216|0.76688551902771|4
133|不知所云|something that doesn’t make sense|Unintelligible|0.46178552508354187|0.6136059761047363|0.0|0.7171539664268494|2
134|不耻下问|to be ashamed of ignorance|Not above asking questions|0.4148348271846771|0.49506959319114685|0.0392156862745098|0.5667212009429932|2
135|不识大体|not understanding the big picture|Fail to see the larger issues|0.7986843585968018|0.8095369338989258|0.09523809523809525|0.7080705165863037|5
136|不识抬举|not understanding true value|Not know how to appreciate (or treasure) favours|0.5810721516609192|0.5416013598442078|0.02631578947368421|0.5862088203430176|4
137|不识时务|not aware of truth|Not familiar with the current situation|0.6484662294387817|0.5230581164360046|0.03508771929824561|0.7181635499000549|2
138|不上不下|up and down|In a fix|0.5182528495788574|0.5972510576248169|0.0|0.6510809063911438|2
139|不胜枚举|too many of anything is bad|Cannot be enumerated one by one|0.3545929491519928|0.3369356691837311|0.0|0.5728914737701416|2
140|不入虎穴，焉得虎子|one should not enter a dangerous place|Nothing ventured, nothing gained|0.4720761179924011|0.4866812527179718|0.05714285714285715|0.5717699527740479|3
141|不在话下|not in the same league / class|Needless to say|0.37709879875183105|0.4190819561481476|0.0|0.5696384906768799|4
142|不足为训|not to be a good example|Not worth learning from|0.5764498114585876|0.5536029934883118|0.0425531914893617|0.7100261449813843|4
