src,true_meaning,literal_translation,mt_1,mt_2,mt_3,QE_mt_1,QE_mt_2,QE_mt_3,QE_true,QE_literal,DA_mt_1,DA_mt_2,DA_mt_3,DA_true,DA_literal,mt_best,QE_mt_best,mt_best_from,mt_best_DA_from,DA_mt_best,literal_gt_ref
आंखें चुराना,to avoid being seen,to hide one’s eyes,Eye theft,"""आंखें चुराना"" का अर्थ है ""दीवाना होना"" या ""मानसिक रूप से अस्वस्थ होना।","The phrase ""आंखें चुराना"" is an idiomatic expression in Hindi that roughly translates to ""to steal someone's eyes"" or ""to captivate someone's attention"".",-0.4236159026622772,0.05066395178437233,-0.0596909336745739,-0.40688055753707886,-0.4673677384853363,0.46487957239151,0.3296010494232178,0.4550703167915344,0.9723499417304993,0.5865061283111572,"""आंखें चुराना"" का अर्थ है ""दीवाना होना"" या ""मानसिक रूप से अस्वस्थ होना।",0.05066395178437233,mt_2,mt_1,0.46487957239151,False
आंखों का तारा,beloved person,the star of the eyes,Star of the eyes,Star of the eyes.,Star of the eyes,-0.42591264843940735,-0.3701784312725067,-0.42591264843940735,-0.6545608639717102,-0.4498690068721771,0.4724593162536621,0.4529760777950287,0.4724593162536621,0.9836629629135132,0.44321689009666443,Star of the eyes.,-0.3701784312725067,mt_2,mt_1,0.4724593162536621,True
चेहरा उतरना,to be sad or disappointed,the face to fall,To come down,Falling out,Cruelty,-0.6272907853126526,-0.6336577534675598,-0.5547187328338623,-0.6585786938667297,-0.6446385979652405,0.46129369735717773,0.37378591299057007,0.40483301877975464,0.9772645831108093,0.44605398178100586,Cruelty,-0.5547187328338623,mt_3,mt_1,0.46129369735717773,True
दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth,Biting nails,Biting one's nails.,Nailing the teeth.,-0.1897723227739334,-0.3429815471172333,-0.28914356231689453,-0.9556151032447815,0.1655355542898178,0.36601728200912476,0.3532966375350952,0.38865479826927185,0.9777459502220154,0.4165962040424347,Biting nails,-0.1897723227739334,mt_1,mt_3,0.38865479826927185,True
साँस लेना,to feel relieved after hard work,to take a breath,Breathe,Breathe,To breathe,0.25275206565856934,0.2529527544975281,0.11814269423484802,-0.18341480195522308,0.208112895488739,0.46290382742881775,0.4628569483757019,0.45547711849212646,0.9660893082618713,0.5309630632400513,Breathe,0.2529527544975281,mt_2,mt_1,0.46290382742881775,True
बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm,It's a done deal.,The statement is genuine or true.,It is set in stone,-0.030130818486213684,-0.32693395018577576,-0.3117672801017761,0.18867263197898865,-0.6283172965049744,0.638094961643219,0.5421430468559265,0.44521406292915344,0.9812924265861511,0.5659233927726746,It's a done deal.,-0.030130818486213684,mt_1,mt_1,0.638094961643219,False
बाल-बाल बचना,to narrowly escape from trouble,to be saved by a hair,Barely escaping,Close call,"Bilkul haan, ek aam tareeke se kaha jaata hai ki ""बाल-बाल बचना"" ek vyakti ko un sab chizaiyon se bachana, jo unki zindagi ko haani pahuncha sakti hai, jaise ki samajik dharmik, arthik, swaasth, aur maansik safai.",-0.6746990084648132,-0.6569660902023315,-0.5872840285301208,-0.7954919934272766,-1.0145312547683716,0.6533133387565613,0.581009030342102,0.3621421754360199,0.9802435040473938,0.4578605890274048,"Bilkul haan, ek aam tareeke se kaha jaata hai ki ""बाल-बाल बचना"" ek vyakti ko un sab chizaiyon se bachana, jo unki zindagi ko haani pahuncha sakti hai, jaise ki samajik dharmik, arthik, swaasth, aur maansik safai.",-0.5872840285301208,mt_3,mt_1,0.6533133387565613,False
अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom,The enemy of reason,"The phrase ""अक्ल का दुश्मन"" translates to ""Akla ka dushman"" in natural English.

In this context, ""अक्ल"" means ""akla"" which refers to greed or selfishness, and ""दुश्मन"" means ""dushman"", which means enemy or adversary. So, the phrase ""अक्ल का दुश्मन"" can be translated to ""The enemy of greed"" or ""The adversary of selfishness"".","The enemy of Akal (i.e., Time).",0.09332408010959625,-0.34776535630226135,-0.4024512767791748,-0.22326678037643433,-0.03256760165095329,0.5944206714630127,0.4195001721382141,0.46640485525131226,0.9768308997154236,0.6222328543663025,The enemy of reason,0.09332408010959625,mt_1,mt_1,0.5944206714630127,True
जान पर खेलना,to act fearlessly or take great risks,to play with one’s life,To live,To gamble,To live,-0.6077659726142883,-0.6148748993873596,-0.6077659726142883,-0.01725124940276146,0.08138726651668549,0.35606667399406433,0.4438153803348541,0.35606667399406433,0.9692630171775818,0.47442543506622314,To live,-0.6077659726142883,mt_1,mt_2,0.4438153803348541,True
पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach,Having a stomach ache,Having a stomachache.,Bloating,-0.412514865398407,-0.3113778531551361,-0.6676278710365295,-0.9558785557746887,-0.16605231165885925,0.5109729170799255,0.5220032334327698,0.4647918939590454,0.9707373976707458,0.40503135323524475,Having a stomachache.,-0.3113778531551361,mt_2,mt_2,0.5220032334327698,True
